breadscrum,cod_item,cod_item_pai,nome
14,14,0,DIREITO TRIBUTÁRIO
195,195,0,DIREITO PREVIDENCIÁRIO
287,287,0,DIREITO PENAL
864,864,0,DIREITO DO TRABALHO
899,899,0,DIREITO CIVIL
1146,1146,0,DIREITO MARÍTIMO
1156,1156,0,DIREITO DO CONSUMIDOR
1209,1209,0,DIREITO PROCESSUAL PENAL
864:2581:2594:1681,1681,2594,Periculosidade
864:1697:1690,1690,1697, Contribuição / Taxa Assistencial
864:1697:1691,1691,1697, Contribuição Confederativa
864:1695,1695,864,Acordo e Convenção Coletivos de Trabalho
864:1697,1697,864,Direito Sindical e Questões Análogas
864:1697:1703,1703,1697, Eleição
864:1697:1705,1705,1697, Registro de Entidade Sindical
864:2581:2458:1721,1721,2458,Salário In Natura
864:2567:1855:1723,1723,1855,Assédio Moral
864:2567:1855:1724,1724,1855,Assédio Sexual
864:2581:1767,1767,2581,Cesta Básica
864:1697:1773,1773,1697,Contribuição Sindical
864:2581:1783,1783,2581,Comissão
864:2581:1789,1789,2581,Complemento Temporário Variável de Ajuste ao Piso de Mercado
864:2620:1849,1849,2620,Culpa Recíproca
864:2567:1855,1855,2567,Indenizaçao por Dano Moral
864:2581:1888,1888,2581,Descontos Salariais - Devolução
864:2620:1904,1904,2620,Despedida / Dispensa Imotivada
864:2620:1907,1907,2620,Justa Causa / Falta Grave
864:2581:1920,1920,2581,Diárias
864:2620:2656:1929,1929,2656,Dirigente Sindical
864:1937,1937,864,Responsabilidade Solidária / Subsidiária
864:2620:2656:1965,1965,2656, Empregado Público
864:2620:2656:1966,1966,2656, Portador de HIV
864:2620:2656:1976,1976,2656,Contrato Suspenso
864:2620:2656:1977,1977,2656,Estabilidade decorrente de Norma Coletiva
864:2620:2656:1978,1978,2656, Gestante
864:2620:2656:1981,1981,2656, Membro da Cipa
864:2620:2546:1998,1998,2546,Multa de 40% do FGTS
864:2662:2019,2019,2662,Fruição / Gozo 
864:2662:2021,2021,2662,Indenização / Terço Constitucional
864:2581:2055,2055,2581,Gratificação
864:2581:2117,2117,2581,Supressão de Horas Extras Habituais - Indenização
864:2135,2135,864,Sentença Normativa
864:2620:2546:2210,2210,2546,Multa do Artigo 467 da CLT
864:2620:2546:2212,2212,2546,Multa do Artigo 477 da CLT
864:2581:2215,2215,2581,Multa Prevista em Norma Coletiva
864:2620:2243,2243,2620,Plano de Demissão Voluntária
864:2581:2273,2273,2581,PIS - Indenização
864:2581:2458:2275,2275,2458,Piso Salarial da Categoria / Salário Mínimo Profissional
864:2581:2331,2331,2581,Prêmio
