breadscrum,cod_item,cod_item_pai,nome
2,2,0,PROCESSO CÍVEL E DO TRABALHO
5,5,0,SUPERIOR TRIBUNAL DE JUSTIÇA
2:1106:1107:7,7,1107,Procedimento Comum Cível
2:1106:1107:22,22,1107,Procedimento Sumário
2:1106:1107:26,26,1107,Procedimentos Especiais
2:1106:1107:26:27,27,26,Procedimentos Especiais de Jurisdição Contenciosa
2:1106:1107:26:27:28,28,27,Anulação e Substituição de Títulos ao Portador
2:1106:1107:26:27:29,29,27,Apreensão e Depósito de Coisa Vendida com Reserva de Domínio
2:1106:1107:26:27:30,30,27,Arrolamento Comum
2:1106:1107:26:27:31,31,27,Arrolamento Sumário
2:1106:1107:26:27:32,32,27,Consignação em Pagamento
2:1106:1107:26:27:34,34,27,Demarcação / Divisão
2:1106:1107:26:27:35,35,27,Depósito
2:1106:1107:26:27:37,37,27,Embargos de Terceiro Cível
2:1106:1107:26:27:38,38,27,Habilitação
2:1106:1107:26:27:39,39,27,Inventário
2:1106:1107:26:27:40,40,27,Monitória
2:1106:1107:26:27:41,41,27,Nunciação de Obra Nova
2:1106:1107:26:27:44,44,27,Prestação de Contas - Oferecidas
2:1106:1107:26:27:45,45,27,Ação de Exigir Contas
2:1106:1107:26:27:46,46,27,Restauração de Autos Cível
2:1106:1107:26:27:47,47,27,Ação Rescisória
2:1106:1107:26:27:48,48,27,Sobrepartilha
2:1106:1107:26:27:49,49,27,Usucapião
2:1106:1107:26:50,50,26,Procedimentos Especiais de Jurisdição Voluntária
2:1106:1107:26:50:51,51,50,"Abertura, Registro e Cumprimento de Testamento"
2:1106:1107:26:50:52,52,50,Alienação Judicial de Bens
2:1106:1107:26:50:53,53,50,Arrecadação das Coisas Vagas
2:1106:1107:26:50:54,54,50,Confirmação de Testamento
2:1106:1107:26:50:55,55,50,Declaração de Ausência
2:1106:1107:26:50:56,56,50,Especialização de Hipoteca Legal
2:1106:1107:26:50:57,57,50,Herança Jacente
2:1106:1107:26:50:58,58,50,Interdição
2:1106:1107:26:50:59,59,50,Organização e Fiscalização de Fundação
2:1106:1107:26:50:60,60,50,Separação Consensual
2:1106:1107:26:50:61,61,50,Tutela e Curatela -  Nomeação
2:1106:1107:26:62,62,26,"Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos"
2:1106:1107:26:62:63,63,62,Ação Civil Coletiva
2:1106:1107:26:62:64,64,62,Ação Civil de Improbidade Administrativa
2:1106:1107:26:62:65,65,62,Ação Civil Pública
2:1106:1107:26:62:66,66,62,Ação Popular
2:1106:1107:26:62:69,69,62,Alimentos - Lei Especial Nº 5.478/68
2:1106:1107:26:62:72,72,62,Alteração do Regime de Bens
2:1106:1107:26:62:74,74,62,Alvará Judicial - Lei 6858/80
2:1106:1107:26:62:76,76,62,Apreensão de Embarcações
2:1106:1107:26:62:77,77,62,Arribadas Forçadas
2:1106:1107:26:62:79,79,62,Regulação de Avaria Grossa
2:1106:1107:26:62:80,80,62,Avarias
2:1106:1107:26:62:81,81,62,Busca e Apreensão em Alienação Fiduciária
2:1106:1107:26:62:82,82,62,Cancelamento de Naturalização
2:175:83,83,175,Cautelar Fiscal
2:1106:1107:26:62:84,84,62,Cobrança de Cédula de Crédito Industrial
2:1106:1107:26:62:85,85,62,Compromisso Arbitral
2:1106:1107:26:62:86,86,62,Consignatória de Aluguéis
2:1106:1107:26:62:87,87,62,Conversão de Separação Judicial em Divórcio
1198:88,88,1198,Correição Parcial ou Reclamação Correicional
2:1106:1107:26:62:89,89,62,Depósito da Lei 8. 866/94
2:1106:1107:26:62:90,90,62,Desapropriação
2:1106:1107:26:62:91,91,62,Desapropriação Imóvel Rural por Interesse Social
2:1106:1107:26:62:92,92,62,Despejo
2:1106:1107:26:62:93,93,62,Despejo por Falta de Pagamento
2:1106:1107:26:62:94,94,62,Despejo por Falta de Pagamento Cumulado Com Cobrança
2:1106:1107:26:62:95,95,62,Direta de Inconstitucionalidade
2:1106:1107:26:62:96,96,62,Discriminatória
2:1106:1107:26:62:97,97,62,Dissolução e Liquidação de Sociedade
2:1106:1107:26:62:98,98,62,Divórcio Consensual
2:1106:1107:26:62:99,99,62,Divórcio Litigioso
2:1106:1107:26:62:100,100,62,Dúvida
2:1106:1107:26:62:107,107,62,Expropriação da Lei 8.257/91
2:1106:1107:26:62:108,108,62,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte"
2:1106:1107:26:62:110,110,62,Habeas Data
2:1106:1107:26:62:111,111,62,Habilitação de Crédito
2:1106:1107:26:62:112,112,62,Homologação de Transação Extrajudicial
2:1106:1107:26:62:113,113,62,Imissão na Posse
2:1106:1107:26:62:114,114,62,Impugnação de Crédito
2:1106:1107:26:62:115,115,62,Inquérito Extrajudicial
2:1106:1107:26:62:118,118,62,Mandado de Injunção
2:1106:1107:26:62:119,119,62,Mandado de Segurança Coletivo
2:1106:1107:26:62:120,120,62,Mandado de Segurança Cível
2:1106:1107:26:62:121,121,62,Naturalização
2:1106:1107:26:62:122,122,62,Opção de Nacionalidade
2:1106:1107:26:62:123,123,62,Averiguação de Paternidade
2:1106:1107:26:62:124,124,62,Pedido de Resposta ou Retificação da Lei de Imprensa
2:1106:1107:26:62:127,127,62,Protesto Formado a Bordo
2:1106:1107:26:62:128,128,62,Recuperação Extrajudicial
2:1106:1107:26:62:129,129,62,Recuperação Judicial
2:1106:1107:26:62:134,134,62,Registro Torrens
2:1106:1107:26:62:135,135,62,Relatório Falimentar
2:1106:1107:26:62:136,136,62,Remição do Imóvel Hipotecado
2:1106:1107:26:62:137,137,62,Renovatória de Locação
2:1106:1107:26:62:138,138,62,Restituição de Coisa ou Dinheiro na Falência do Devedor Empresário
2:1106:1107:26:62:140,140,62,Revisional de Aluguel
2:1106:1107:26:62:141,141,62,Separação Litigiosa
2:1106:1107:26:62:142,142,62,Sonegados
2:1106:1107:26:62:143,143,62,Suprimento de Idade e/ou Consentimento
2:1106:1107:26:62:144,144,62,Suspensão de Liminar ou Antecipação de Tutela
2:1106:1107:26:62:145,145,62,Suspensão de Execução de Sentença
2:1106:150,150,1106,Procedimento de Liquidação
2:1106:150:151,151,150,Liquidação por Arbitramento
2:1106:150:152,152,150,Liquidação de Sentença pelo Procedimento Comum
2:1106:150:153,153,150,Liquidação Provisória por Arbitramento
2:1106:150:154,154,150,Liquidação Provisória de Sentença pelo Procedimento Comum
2:1106:155,155,1106,Procedimento de Cumprimento de Sentença/Decisão
2:1106:155:156,156,155,Cumprimento de sentença
2:1106:155:157,157,155,Cumprimento Provisório de Sentença
2:158,158,2,Processo de Execução
2:158:159,159,158,Execução de Título Extrajudicial
2:158:165,165,158,Insolvência Civil
2:158:165:166,166,165,Insolvência Requerida pelo Credor
2:158:165:167,167,165,Insolvência Requerida pelo Devedor ou pelo Espólio
2:158:169,169,158,Embargos
2:158:169:170,170,169,Embargos à Adjudicação
2:158:169:171,171,169,Embargos à Arrematação
2:158:169:172,172,169,Embargos à Execução
2:158:169:173,173,169,Embargos de Retenção por Benfeitorias
2:175,175,2,Processo Cautelar
2:175:176,176,175,Alimentos - Provisionais
2:175:177,177,175,Apreensão de  Títulos
2:175:178,178,175,Arresto 
2:175:179,179,175,Arrolamento de Bens
2:175:180,180,175,Atentado
2:175:181,181,175,Busca e Apreensão
2:175:182,182,175,Caução
2:175:183,183,175,Cautelar Inominada
2:175:186,186,175,Exibição
2:175:188,188,175,Homologação do Penhor Legal
2:175:190,190,175,Justificação
2:175:191,191,175,Protesto
2:175:192,192,175,Posse em Nome do Nascituro
2:175:193,193,175,Produção Antecipada da Prova
2:175:194,194,175,Regulamentação de Visitas
2:175:195,195,175,Separação de Corpos
2:175:196,196,175,Seqüestro
2:197,197,2,Recursos
2:197:198,198,197,Apelação Cível
2:197:199,199,197,Remessa Necessária Cível
2:197:200,200,197,Agravos
2:197:200:202,202,200,Agravo de Instrumento
2:197:200:203,203,200,Agravo de Instrumento em Recurso Especial
2:197:200:204,204,200,Agravo de Instrumento em Recurso Extraordinário
2:197:200:206,206,200,Agravo Regimental Cível
2:197:207,207,197,Embargos
2:197:207:208,208,207,Embargos Infringentes
2:197:207:210,210,207,Embargos Infringentes na Execução Fiscal
2:197:211,211,197,Recurso Ordinário Cível
2:197:212,212,197,Recurso Extraordinário
2:197:213,213,197,Recurso Especial
2:214,214,2,Outros Procedimentos
2:214:215,215,214,Incidentes
2:214:215:216,216,215,Incidente De Arguição de Inconstitucionalidade Cível
2:214:215:218,218,215,Assistência Judiciária
2:214:215:221,221,215,Conflito de competência cível
2:214:215:224,224,215,Exceções
2:214:215:228,228,215,Exibição de Documento ou Coisa Cível
2:1106:155:229,229,155,Impugnação ao Cumprimento de Sentença
2:214:215:230,230,215,Impugnação ao Pedido de Assistência Litisconsorcial ou Simples
2:214:215:231,231,215,Impugnação ao Valor da Causa Cível
2:214:215:232,232,215,Incidente de Falsidade
2:214:215:233,233,215,Incidente de Uniformização de Jurisprudência
2:214:215:234,234,215,Remoção de Inventariante
2:214:215:236,236,215,Oposição
2:214:237,237,214,Atos e expedientes
2:214:237:238,238,237,Avocatória
2:214:237:239,239,237,Habilitação para Casamento
2:214:237:240,240,237,Instrução de Rescisória
2:214:237:241,241,237,Petição Cível
2:214:237:242,242,237,Comunicação
2:1106:1107:26:62:244,244,62,Reclamação
2:214:237:251,251,237,Registro de Casamento Nuncupativo
1198:256,256,1198,Representação por Excesso de Prazo
2:214:257,257,214,Cartas
2:214:257:258,258,257,Carta de Ordem Cível
2:214:257:261,261,257,Carta Precatória Cível
2:214:257:264,264,257,Carta Rogatória Cível
268,268,0,PROCESSO CRIMINAL
268:269,269,268,Medidas Preparatórias
268:269:270,270,269,Notícia-Crime
268:277:271,271,277,Representação Criminal
268:277:271:272,272,271,Representação Criminal/Notícia de Crime
