case:court:code	PENDENTES-CRIMINAL-2015	PENDENTES-CRIMINAL-2016	PENDENTES-CRIMINAL-2017	PENDENTES-CRIMINAL-2018	PENDENTES-CRIMINAL-2019	PENDENTES-NÃO CRIMINAL-2015	PENDENTES-NÃO CRIMINAL-2016	PENDENTES-NÃO CRIMINAL-2017	PENDENTES-NÃO CRIMINAL-2018	PENDENTES-NÃO CRIMINAL-2019	PENDENTES-NÃO CRIMINAL-2020	SUSPENSOS-CONHECIMENTO-2015	SUSPENSOS-CONHECIMENTO-2016	SUSPENSOS-CONHECIMENTO-2017	SUSPENSOS-CONHECIMENTO-2018	SUSPENSOS-CONHECIMENTO-2019	SUSPENSOS-CONHECIMENTO-2020	PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2015	PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2016	PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2017	PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2018	PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2019	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2015	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2016	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2017	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2018	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2019	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2020	RECURSOS INTERNOS-CONHECIMENTO-2018	RECURSOS INTERNOS-CONHECIMENTO-2019	RECURSOS INTERNOS-CONHECIMENTO-2020	SUSPENSOS-EXTRAJUDICIAL NÃO FISCAL-2017	SUSPENSOS-EXTRAJUDICIAL NÃO FISCAL-2018	SUSPENSOS-EXTRAJUDICIAL NÃO FISCAL-2019	Tipo	Classificação	Município
2763	0	0	0	0	0	1401	1341	1255	1381	1335	1267	168	204	179	202	190	153	385	368	342	493	452	1	1	0	0	0	0	8	6	11	116	169	127	UJ1	V - VARA;	BOA VISTA
2764	0	0	0	0	0	723	764	800	753	1091	1006	661	60	91	121	121	114	654	590	536	572	621	2	2	3	16	51	61	102	122	147	266	211	140	UJ1	V - VARA;	BOA VISTA
2765	0	0	0	0	0	3099	2352	1149	946	872	866	1047	121	61	62	39	41	323	248	403	470	357	318	356	307	324	314	5	17	16	19	203	170	209	UJ1	V - VARA;	BOA VISTA
2766	0	0	0	0	0	5025	4071	1923	1356	1032	828	865	365	152	90	50	69	389	335	379	475	380	581	579	512	484	489	31	77	50	17	248	300	332	UJ1	V - VARA;	BOA VISTA
2767	0	0	0	0	0	4132	3462	2104	1365	1043	854	863	362	188	155	55	51	858	622	499	491	385	466	427	391	358	363	8	81	62	69	294	305	309	UJ1	V - VARA;	BOA VISTA
2768	0	0	0	0	0	5306	3301	1347	1345	1139	1238	837	268	139	116	88	72	490	258	783	778	646	532	498	459	434	388	26	57	35	29	291	274	319	UJ1	V - VARA;	BOA VISTA
2769	0	0	0	0	0	1310	1361	1309	1389	1157	1027	206	173	145	166	81	68	422	374	319	489	410	0	0	0	0	0	0	6	3	10	159	152	85	UJ1	V - VARA;	BOA VISTA
2770	0	0	0	0	0	828	841	1071	1092	925	855	492	91	132	145	133	151	444	399	431	703	1116	3	2	1	19	58	61	68	49	27	228	274	240	UJ1	V - VARA;	BOA VISTA
2771	226	210	257	236	189	0	0	0	0	0	0	106	86	165	155	132	115	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	UJ1	V - VARA;	BOA VISTA
2772	1186	465	585	549	504	0	0	0	0	0	0	239	41	49	68	65	117	0	0	0	0	0	0	0	0	0	0	0	14	28	33	0	0	0	UJ1	V - VARA;	BOA VISTA
