Justiça	Tribunal	UF	Tipo de unidade	Classificação da unidade	case:court:code	Unidade Judiciária	Município sede	Estoque	Taxa de congestionamento líquida	Taxa de congestionamento total
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V – VARA	33741	NOVA IGUAÇU - 2ª VARA DO TRABALHO	NOVA IGUACU	3631	0.4726	0.6326
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33691	BARRA MANSA - 1ª VARA DO TRABALHO	BARRA MANSA	4203	0.5318	0.6652
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33763	RIO DE JANEIRO - 1ª VARA DO TRABALHO	RIO DE JANEIRO	1944	0.1773	0.4912
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33789	RIO DE JANEIRO - 43ª VARA DO TRABALHO	RIO DE JANEIRO	2050	0.0	0.5657
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33771	RIO DE JANEIRO - 27ª VARA DO TRABALHO	RIO DE JANEIRO	3043	0.4814	0.6319
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33750	RESENDE - 1ª VARA DO TRABALHO	RESENDE	2432	0.377	0.605
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33802	RIO DE JANEIRO - 55ª VARA DO TRABALHO	RIO DE JANEIRO	2858	0.4132	0.6394
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33842	SÃO JOÃO DE MERITI - 2ª VARA DO TRABALHO	SAO JOAO DE MERITI	1878	0.4172	0.6252
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33788	RIO DE JANEIRO - 42ª VARA DO TRABALHO	RIO DE JANEIRO	2618	0.4184	0.5852
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33787	RIO DE JANEIRO - 41ª VARA DO TRABALHO	RIO DE JANEIRO	2693	0.4112	0.5941
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33753	RIO DE JANEIRO - 10ª VARA DO TRABALHO	RIO DE JANEIRO	3690	0.4995	0.5947
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33773	RIO DE JANEIRO - 29ª VARA DO TRABALHO	RIO DE JANEIRO	3441	0.351	0.6138
Justiça do Trabalho	TRT1	RJ	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	V - VARA;	33849	VOLTA REDONDA - 3ª VARA DO TRABALHO	VOLTA REDONDA	3240	0.6411	0.6978
