case:concept:name	MOV_DECURSO_DE_PRAZO_1051	MOV_DISPONIBILIZACAO_NO_DIARIO_DA_JUSTICA_ELETRONICO_1061	MOV_DESPACHO_11009	MOV_ATO_ORDINATORIO_11383	MOV_PROTOCOLO_DE_PETICAO_118	MOV_RETIFICACAO_DE_MOVIMENTO_11983	MOV_INTIMACAO_12263	MOV_REMESSA_123	MOV_RECEBIMENTO_132	MOV_JULGAMENTO_193	MOV_DISTRIBUICAO_26	MOV_DECISAO_3	MOV_ENTREGA_EM_CARGA_VISTA_493	MOV_CONCLUSAO_51	MOV_EXPEDICAO_DE_DOCUMENTO_60	MOV_JUNTADA_67	MOV_TRANSITO_EM_JULGADO_848	MOV_ARQUIVAMENTO_861	MOV_DESARQUIVAMENTO_893	MOV_PUBLICACAO_92	MOV_RECEBIMENTO_977	MOVEMENTS_COUNT	TOTAL_MAGISTRATE	TOTAL_OFFICIAL	ASSU_DIREITO_ELEITORAL	ASSU_ADMINISTRACAO_DA_JUSTICA_ELEITORAL	ASSU_ELEICOES	ASSU_PARTIDOS_POLITICOS	ASSU_REQUERIMENTO	CASE:COURT:CODE	PROCESSO_DIGITAL	TOTAL_ASSUNTOS	PENDENTES_CRIMINAL_2015	PENDENTES_CRIMINAL_2016	PENDENTES_CRIMINAL_2017	PENDENTES_CRIMINAL_2018	PENDENTES_CRIMINAL_2019	PENDENTES_NAO_CRIMINAL_2015	PENDENTES_NAO_CRIMINAL_2016	PENDENTES_NAO_CRIMINAL_2017	PENDENTES_NAO_CRIMINAL_2018	PENDENTES_NAO_CRIMINAL_2019	PENDENTES_NAO_CRIMINAL_2020	SUSPENSOS_CONHECIMENTO_2015	SUSPENSOS_CONHECIMENTO_2016	SUSPENSOS_CONHECIMENTO_2017	SUSPENSOS_CONHECIMENTO_2018	SUSPENSOS_CONHECIMENTO_2019	SUSPENSOS_CONHECIMENTO_2020	PENDENTES_EXECUCAO_JUDICIAL_NAO_CRIMINAL_2015	PENDENTES_EXECUCAO_JUDICIAL_NAO_CRIMINAL_2016	PENDENTES_EXECUCAO_JUDICIAL_NAO_CRIMINAL_2017	PENDENTES_EXECUCAO_JUDICIAL_NAO_CRIMINAL_2018	PENDENTES_EXECUCAO_JUDICIAL_NAO_CRIMINAL_2019	PENDENTES_EXTRAJUDICIAL_NAO_FISCAL_2015	PENDENTES_EXTRAJUDICIAL_NAO_FISCAL_2016	PENDENTES_EXTRAJUDICIAL_NAO_FISCAL_2017	PENDENTES_EXTRAJUDICIAL_NAO_FISCAL_2018	PENDENTES_EXTRAJUDICIAL_NAO_FISCAL_2019	PENDENTES_EXTRAJUDICIAL_NAO_FISCAL_2020	RECURSOS_INTERNOS_CONHECIMENTO_2018	RECURSOS_INTERNOS_CONHECIMENTO_2019	RECURSOS_INTERNOS_CONHECIMENTO_2020	SUSPENSOS_EXTRAJUDICIAL_NAO_FISCAL_2017	SUSPENSOS_EXTRAJUDICIAL_NAO_FISCAL_2018	SUSPENSOS_EXTRAJUDICIAL_NAO_FISCAL_2019	ESTOQUE	TAXA_DE_CONGESTIONAMENTO_LIQUIDA	TAXA_DE_CONGESTIONAMENTO_TOTAL	TIPO_DESCONHECIDO	TIPO_UJ1	TIPO_UJ2	UF_ALAGOAS	UF_CEARA	CLAS_OUTRO_CLASSE_PROCESSUAL	CLA_ACAO_PENAL_ELEITORAL_11528	CLA_DIREITOS_POLITICOS_12552	CLA_PROCEDIMENTOS_ADMINISTRATIVOS_DA_JUSTICA_ELEITORAL_11540	CLA_PROCEDIMENTOS_RELATIVOS_A_PARTIDOS_POLITICOS_11534	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLA_PROCESSO_ADMINISTRATIVO_1298	CLAS_DESCONHECIDO	CLAS_GAB2oS___GABINETE_DE_DESEMBARGADOR_OU_DE_MINISTRO_EXCETO_PRESIDENCIA_VICE_PRESIDENCIA_OU_CORREGEDORIA	CLAS_OUTRO_CLASSIFICACAO_DA_UNIDADE	CLAS_ZE___ZONA_ELEITORAL	MESO_ALAGOAS_1	MESO_ALAGOAS_2	MESO_ALAGOAS_3	MESO_CEARA_1	MESO_CEARA_2	MESO_CEARA_3	MESO_CEARA_6	MESO_CEARA_7	MESO_OUTRO	TEMPO_PROCESSUAL_TOTAL_DIAS
100	0	0	0	0	0	0	0	0.74359	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26506	0	0.28049	1	0	0	0	0	0.91267	0	0	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	227
1003	0	0	0.25	0.18182	0	0	0	0.30769	0	0	0	0	0	0	0	0.25	0	0	0	0	1	0.16867	0.2	0.17073	1	0	0	0	0	0.91267	0	0	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2296
1007	0	0	0	0.09091	0	0	0	0.07692	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.2	0	0	1	1	0	0	0.99992	0	1	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	389
101	0	0	0	0	0	0	0	0.79487	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28916	0	0.30488	1	0	0	0	0	0.91267	0	0	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	227
1017	0	0	0	0.09091	0	0	0	0.10256	0	0	0.5	0	0	0	0.5	0.125	0	0.33333	0	0	0	0.03614	0	0.04878	0	0	1	1	0	0.00034	0	1	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	84
102	0	0	0	0	0	0	0	0.66667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22892	0	0.2439	1	0	0	0	0	0.91267	0	0	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	227
1024	0	0	0.25	0.36364	0	0	0	0.12821	0.375	0	0.5	0	1	0.22222	0.5	0.3125	0	0.66667	0	0	1	0.25301	0.2	0.2561	0	0	1	1	0	0.0005	0	1	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1892
103	0	0	0	0	0	0	0	0.76923	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27711	0	0.29268	1	0	0	0	0	0.91267	0	0	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	227
1031	0	0	0	0.27273	0	0	0	0.12821	0.375	0	0.5	0	0	0.22222	0.5	0.1875	0	0.33333	0	1	0	0.16867	0	0.18293	0	0	1	1	0	0.00027	0	1	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	177
104	0	0	0	0	0	0	0	0.79487	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28916	0	0.30488	1	0	0	0	0	0.91267	0	0	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	227
1044	0	0	0.75	0.54545	0	0	0	0.12821	0	0	0	0	0.5	0.66667	1	0.375	0	0	0	0	1	0.28916	0.6	0.26829	1	0	0	0	0	0.00066	0	0	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2176
1046	1	0	0	0.09091	0	0	0	0.07692	0.625	0	0.5	0	0.5	0.22222	0	1	0	0.33333	0	0	0	0.28916	0	0.30488	0	0	1	1	0	6E-05	0	1	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	578
1048	0	0	0	0.45455	0	0	0	0.15385	0.125	0	0.5	0	1	0.11111	0	0.125	0	0.66667	0.5	0	1	0.18072	0	0.19512	0	0	1	1	0	0.00022	0	1	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1860
1049	0	0	0	0.09091	0	0	0	0.05128	0	0	0.5	1	0	0.11111	0	0.25	1	0.33333	0	0	0	0.06024	0.2	0.06098	0	0	1	1	0	6E-05	0	1	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	279
105	0	0	0	0	0	0	0	0.76923	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27711	0	0.29268	1	0	0	0	0	0.91267	0	0	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	227
1050	0	0	0.25	0.09091	0	0	0	0.12821	0	0	0	1	0	0.22222	0	0.0625	0	0	0	0	1	0.07229	0.4	0.06098	1	0	0	0	0	0.00019	0	0	0	0.13043	0.10714	0.15385	0.04	0	0.16035	0.13368	0.20755	0.1413	0.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.12606	0.12606	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1890
