MOV_DEVOLUCAO_105	MOV_DECURSO_DE_PRAZO_1051	MOV_DISPONIBILIZACAO_NO_DIARIO_DA_JUSTICA_ELETRONICO_1061	MOV_DESPACHO_11009	MOV_ATO_ORDINATORIO_11383	MOV_RECEBIMENTO_115	MOV_PROTOCOLO_DE_PETICAO_118	MOV_RETIFICACAO_DE_MOVIMENTO_11983	MOV_PAUTA_12103	MOV_INTIMACAO_12263	MOV_REMESSA_123	MOV_DEVOLVIDOS_OS_AUTOS_12315	MOV_RECEBIMENTO_132	MOV_APENSAMENTO_135	MOV_JULGAMENTO_193	MOV_DECISAO_3	MOV_REDISTRIBUICAO_36	MOV_ENTREGA_EM_CARGA_VISTA_493	MOV_CONCLUSAO_51	MOV_EXPEDICAO_DE_DOCUMENTO_60	MOV_JUNTADA_67	MOV_TRANSITO_EM_JULGADO_848	MOV_DESARQUIVAMENTO_893	MOV_PUBLICACAO_92	MOV_RECEBIMENTO_977	MOV_REMESSA_982	TEMPO_PROCESSUAL_TOTAL_DIAS	MOVEMENTS_COUNT	TOTAL_MAGISTRATE	TOTAL_OFFICIAL	CASE:COURT:CODE	PROCESSO_DIGITAL	TOTAL_ASSUNTOS	PENDENTES_CRIMINAL_2015	PENDENTES_CRIMINAL_2016	PENDENTES_CRIMINAL_2017	PENDENTES_CRIMINAL_2018	PENDENTES_CRIMINAL_2019	PENDENTES_NAO_CRIMINAL_2015	PENDENTES_NAO_CRIMINAL_2016	PENDENTES_NAO_CRIMINAL_2017	PENDENTES_NAO_CRIMINAL_2018	PENDENTES_NAO_CRIMINAL_2019	PENDENTES_NAO_CRIMINAL_2020	RECURSOS_INTERNOS_CONHECIMENTO_2018	ESTOQUE	TAXA_DE_CONGESTIONAMENTO_LIQUIDA	TAXA_DE_CONGESTIONAMENTO_TOTAL	TIPO_DESCONHECIDO	TIPO_UJ1	TIPO_UJ2	AL	CE	MA	PB	PE	PI	RN	SE	CLAS_OUTRO_CLASSE_PROCESSUAL	CLA_ACAO_PENAL_ELEITORAL_11528	CLA_DIREITOS_POLITICOS_12552	CLA_OUTROS_PROCEDIMENTOS_214	CLA_PROCEDIMENTOS_ADMINISTRATIVOS_DA_JUSTICA_ELEITORAL_11540	CLA_PROCEDIMENTOS_INVESTIGATORIOS_277	CLA_PROCEDIMENTOS_RELATIVOS_A_PARTIDOS_POLITICOS_11534	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLA_PROCESSO_ADMINISTRATIVO_1298	ASSU_ADMINISTRACAO_DA_JUSTICA_ELEITORAL_11557	ASSU_CRIMES_ELEITORAIS_11429	ASSU_ELEICOES_11583	ASSU_MEIOS_PROCESSUAIS_12064	ASSU_PARTIDOS_POLITICOS_11747	ASSU_REQUERIMENTO_11778	CLAS_OUTRO_ASSUNTO_PROCESSUAL	CLAS_DESCONHECIDO	CLAS_GAB2oS___GABINETE_DE_DESEMBARGADOR_OU_DE_MINISTRO_EXCETO_PRESIDENCIA_VICE_PRESIDENCIA_OU_CORREGEDORIA	CLAS_OUTRO_CLASSIFICACAO_DA_UNIDADE	CLAS_TUR___TURMAS_2o_GRAU_OU_TRIBUNAIS_SUPERIORES	CLAS_VP___GABINETE_DA_VICE_PRESIDENCIA	CLAS_ZE___ZONA_ELEITORAL
0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	389	0.0	0.09091	0.0	0.99992	0.0	1.0	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333	0.10526	0.0	0.0	0.0	0.0	0.0	84	0.0283	0.0	0.0303	0.03057	0.0	1.0	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.125	0.2	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.13043	0.0	0.0	0.0	0.0	0.5	0.2	0.33333	0.26316	0.0	0.0	0.0	1.0	0.0	1892	0.19811	0.09091	0.20202	0.03072	0.0	1.0	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.13043	0.0	0.0	0.0	0.0	0.0	0.2	0.33333	0.15789	0.0	0.0	0.5	0.0	0.0	177	0.13208	0.0	0.14141	0.03049	0.0	1.0	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	1.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.21739	0.0	0.0	0.0	0.0	0.25	0.2	0.0	0.84211	0.0	0.0	0.0	0.0	0.0	578	0.22642	0.0	0.24242	0.0303	0.0	1.0	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.04348	0.0	0.0	0.0	0.0	0.5	0.1	0.0	0.10526	0.0	0.5	0.0	1.0	0.0	1860	0.14151	0.0	0.15152	0.03045	0.0	1.0	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.1	0.0	0.21053	1.0	0.0	0.0	0.0	0.0	279	0.04717	0.09091	0.0404	0.0303	0.0	1.0	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.2	0.0	0.52632	0.0	0.0	0.0	1.0	0.0	203	0.17925	0.0	0.19192	0.03069	0.0	0.5	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.125	0.1	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.1	0.66667	0.42105	0.0	0.0	0.0	0.0	0.0	370	0.12264	0.09091	0.12121	0.03057	0.0	1.0	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.125	0.15	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.08696	0.0	0.0	0.0	0.0	0.25	0.6	0.0	0.15789	0.0	0.5	0.25	1.0	0.0	2406	0.29245	0.09091	0.30303	0.03086	0.0	1.0	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
