CASE:LAWSUIT:CLUSTER_ACT	MEAN_TIME	STD_TIME	COUNT
CLUS_ACT_5	2110.54	381.76	304
CLUS_ACT_13	2019.26	547.82	100
CLUS_ACT_2	1995.53	640.67	606
CLUS_ACT_6	1946.48	733.71	592
CLUS_ACT_12	1883.97	692.02	147
CLUS_ACT_10	1881.81	643.24	1584
CLUS_ACT_4	1862.05	685.56	865
CLUS_ACT_7	1848.28	686.28	972
CLUS_ACT_14	1787.36	951.57	630
CLUS_ACT_8	1786.99	688.46	188
CLUS_ACT_9	1497.39	592.7	244
CLUS_ACT_0	1405.93	1069.03	726
CLUS_ACT_1	1381.17	903.42	855
CLUS_ACT_3	1194.42	863.7	527
CLUS_ACT_11	771.89	832.61	463
