MESORREGIAO	MEAN_TIME	STD_TIME	COUNT
MESO_RIO_GRANDE_DO_NORTE_2	2432.16	228.21	83
MESO_CEARA_6	2395.1	416.46	60
MESO_CEARA_2	2353.65	534.29	626
MESO_CEARA_7	2258.11	533.41	118
MESO_CEARA_3	2251.59	491.71	682
MESO_PIAUI_2	2212.91	425.38	478
MESO_PERNAMBUCO_3	2182.26	667.07	199
MESO_CEARA_1	2181.53	474.48	482
MESO_PARAIBA_4	2168.42	420.76	99
MESO_PARAIBA_3	2164.83	506.78	42
MESO_RIO_GRANDE_DO_NORTE_1	2064.43	419.92	354
MESO_ALAGOAS_2	1978.83	608.18	276
MESO_RIO_GRANDE_DO_NORTE_4	1920.62	364.83	199
MESO_OUTRO	1851.09	749.64	66
MESO_ALAGOAS_1	1851.07	650.14	413
MESO_PERNAMBUCO_4	1837.62	471.65	372
MESO_PERNAMBUCO_5	1810.19	540.94	594
MESO_PARAIBA_1	1763.35	324.58	120
MESO_RIO_GRANDE_DO_NORTE_3	1698.7	477.51	164
MESO_PIAUI_1	1674.32	378.32	59
MESO_PIAUI_3	1506.61	470.4	138
MESO_ALAGOAS_3	1412.18	922.67	1580
MESO_PERNAMBUCO_1	1353.94	513.95	140
MESO_PIAUI_4	1244.82	290.1	241
MESO_SERGIPE_1	700.2	652.06	154
MESO_MARANHAO_1	492.59	694.56	44
MESO_SERGIPE_3	469.25	476.22	933
MESO_SERGIPE_2	299.64	308.23	87
