case:concept:name	CLUS_KME	CLUS_AGG	CLUS_ACT
0_TRT20	0.7105	0.5882	0.4167
10000_TRT13	0.0526	0.0588	0.0
10001_TRT13	0.0526	0.0588	0.0
10005_TRT13	0.0526	0.0	0.25
10006_TRT13	0.0526	0.0	0.0
10007_TRT13	0.0526	0.0	0.0
10008_TRT13	0.0526	0.0	0.1667
10009_TRT13	0.7105	0.1765	0.0
1000_TRT11	0.1316	0.1765	0.0
1000_TRT15	0.0263	0.1765	0.0833
1000_TRT20	0.8684	0.5882	0.25
1000_TRT21	0.7105	0.5882	0.5
1000_TRT22	0.1316	0.7059	0.9167
1000_TRT4	0.4211	0.7647	0.8333
1000_TRT8	0.8158	0.7059	0.8333
10011_TRT13	0.0526	0.0588	0.1667
10012_TRT13	0.0526	0.0	0.0
10013_TRT13	0.0526	0.1765	0.0
10015_TRT13	0.0526	0.0	0.25
10017_TRT13	0.0526	0.0	0.0
10018_TRT13	0.0526	0.0	0.25
10019_TRT13	0.0526	0.0	0.25
1001_TRT11	0.1316	0.0588	0.1667
1001_TRT15	0.1842	0.1765	0.0833
1001_TRT8	0.8158	0.7059	0.8333
10020_TRT13	0.0526	0.0588	0.1667
10021_TRT13	0.0526	0.1765	0.0
10024_TRT13	0.3684	0.3529	0.1667
10026_TRT13	0.0526	0.0588	0.1667
10027_TRT13	0.7105	0.1765	0.1667
10029_TRT13	0.0	0.1765	0.25
1002_TRT11	0.1316	0.1765	0.1667
1002_TRT12	1.0	0.9412	0.25
1002_TRT15	0.1842	0.1765	0.4167
10033_TRT13	0.0	0.0	0.0
10038_TRT13	0.2368	0.1765	0.1667
10039_TRT13	0.2368	0.4706	0.4167
1003_TRT15	0.0	0.0588	0.0833
1003_TRT21	0.5263	0.8235	0.9167
1003_TRT8	0.6316	0.7059	0.25
10042_TRT13	0.1842	0.3529	0.0
10043_TRT13	0.3421	0.3529	0.0
10044_TRT13	0.2632	0.3529	0.0
10048_TRT13	0.1842	0.1765	0.1667
1004_TRT20	0.8684	0.5882	0.8333
1004_TRT21	0.7105	0.5882	0.1667
1004_TRT22	0.1316	0.7059	0.6667
10051_TRT13	0.1579	0.3529	0.25
10052_TRT13	0.1316	0.0588	0.0
10054_TRT13	0.1316	0.5882	0.0
10057_TRT13	0.1316	0.0588	0.1667
10058_TRT13	0.1316	0.0588	0.0
10059_TRT13	0.1316	0.0588	0.0
1005_TRT11	0.1316	0.4706	0.1667
1005_TRT12	0.3947	0.6471	0.6667
1005_TRT14	0.0	0.1765	0.0833
1005_TRT20	0.8684	0.5882	0.25
1005_TRT21	0.7105	0.5882	0.75
1005_TRT22	0.1316	0.1176	0.9167
