case:concept:name	cluster_label
1005_TRT22	0.0303
10217_TRT13	0.5152
1023_TRT11	0.4545
1026_TRT8	0.7879
1036_TRT11	0.4848
1043_TRT14	0.1515
1044_TRT4	0.1212
1050_TRT11	0.0
1057_TRT1	0.8182
10847_TRT6	0.6061
10857_TRT6	0.1212
1089_TRT11	0.4545
1090_TRT11	0.0909
1090_TRT15	0.3636
10913_TRT18	0.0303
1092_TRT11	0.6061
1094_TRT8	0.7879
1097_TRT21	0.8788
1107_TRT15	0.6061
11166_TRT18	0.303
1122_TRT12	0.4848
1127_TRT15	0.3636
1139_TRT4	0.3333
113_TRT10	0.0
1146_TRT8	0.7273
1148_TRT11	0.0
11515_TRT18	0.303
1156_TRT14	0.0606
11615_TRT18	0.3333
1164_TRT18	0.303
11659_TRT6	0.8485
11765_TRT24	0.0303
1177_TRT22	0.0909
11791_TRT11	0.3333
1179_TRT22	0.7879
11842_TRT18	0.5758
1188_TRT7	0.1212
12009_TRT20	0.3333
12029_TRT21	0.8788
12064_TRT18	0.3333
12066_TRT21	0.8788
12070_TRT24	0.0303
12073_TRT6	0.7879
12078_TRT18	0.0909
1209_TRT12	0.4848
12106_TRT20	0.8788
12158_TRT18	0.0909
12174_TRT11	0.4545
12177_TRT11	0.4848
1218_TRT11	0.2121
12195_TRT8	0.0303
12197_TRT20	0.8485
1219_TRT4	0.8485
12218_TRT8	0.7273
12282_TRT24	0.3333
12284_TRT8	0.4848
122_TRT20	0.6364
12322_TRT8	0.7273
12339_TRT8	0.7273
12362_TRT8	0.7273
12368_TRT21	0.4848
12385_TRT24	0.3636
12400_TRT6	0.4848
12406_TRT21	0.4848
12432_TRT6	0.5455
12434_TRT22	0.7879
12444_TRT22	0.0909
12468_TRT21	1.0
12478_TRT8	0.7273
12484_TRT20	0.3636
12512_TRT11	0.2121
1251_TRT21	0.7576
1256_TRT4	0.8485
12573_TRT24	0.0606
12574_TRT24	0.0606
12576_TRT11	0.3333
1257_TRT8	0.7273
12582_TRT21	0.4848
12597_TRT20	0.6061
12606_TRT24	0.3636
12616_TRT22	0.7879
12668_TRT20	0.0606
12679_TRT21	0.5758
12692_TRT22	0.303
12715_TRT24	0.3636
12717_TRT8	0.5758
1274_TRT21	1.0
12755_TRT20	0.0
12758_TRT20	0.0
12780_TRT20	0.4545
127_TRT11	0.3333
127_TRT22	0.7879
12803_TRT8	0.1515
12812_TRT11	0.2121
1283_TRT21	0.3333
12863_TRT22	0.7879
12873_TRT18	0.3636
12874_TRT20	0.0606
12891_TRT20	0.6061
12900_TRT11	0.2121
1292_TRT12	0.9697
12939_TRT22	0.7879
12957_TRT21	0.7879
12963_TRT21	0.2727
1296_TRT22	0.7879
12985_TRT8	0.5758
13018_TRT21	0.5758
13032_TRT18	0.0
13057_TRT8	0.4848
1307_TRT12	0.9091
13137_TRT24	0.0909
13139_TRT18	0.2424
1314_TRT20	1.0
13152_TRT22	0.7879
13157_TRT8	0.6061
13162_TRT22	0.7879
13197_TRT8	0.4848
13203_TRT8	0.6061
13204_TRT18	0.0909
13212_TRT21	0.1212
13216_TRT22	0.7879
13225_TRT8	0.4848
13265_TRT21	0.0
13266_TRT16	0.3939
13283_TRT21	0.6061
13288_TRT24	0.3333
13354_TRT8	0.5758
1337_TRT12	0.9091
13404_TRT18	0.4848
13405_TRT22	0.0606
13409_TRT16	0.6061
13414_TRT24	0.3333
13414_TRT8	0.4848
13425_TRT20	0.8788
13426_TRT14	0.7879
13435_TRT24	0.4848
13452_TRT18	0.3636
13476_TRT14	0.7879
13494_TRT22	0.7879
13501_TRT8	0.4545
13512_TRT14	0.7879
13512_TRT24	0.3636
1351_TRT8	0.7273
13520_TRT8	0.3636
13524_TRT22	0.4848
13533_TRT16	0.6061
13580_TRT22	0.7879
13581_TRT8	0.3333
13596_TRT6	0.4848
13600_TRT24	0.0606
13620_TRT14	0.3333
13639_TRT16	0.6061
13639_TRT21	0.5455
13640_TRT16	0.6061
13644_TRT8	0.1515
1365_TRT8	0.4848
13667_TRT8	0.1818
13676_TRT18	0.1515
13688_TRT14	0.7879
13702_TRT24	0.0606
13705_TRT8	0.0
13754_TRT22	0.7879
13774_TRT24	0.0606
1377_TRT14	0.7576
1377_TRT22	0.7879
13789_TRT21	0.3333
13790_TRT7	0.0909
13792_TRT21	0.5455
13852_TRT24	0.0
1385_TRT20	0.8182
13877_TRT4	0.3333
13883_TRT4	0.8485
13900_TRT22	0.0606
13902_TRT22	0.0909
13905_TRT22	0.0
13919_TRT22	0.0
13937_TRT22	0.3939
13940_TRT4	0.8485
13964_TRT11	0.5152
13988_TRT18	0.0606
1398_TRT21	0.3333
13_TRT11	0.3333
14003_TRT22	0.0909
14018_TRT22	0.7879
14019_TRT8	0.7273
14021_TRT24	0.1818
1402_TRT21	0.3333
14055_TRT16	0.8788
14069_TRT22	0.7879
1407_TRT12	0.4848
1407_TRT20	0.8182
14083_TRT8	0.7273
140_TRT10	0.2424
14147_TRT22	0.6061
14153_TRT6	0.4848
14172_TRT4	0.8485
14192_TRT4	1.0
14195_TRT24	0.3636
14196_TRT8	0.0
14222_TRT8	0.7273
1422_TRT21	1.0
14242_TRT6	0.0606
14256_TRT7	0.3333
14278_TRT6	0.3333
14293_TRT16	0.4848
14301_TRT11	0.2121
14352_TRT16	0.0
14363_TRT16	0.0606
14389_TRT24	0.3333
14404_TRT24	0.2424
14407_TRT8	0.2424
14414_TRT22	0.2424
14422_TRT4	0.8485
14473_TRT24	0.3333
14520_TRT8	0.7273
14526_TRT16	0.0909
14543_TRT18	0.0
14568_TRT4	0.8485
14619_TRT22	0.6061
14674_TRT6	0.0606
1467_TRT12	0.3333
14714_TRT7	0.5758
14726_TRT22	0.0606
1475_TRT12	0.9697
1477_TRT15	0.3636
14797_TRT7	0.3636
14830_TRT18	0.2424
14883_TRT4	0.8485
14901_TRT16	0.0606
14910_TRT22	0.0909
14911_TRT10	0.9091
14942_TRT16	0.3939
14961_TRT16	0.0606
14981_TRT10	0.5455
1498_TRT14	0.7576
14997_TRT7	0.3636
15002_TRT7	0.1212
15012_TRT18	0.1212
1501_TRT10	0.697
15030_TRT8	0.4545
15074_TRT8	0.0909
15094_TRT7	0.7879
15096_TRT7	0.0909
15111_TRT7	0.0606
15117_TRT10	0.0303
15124_TRT4	0.8485
1512_TRT18	0.3333
15162_TRT17	0.2424
15167_TRT8	0.4848
15177_TRT4	0.3333
15181_TRT17	0.303
15199_TRT7	0.6061
15204_TRT17	0.303
1520_TRT21	1.0
15227_TRT18	0.3636
15237_TRT16	0.6061
1526_TRT15	0.3636
15295_TRT10	1.0
15366_TRT18	0.0
15374_TRT10	0.9091
15383_TRT7	0.3333
1541_TRT7	0.7879
15421_TRT7	0.3939
15445_TRT8	0.5455
15452_TRT7	0.6061
15474_TRT18	0.1212
15512_TRT10	0.697
15531_TRT16	0.5455
15534_TRT7	0.6061
1555_TRT20	1.0
15570_TRT7	0.6061
15574_TRT7	0.0909
1557_TRT12	0.7273
15610_TRT16	0.4848
15613_TRT8	0.3939
15632_TRT8	0.5758
15642_TRT18	0.1212
15663_TRT4	0.3333
1567_TRT18	0.3333
1572_TRT7	0.8182
15771_TRT8	0.6061
15805_TRT16	0.6061
15807_TRT7	0.4848
1580_TRT21	0.3333
15836_TRT16	0.5758
15845_TRT8	0.3636
15877_TRT4	0.7879
158_TRT22	0.7879
1590_TRT1	0.0909
15910_TRT8	0.3636
15913_TRT7	0.7879
15969_TRT4	0.7879
15991_TRT10	0.4545
16034_TRT16	0.3333
16055_TRT8	0.1818
1614_TRT22	0.7879
16169_TRT8	0.6061
16175_TRT7	0.4545
16196_TRT4	0.8485
