case:concept:name	cluster_label
0_TRT20	0.5882
10000_TRT13	0.0588
10001_TRT13	0.0588
10005_TRT13	0.0
10006_TRT13	0.0
10007_TRT13	0.0
10008_TRT13	0.0
10009_TRT13	0.1765
1000_TRT11	0.1765
1000_TRT15	0.1765
1000_TRT20	0.5882
1000_TRT21	0.5882
1000_TRT22	0.7059
1000_TRT4	0.7647
1000_TRT8	0.7059
10011_TRT13	0.0588
10012_TRT13	0.0
10013_TRT13	0.1765
10015_TRT13	0.0
10017_TRT13	0.0
10018_TRT13	0.0
10019_TRT13	0.0
1001_TRT11	0.0588
1001_TRT15	0.1765
1001_TRT8	0.7059
10020_TRT13	0.0588
10021_TRT13	0.1765
10024_TRT13	0.3529
10026_TRT13	0.0588
10027_TRT13	0.1765
10029_TRT13	0.1765
1002_TRT11	0.1765
1002_TRT12	0.9412
1002_TRT15	0.1765
10033_TRT13	0.0
10038_TRT13	0.1765
10039_TRT13	0.4706
1003_TRT15	0.0588
1003_TRT21	0.8235
1003_TRT8	0.7059
10042_TRT13	0.3529
10043_TRT13	0.3529
10044_TRT13	0.3529
10048_TRT13	0.1765
1004_TRT20	0.5882
1004_TRT21	0.5882
1004_TRT22	0.7059
10051_TRT13	0.3529
10052_TRT13	0.0588
10054_TRT13	0.5882
10057_TRT13	0.0588
10058_TRT13	0.0588
10059_TRT13	0.0588
1005_TRT11	0.4706
1005_TRT12	0.6471
1005_TRT14	0.1765
1005_TRT20	0.5882
1005_TRT21	0.5882
1005_TRT22	0.1176
10064_TRT13	0.0
10066_TRT13	0.1765
1006_TRT15	0.0588
1006_TRT22	0.7059
1006_TRT7	0.2941
1006_TRT8	0.7059
10070_TRT13	0.1765
10071_TRT13	0.1765
10072_TRT13	0.1765
1007_TRT11	0.5882
1007_TRT15	0.0
1007_TRT21	0.8235
1007_TRT4	0.7647
10081_TRT13	0.0588
1008_TRT20	0.5882
1008_TRT21	0.5882
1008_TRT22	0.7059
1008_TRT8	0.7059
10091_TRT13	0.1765
1009_TRT11	0.0
1009_TRT12	0.8824
1009_TRT15	0.3529
1009_TRT20	0.5882
1009_TRT21	0.8235
100_TRT11	0.2941
10101_TRT13	0.3529
1010_TRT11	0.4706
1010_TRT15	0.1765
1010_TRT20	0.5882
1010_TRT22	0.7059
10117_TRT13	0.3529
10119_TRT13	0.3529
1011_TRT11	0.4706
1011_TRT15	0.0
1011_TRT20	0.5882
1011_TRT21	0.8235
10121_TRT13	0.1765
10124_TRT13	0.1765
1012_TRT11	0.4706
1012_TRT15	0.1765
1012_TRT20	0.5882
1012_TRT21	0.8235
1013_TRT20	0.5882
1013_TRT21	0.8235
1013_TRT22	0.7059
1013_TRT4	0.7059
1014_TRT12	0.8824
1014_TRT15	0.1765
1014_TRT20	0.5882
1014_TRT21	0.8235
1014_TRT4	0.7647
10150_TRT13	0.1765
10152_TRT13	0.0
10153_TRT13	0.1765
10155_TRT13	0.0588
1015_TRT12	0.8824
1015_TRT14	0.3529
1015_TRT20	0.5882
1015_TRT21	0.8235
1015_TRT4	0.0588
10160_TRT13	0.1765
10163_TRT13	0.1765
10165_TRT13	0.1765
10168_TRT13	0.1765
1016_TRT11	0.4706
1016_TRT15	0.1765
1016_TRT21	0.8235
1016_TRT22	0.7059
10173_TRT13	0.5882
10177_TRT13	0.0
1017_TRT11	0.4706
1017_TRT15	0.1765
1017_TRT20	0.8235
10180_TRT13	0.3529
10185_TRT13	0.1765
10186_TRT13	0.5882
10189_TRT13	0.1765
1018_TRT11	0.3529
1018_TRT15	0.1765
1018_TRT20	0.8235
10190_TRT13	0.2941
10191_TRT13	0.2941
10192_TRT13	0.2353
10194_TRT13	0.1765
10196_TRT13	0.0
1019_TRT11	0.0
1019_TRT12	0.8824
1019_TRT20	0.5882
1019_TRT21	0.8235
1019_TRT22	0.7059
101_TRT3	0.5882
10206_TRT13	0.0
1020_TRT11	0.2941
1020_TRT12	0.8824
1020_TRT15	0.0588
1020_TRT18	0.2353
1020_TRT21	0.8235
10215_TRT13	0.0
10216_TRT13	0.3529
10217_TRT13	0.3529
10219_TRT13	0.0588
1021_TRT11	0.0
1021_TRT15	0.0
1021_TRT20	0.5882
1021_TRT7	0.7059
10229_TRT13	0.5882
1022_TRT15	0.0588
1022_TRT20	0.5882
10230_TRT13	0.1765
10231_TRT13	0.5882
10233_TRT13	0.1765
10234_TRT13	0.1765
10236_TRT13	0.3529
1023_TRT11	0.5882
1023_TRT20	0.5882
1023_TRT21	0.8235
1023_TRT4	0.5882
10242_TRT13	0.3529
1024_TRT15	0.0588
1024_TRT21	0.8235
1024_TRT7	0.1176
10259_TRT13	0.0
1025_TRT11	0.5882
1025_TRT12	0.8824
1025_TRT14	0.2941
10261_TRT13	0.1765
10268_TRT13	0.3529
1026_TRT12	0.6471
1026_TRT15	0.1765
1026_TRT21	0.7059
1026_TRT22	0.7059
1026_TRT8	0.7059
10276_TRT13	0.0
1027_TRT15	0.0
1027_TRT18	0.2353
1027_TRT21	0.5882
1027_TRT22	0.1176
1027_TRT8	0.7059
1028_TRT15	0.2941
1028_TRT20	0.5882
1028_TRT4	0.7647
1028_TRT8	0.5882
1029_TRT11	0.5882
1029_TRT20	0.5882
1029_TRT21	0.8235
1029_TRT22	0.7059
1029_TRT8	0.7059
102_TRT20	0.5882
1030_TRT12	0.8824
1030_TRT14	0.4706
1030_TRT15	0.0588
1030_TRT18	0.1176
1030_TRT20	0.5882
1031_TRT14	0.4706
1031_TRT15	0.1765
1031_TRT20	0.5882
1031_TRT21	0.8235
1032_TRT12	0.6471
1032_TRT20	0.5882
1032_TRT21	0.5882
1033_TRT11	0.4706
1033_TRT15	0.3529
1033_TRT20	0.5882
1033_TRT21	0.5882
1033_TRT8	0.7059
1034_TRT20	0.5882
1034_TRT21	0.8235
1034_TRT22	0.7059
1035_TRT15	0.1765
1035_TRT21	0.8235
1035_TRT7	0.2941
