case:concept:name	cluster_label
1013_TRT22	0.9167
1019_TRT22	0.9167
1026_TRT21	0.9167
1029_TRT22	0.9167
1042_TRT22	0.9167
1043_TRT22	0.9167
1044_TRT22	0.9167
1047_TRT22	0.9167
1049_TRT22	0.9167
1055_TRT22	0.9167
1056_TRT22	0.9167
1057_TRT22	0.9167
1058_TRT22	0.9167
1059_TRT22	0.9167
1064_TRT22	0.9167
1070_TRT22	0.9167
1071_TRT22	0.9167
1072_TRT22	0.9167
1093_TRT22	0.9167
1123_TRT22	0.9167
1133_TRT22	0.9167
1142_TRT22	0.9167
1145_TRT22	0.9167
1147_TRT22	0.9167
1149_TRT22	0.9167
1150_TRT22	0.9167
1164_TRT22	0.9167
1172_TRT22	0.9167
1178_TRT22	0.9167
1179_TRT22	0.9167
1199_TRT22	0.9167
1201_TRT22	0.9167
1215_TRT22	0.9167
12321_TRT22	0.9167
1232_TRT22	0.9167
12331_TRT22	0.9167
12333_TRT22	0.9167
12363_TRT22	0.9167
12373_TRT22	0.9167
12388_TRT22	0.9167
12393_TRT22	0.9167
12395_TRT22	0.9167
12396_TRT22	0.9167
12428_TRT22	0.9167
1242_TRT22	0.9167
12436_TRT22	0.9167
12443_TRT22	0.9167
1244_TRT22	0.9167
12475_TRT22	0.9167
12486_TRT22	0.9167
12496_TRT22	0.9167
12509_TRT22	0.9167
12529_TRT22	0.9167
12539_TRT22	0.9167
12554_TRT22	0.9167
12557_TRT22	0.9167
12568_TRT22	0.9167
1257_TRT22	0.9167
12602_TRT22	0.9167
12603_TRT22	0.9167
12612_TRT22	0.9167
12613_TRT22	0.9167
12617_TRT22	0.9167
12653_TRT22	0.9167
1265_TRT22	0.9167
12674_TRT22	0.9167
12677_TRT22	0.9167
12689_TRT22	0.9167
12693_TRT22	0.9167
12695_TRT22	0.9167
12716_TRT22	0.9167
12737_TRT22	0.9167
12741_TRT22	0.9167
1274_TRT22	0.9167
1275_TRT22	0.9167
12784_TRT22	0.9167
12786_TRT22	0.9167
12787_TRT22	0.9167
12862_TRT22	0.9167
12908_TRT22	0.9167
12944_TRT22	0.9167
12946_TRT22	0.9167
12955_TRT22	0.9167
12956_TRT22	0.9167
12957_TRT22	0.9167
12959_TRT22	0.9167
12970_TRT22	0.9167
12986_TRT22	0.9167
1299_TRT22	0.9167
13002_TRT22	0.9167
13004_TRT22	0.9167
13006_TRT22	0.9167
13046_TRT22	0.9167
13052_TRT22	0.9167
13057_TRT22	0.9167
13060_TRT22	0.9167
13062_TRT22	0.9167
13063_TRT22	0.9167
13081_TRT22	0.9167
13085_TRT22	0.9167
13092_TRT22	0.9167
13096_TRT22	0.9167
13097_TRT22	0.9167
13103_TRT22	0.9167
1310_TRT22	0.9167
13111_TRT22	0.9167
13132_TRT22	0.9167
13136_TRT22	0.9167
13141_TRT22	0.9167
13142_TRT22	0.9167
13162_TRT22	0.9167
13182_TRT22	0.9167
13184_TRT22	0.9167
13189_TRT22	0.9167
13190_TRT22	0.9167
1319_TRT22	0.9167
13225_TRT22	0.9167
13241_TRT22	0.9167
1324_TRT22	0.9167
13252_TRT22	0.9167
13255_TRT22	0.9167
13256_TRT22	0.9167
13263_TRT22	0.9167
13270_TRT22	0.9167
13274_TRT22	0.9167
13276_TRT22	0.9167
13277_TRT22	0.9167
13286_TRT22	0.9167
13295_TRT22	0.9167
13297_TRT22	0.9167
13301_TRT22	0.9167
13309_TRT22	0.9167
13316_TRT22	0.9167
13318_TRT22	0.9167
13321_TRT22	0.9167
13334_TRT22	0.9167
13344_TRT22	0.9167
13347_TRT22	0.9167
13359_TRT22	0.9167
1335_TRT22	0.9167
13360_TRT22	0.9167
13365_TRT22	0.9167
13379_TRT22	0.9167
13386_TRT22	0.9167
1338_TRT22	0.9167
13392_TRT22	0.9167
13395_TRT22	0.9167
13401_TRT22	0.9167
13408_TRT22	0.9167
13427_TRT22	0.9167
13439_TRT22	0.9167
1344_TRT22	0.9167
13468_TRT22	0.9167
13496_TRT22	0.9167
13497_TRT22	0.9167
13498_TRT22	0.9167
13510_TRT22	0.9167
13526_TRT22	0.9167
13534_TRT22	0.9167
13535_TRT22	0.9167
13563_TRT22	0.9167
1356_TRT22	0.9167
1357_TRT22	0.9167
13581_TRT22	0.9167
1360_TRT22	0.9167
13629_TRT22	0.9167
13643_TRT22	0.9167
13644_TRT22	0.9167
1368_TRT22	0.9167
13693_TRT22	0.9167
13694_TRT22	0.9167
13697_TRT22	0.9167
13698_TRT22	0.9167
13731_TRT22	0.9167
1377_TRT22	0.9167
13849_TRT22	0.9167
1386_TRT22	0.9167
13886_TRT22	0.9167
1390_TRT22	0.9167
1392_TRT22	0.9167
13948_TRT22	0.9167
14000_TRT22	0.9167
1400_TRT22	0.9167
1407_TRT22	0.9167
1410_TRT22	0.9167
1413_TRT22	0.9167
14165_TRT22	0.9167
1426_TRT22	0.9167
1427_TRT22	0.9167
14282_TRT22	0.9167
1430_TRT22	0.9167
1441_TRT22	0.9167
1442_TRT22	0.9167
1443_TRT22	0.9167
1446_TRT22	0.9167
1453_TRT22	0.9167
1459_TRT22	0.9167
1460_TRT22	0.9167
1481_TRT22	0.9167
1490_TRT22	0.9167
1494_TRT22	0.9167
1501_TRT22	0.9167
1504_TRT22	0.9167
1505_TRT22	0.9167
1508_TRT22	0.9167
1513_TRT22	0.9167
1528_TRT22	0.9167
1530_TRT22	0.9167
1537_TRT22	0.9167
1551_TRT22	0.9167
1555_TRT22	0.9167
1556_TRT22	0.9167
1575_TRT22	0.9167
1579_TRT22	0.9167
1585_TRT22	0.9167
1587_TRT22	0.9167
1595_TRT22	0.9167
1596_TRT22	0.9167
1602_TRT22	0.9167
1603_TRT22	0.9167
1615_TRT22	0.9167
1623_TRT22	0.9167
1652_TRT22	0.9167
1665_TRT22	0.9167
1667_TRT22	0.9167
1693_TRT22	0.9167
1699_TRT22	0.9167
1702_TRT22	0.9167
1712_TRT22	0.9167
1715_TRT22	0.9167
1739_TRT22	0.9167
1768_TRT22	0.9167
1781_TRT22	0.9167
1782_TRT22	0.9167
1783_TRT22	0.9167
1784_TRT22	0.9167
1806_TRT22	0.9167
1811_TRT22	0.9167
1826_TRT22	0.9167
1831_TRT22	0.9167
1832_TRT22	0.9167
1834_TRT22	0.9167
1835_TRT22	0.9167
1838_TRT22	0.9167
1840_TRT22	0.9167
1841_TRT22	0.9167
1845_TRT22	0.9167
1848_TRT22	0.9167
1854_TRT22	0.9167
1864_TRT22	0.9167
1867_TRT22	0.9167
1868_TRT22	0.9167
1869_TRT22	0.9167
1870_TRT22	0.9167
1871_TRT22	0.9167
1873_TRT22	0.9167
1874_TRT22	0.9167
1879_TRT22	0.9167
1880_TRT22	0.9167
1881_TRT22	0.9167
1882_TRT22	0.9167
1887_TRT22	0.9167
1891_TRT22	0.9167
1898_TRT22	0.9167
1899_TRT22	0.9167
1902_TRT22	0.9167
1903_TRT22	0.9167
1906_TRT22	0.9167
1907_TRT22	0.9167
1916_TRT22	0.9167
1925_TRT22	0.9167
192_TRT22	0.9167
1930_TRT22	0.9167
1931_TRT22	0.9167
1939_TRT22	0.9167
1940_TRT22	0.9167
1942_TRT22	0.9167
1943_TRT22	0.9167
1946_TRT22	0.9167
1953_TRT22	0.9167
1955_TRT22	0.9167
1961_TRT22	0.9167
1965_TRT22	0.9167
1970_TRT22	0.9167
1972_TRT22	0.9167
1984_TRT22	0.9167
1988_TRT22	0.9167
1995_TRT22	0.9167
1999_TRT22	0.9167
2004_TRT22	0.9167
2007_TRT22	0.9167
200_TRT22	0.9167
2017_TRT22	0.9167
2019_TRT22	0.9167
2026_TRT22	0.9167
2033_TRT22	0.9167
2035_TRT22	0.9167
2037_TRT22	0.9167
2038_TRT22	0.9167
2041_TRT22	0.9167
2044_TRT22	0.9167
2045_TRT22	0.9167
2047_TRT22	0.9167
2049_TRT22	0.9167
2051_TRT22	0.9167
2052_TRT22	0.9167
2055_TRT22	0.9167
2057_TRT22	0.9167
2064_TRT22	0.9167
2066_TRT22	0.9167
206_TRT22	0.9167
2081_TRT22	0.9167
2086_TRT22	0.9167
2088_TRT22	0.9167
2090_TRT22	0.9167
2100_TRT22	0.9167
2107_TRT22	0.9167
2118_TRT22	0.9167
2119_TRT22	0.9167
2121_TRT22	0.9167
2130_TRT22	0.9167
2131_TRT22	0.9167
2133_TRT22	0.9167
2134_TRT22	0.9167
2137_TRT22	0.9167
2138_TRT22	0.9167
2139_TRT22	0.9167
2140_TRT22	0.9167
2141_TRT22	0.9167
2143_TRT22	0.9167
2144_TRT22	0.9167
2145_TRT22	0.9167
2148_TRT22	0.9167
2150_TRT22	0.9167
2152_TRT22	0.9167
2153_TRT22	0.9167
2165_TRT22	0.9167
2167_TRT22	0.9167
2180_TRT22	0.9167
2197_TRT22	0.9167
2202_TRT22	0.9167
2206_TRT22	0.9167
220_TRT22	0.9167
2229_TRT22	0.9167
2268_TRT22	0.9167
2271_TRT22	0.9167
228_TRT22	0.9167
2290_TRT22	0.9167
2302_TRT22	0.9167
2306_TRT22	0.9167
252_TRT22	0.9167
263_TRT22	0.9167
3014_TRT14	0.9167
303_TRT22	0.9167
3058_TRT14	0.9167
325_TRT22	0.9167
326_TRT22	0.9167
329_TRT22	0.9167
3398_TRT14	0.9167
341_TRT22	0.9167
342_TRT22	0.9167
343_TRT22	0.9167
344_TRT22	0.9167
348_TRT22	0.9167
351_TRT22	0.9167
356_TRT22	0.9167
360_TRT22	0.9167
361_TRT22	0.9167
372_TRT22	0.9167
375_TRT22	0.9167
377_TRT22	0.9167
378_TRT22	0.9167
379_TRT22	0.9167
381_TRT22	0.9167
390_TRT22	0.9167
403_TRT22	0.9167
438_TRT22	0.9167
452_TRT22	0.9167
475_TRT22	0.9167
481_TRT22	0.9167
502_TRT22	0.9167
504_TRT22	0.9167
525_TRT22	0.9167
526_TRT22	0.9167
529_TRT22	0.9167
52_TRT22	0.9167
547_TRT22	0.9167
548_TRT22	0.9167
549_TRT22	0.9167
54_TRT22	0.9167
554_TRT22	0.9167
571_TRT22	0.9167
587_TRT22	0.9167
592_TRT22	0.9167
605_TRT22	0.9167
611_TRT22	0.9167
615_TRT22	0.9167
657_TRT22	0.9167
66_TRT22	0.9167
679_TRT22	0.9167
682_TRT22	0.9167
685_TRT22	0.9167
68_TRT22	0.9167
702_TRT22	0.9167
703_TRT22	0.9167
724_TRT22	0.9167
733_TRT22	0.9167
770_TRT22	0.9167
776_TRT22	0.9167
781_TRT22	0.9167
782_TRT22	0.9167
794_TRT22	0.9167
814_TRT22	0.9167
820_TRT22	0.9167
837_TRT22	0.9167
83_TRT22	0.9167
841_TRT22	0.9167
848_TRT22	0.9167
849_TRT22	0.9167
869_TRT22	0.9167
879_TRT22	0.9167
88_TRT22	0.9167
890_TRT22	0.9167
893_TRT22	0.9167
908_TRT22	0.9167
90_TRT22	0.9167
928_TRT22	0.9167
944_TRT22	0.9167
94_TRT22	0.9167
956_TRT22	0.9167
95_TRT22	0.9167
96_TRT22	0.9167
970_TRT22	0.9167
975_TRT22	0.9167
976_TRT22	0.9167
977_TRT22	0.9167
97_TRT22	0.9167
981_TRT22	0.9167
983_TRT22	0.9167
989_TRT22	0.9167
993_TRT22	0.9167
996_TRT22	0.9167
12349_TRT22	0.9167
13066_TRT8	0.9167
13069_TRT8	0.9167
13070_TRT8	0.9167
13071_TRT8	0.9167
13072_TRT8	0.9167
13073_TRT8	0.9167
13074_TRT8	0.9167
13078_TRT8	0.9167
14945_TRT8	0.9167
1110_TRT22	0.9167
13296_TRT22	0.9167
1549_TRT22	0.9167
2043_TRT22	0.9167
2099_TRT22	0.9167
13448_TRT14	0.9167
3361_TRT14	0.9167
1529_TRT22	0.9167
2255_TRT22	0.9167
11035_TRT6	0.9167
1362_TRT22	0.9167
275_TRT6	0.9167
10984_TRT6	0.9167
11034_TRT6	0.9167
12434_TRT22	0.9167
12447_TRT22	0.9167
12519_TRT22	0.9167
13264_TRT22	0.9167
1717_TRT22	0.9167
1731_TRT15	0.9167
2195_TRT17	0.9167
3100_TRT1	0.9167
1097_TRT22	0.9167
1146_TRT22	0.9167
1196_TRT22	0.9167
12589_TRT22	0.9167
1276_TRT22	0.9167
12822_TRT22	0.9167
12826_TRT22	0.9167
12919_TRT22	0.9167
12928_TRT22	0.9167
12968_TRT22	0.9167
12980_TRT22	0.9167
13017_TRT22	0.9167
1331_TRT22	0.9167
1341_TRT22	0.9167
13527_TRT22	0.9167
1434_TRT22	0.9167
1451_TRT22	0.9167
1452_TRT22	0.9167
1458_TRT22	0.9167
1465_TRT22	0.9167
1471_TRT22	0.9167
1552_TRT22	0.9167
1559_TRT22	0.9167
1564_TRT22	0.9167
1639_TRT22	0.9167
1647_TRT22	0.9167
1733_TRT22	0.9167
1859_TRT22	0.9167
1872_TRT22	0.9167
2012_TRT22	0.9167
