case:concept:name	cluster_label
0_TRT20	0.7105
10000_TRT13	0.0526
10001_TRT13	0.0526
10005_TRT13	0.0526
10006_TRT13	0.0526
10007_TRT13	0.0526
10008_TRT13	0.0526
10009_TRT13	0.7105
1000_TRT11	0.1316
1000_TRT15	0.0263
1000_TRT20	0.8684
1000_TRT21	0.7105
1000_TRT22	0.1316
1000_TRT4	0.4211
1000_TRT8	0.8158
10011_TRT13	0.0526
10012_TRT13	0.0526
10013_TRT13	0.0526
10015_TRT13	0.0526
10017_TRT13	0.0526
10018_TRT13	0.0526
10019_TRT13	0.0526
1001_TRT11	0.1316
1001_TRT15	0.1842
1001_TRT8	0.8158
10020_TRT13	0.0526
10021_TRT13	0.0526
10024_TRT13	0.3684
10026_TRT13	0.0526
10027_TRT13	0.7105
10029_TRT13	0.0
1002_TRT11	0.1316
1002_TRT12	1.0
1002_TRT15	0.1842
10033_TRT13	0.0
10038_TRT13	0.2368
10039_TRT13	0.2368
1003_TRT15	0.0
1003_TRT21	0.5263
1003_TRT8	0.6316
10042_TRT13	0.1842
10043_TRT13	0.3421
10044_TRT13	0.2632
10048_TRT13	0.1842
1004_TRT20	0.8684
1004_TRT21	0.7105
1004_TRT22	0.1316
10051_TRT13	0.1579
10052_TRT13	0.1316
10054_TRT13	0.1316
10057_TRT13	0.1316
10058_TRT13	0.1316
10059_TRT13	0.1316
1005_TRT11	0.1316
1005_TRT12	0.3947
1005_TRT14	0.0
1005_TRT20	0.8684
1005_TRT21	0.7105
1005_TRT22	0.1316
10064_TRT13	0.0
10066_TRT13	0.0789
1006_TRT15	0.0
1006_TRT22	0.2895
1006_TRT7	0.1053
1006_TRT8	0.8158
10070_TRT13	0.0263
10071_TRT13	0.4211
10072_TRT13	0.0263
1007_TRT11	0.3421
1007_TRT15	0.0
1007_TRT21	0.0789
1007_TRT4	0.7895
10081_TRT13	0.0
1008_TRT20	0.6316
1008_TRT21	0.7105
1008_TRT22	0.1316
1008_TRT8	0.8158
10091_TRT13	0.1842
1009_TRT11	0.2895
1009_TRT12	0.8421
1009_TRT15	0.1842
1009_TRT20	0.8684
1009_TRT21	0.5263
100_TRT11	0.1053
10101_TRT13	0.7105
1010_TRT11	0.5526
1010_TRT15	0.1579
1010_TRT20	0.6316
1010_TRT22	0.1316
10117_TRT13	0.0263
10119_TRT13	0.1842
1011_TRT11	0.3947
1011_TRT15	0.1579
1011_TRT20	0.6316
1011_TRT21	0.5263
10121_TRT13	0.1579
10124_TRT13	0.1842
1012_TRT11	0.2632
1012_TRT15	0.0
1012_TRT20	0.8684
1012_TRT21	0.5263
1013_TRT20	0.8684
1013_TRT21	0.5263
1013_TRT22	0.1316
1013_TRT4	0.7895
1014_TRT12	0.7105
1014_TRT15	0.0
1014_TRT20	0.6316
1014_TRT21	0.5263
1014_TRT4	0.7895
10150_TRT13	0.1842
10152_TRT13	0.4211
10153_TRT13	0.0263
10155_TRT13	0.7105
1015_TRT12	0.7105
1015_TRT14	0.1842
1015_TRT20	0.6316
1015_TRT21	0.5263
1015_TRT4	0.7895
10160_TRT13	0.7105
10163_TRT13	0.2368
10165_TRT13	0.0263
10168_TRT13	0.0263
1016_TRT11	0.5526
1016_TRT15	0.0263
1016_TRT21	0.5263
1016_TRT22	0.1316
10173_TRT13	0.3684
10177_TRT13	0.0263
1017_TRT11	0.3158
1017_TRT15	0.1579
1017_TRT20	0.8684
10180_TRT13	0.7105
10185_TRT13	0.0263
10186_TRT13	0.1316
10189_TRT13	0.0
1018_TRT11	0.3947
1018_TRT15	0.1579
1018_TRT20	0.8684
10190_TRT13	0.0263
10191_TRT13	0.0263
10192_TRT13	0.1316
10194_TRT13	0.0263
10196_TRT13	0.1316
1019_TRT11	0.1316
1019_TRT12	0.7105
1019_TRT20	0.8684
1019_TRT21	0.5263
1019_TRT22	0.1316
101_TRT3	0.7105
10206_TRT13	0.1316
1020_TRT11	0.1316
1020_TRT12	0.8421
1020_TRT15	0.1316
1020_TRT18	0.6316
1020_TRT21	0.5263
10215_TRT13	0.0
10216_TRT13	0.3684
10217_TRT13	0.7105
10219_TRT13	0.0263
1021_TRT11	0.1316
1021_TRT15	0.1579
1021_TRT20	0.8684
1021_TRT7	0.6316
10229_TRT13	0.3684
1022_TRT15	0.0
1022_TRT20	0.8684
10230_TRT13	0.1316
10231_TRT13	0.7105
10233_TRT13	0.2368
10234_TRT13	0.4211
10236_TRT13	0.7105
1023_TRT11	0.3421
1023_TRT20	0.7105
1023_TRT21	0.5263
1023_TRT4	0.4211
10242_TRT13	0.1842
1024_TRT15	0.4211
1024_TRT21	0.5263
1024_TRT7	0.1053
10259_TRT13	0.1316
1025_TRT11	0.7105
1025_TRT12	0.8421
1025_TRT14	0.1316
10261_TRT13	0.1842
10268_TRT13	0.2368
1026_TRT12	1.0
1026_TRT15	0.0
1026_TRT21	0.1316
1026_TRT22	0.1316
1026_TRT8	0.8158
10276_TRT13	0.0
1027_TRT15	0.0
1027_TRT18	0.1053
1027_TRT21	0.7105
1027_TRT22	0.1316
1027_TRT8	0.6316
1028_TRT15	0.1316
1028_TRT20	0.7105
1028_TRT4	0.7895
1028_TRT8	0.7105
1029_TRT11	0.7105
1029_TRT20	0.6316
1029_TRT21	0.7105
1029_TRT22	0.1316
1029_TRT8	0.8158
102_TRT20	0.8684
1030_TRT12	1.0
1030_TRT14	0.7105
1030_TRT15	0.1316
1030_TRT18	0.1053
1030_TRT20	0.8684
1031_TRT14	0.5526
1031_TRT15	0.5263
1031_TRT20	0.8684
1031_TRT21	0.7105
1032_TRT12	0.3947
1032_TRT20	0.8684
1032_TRT21	0.7105
1033_TRT11	0.3947
1033_TRT15	0.3684
1033_TRT20	0.8684
1033_TRT21	0.7105
1033_TRT8	0.8158
1034_TRT20	0.8684
1034_TRT21	0.5263
1034_TRT22	0.2895
1035_TRT15	0.0
1035_TRT21	0.5263
1035_TRT7	0.1053
1036_TRT11	0.1316
1036_TRT15	0.1842
1036_TRT21	0.5263
1037_TRT14	0.5526
1038_TRT11	0.1316
1038_TRT15	0.1842
1038_TRT21	0.7105
1038_TRT4	0.7895
1038_TRT7	0.6316
1038_TRT8	0.6316
1039_TRT15	0.0263
1039_TRT4	0.4211
103_TRT14	0.1053
103_TRT18	0.1053
103_TRT22	0.2895
103_TRT3	0.5526
1040_TRT11	0.5526
1040_TRT12	0.8421
1040_TRT15	0.0
1040_TRT18	0.1053
1040_TRT20	0.6316
1040_TRT21	0.7105
1040_TRT4	0.4211
1040_TRT7	0.1053
1040_TRT8	0.6316
1041_TRT1	0.1316
1041_TRT18	0.1053
1041_TRT20	0.8684
10427_TRT18	0.1053
10428_TRT18	0.3158
1042_TRT14	0.1316
1042_TRT15	0.1316
1042_TRT20	0.6316
1042_TRT22	0.1316
1042_TRT8	0.8158
10430_TRT18	0.0789
10432_TRT18	0.3158
10435_TRT18	0.1053
10439_TRT18	0.1053
1043_TRT11	0.1316
1043_TRT12	0.8421
1043_TRT14	0.0789
1043_TRT20	0.8684
1043_TRT22	0.1316
10441_TRT18	0.8158
10443_TRT18	0.7895
10446_TRT18	0.3158
10448_TRT18	0.6316
10449_TRT18	0.8158
1044_TRT15	0.1316
1044_TRT20	0.8684
1044_TRT22	0.1316
1044_TRT4	0.4211
1044_TRT8	0.8158
10450_TRT18	0.6316
10453_TRT18	0.1053
10455_TRT18	0.1053
10458_TRT18	0.7105
10459_TRT18	0.7895
1045_TRT11	0.2632
1045_TRT12	1.0
1045_TRT15	0.1316
1045_TRT20	0.8684
1045_TRT21	0.5263
1045_TRT4	0.7895
10460_TRT18	0.7105
10463_TRT18	0.1053
10464_TRT18	0.7895
10467_TRT18	0.1053
10469_TRT18	0.7895
1046_TRT11	0.1316
1046_TRT15	0.0
1046_TRT20	0.8684
1046_TRT21	0.7105
10470_TRT18	0.5263
10474_TRT18	0.6316
10477_TRT18	0.6316
10479_TRT18	0.6316
1047_TRT15	0.0263
1047_TRT21	0.5263
1047_TRT22	0.1316
1047_TRT4	0.4211
1047_TRT8	0.8158
10480_TRT18	0.6316
10481_TRT18	0.1053
1048_TRT11	0.0789
1048_TRT14	0.3947
1048_TRT15	0.0
1048_TRT18	0.1053
1048_TRT21	0.5263
10497_TRT18	0.6316
1049_TRT11	0.2632
1049_TRT12	0.7105
1049_TRT15	0.0
1049_TRT21	0.5263
1049_TRT22	0.1316
1049_TRT4	0.7895
1049_TRT8	0.7105
104_TRT11	0.3947
104_TRT3	0.1053
104_TRT9	0.5789
10500_TRT18	0.6316
10503_TRT18	0.6316
10508_TRT18	0.1053
10509_TRT18	0.1053
