	Feature	import_gain
40	CLUS_AGG	387811523690.0
36	CLASSE_PROCESSUAL	119501221033.0
39	CLUS_KME	40834715899.0
38	NUMERO_TRT	31729533921.0
31	ASSU_RESCISAO_DO_CONTRATO_DE_TRABALHO	25969703998.0
37	PROCESSO_DIGITAL	23848203942.0
21	MOV_DESARQUIVAMENTO_893	12953200835.0
34	TOTAL_ASSUNTOS_DISTINTOS	10928389401.0
16	MOV_ENTREGA_EM_CARGA_VISTA_493	8627235003.0
27	TOTAL_MAGISTRATE	7370817618.0
26	MOVEMENTS_COUNT	6824423734.0
3	MOV_DESPACHO_11009	6360029770.0
17	MOV_CONCLUSAO_51	6279818430.0
9	MOV_REMESSA_123	6250065328.0
28	TOTAL_OFFICIAL	5104197142.0
41	CLUS_ACT	5054079007.0
10	MOV_RECEBIMENTO_132	4843298301.0
6	MOV_EXECUCAO_INICIADA_11385	4698521389.0
19	MOV_JUNTADA_67	4662005688.0
18	MOV_EXPEDICAO_DE_DOCUMENTO_60	4622878494.0
25	MOV_REMESSA_982	4461795242.0
8	MOV_PROTOCOLO_DE_PETICAO_118	4271096277.0
13	MOV_DISTRIBUICAO_26	3729075789.0
33	ASSU_LIQUIDACAO___CUMPRIMENTO___EXECUCAO	3352026916.0
24	MOV_RECEBIMENTO_981	3050609888.0
12	MOV_JULGAMENTO_193	2698308915.0
1	MOV_DECURSO_DE_PRAZO_1051	2676571050.0
11	MOV_APENSAMENTO_135	2511231067.0
7	MOV_RECEBIMENTO_115	2361941868.0
22	MOV_PUBLICACAO_92	2056576009.0
35	TOTAL_ASSUNTOS	1947368943.0
14	MOV_DECISAO_3	1478208396.0
0	MOV_DEVOLUCAO_105	1139185764.0
30	ASSU_REMUNERACAO,_VERBAS_INDENIZATORIAS_E_BENEFICIOS	1103075701.0
2	MOV_DISPONIBILIZACAO_NO_DIARIO_DA_JUSTICA_ELETRONICO_1061	1067459700.0
5	MOV_LIQUIDACAO_INICIADA_11384	863487818.0
23	MOV_AUDIENCIA_970	619045096.0
4	MOV_ATO_ORDINATORIO_11383	617849059.0
32	ASSU__PARTES_E_PROCURADORES	585052842.0
20	MOV_TRANSITO_EM_JULGADO_848	505318352.0
29	ASSU_DIREITO_DO_TRABALHO	361753723.0
15	MOV_REDISTRIBUICAO_36	53146152.0
