	Feature	import_split
38	NUMERO_TRT	3987
39	CLUS_KME	3794
36	CLASSE_PROCESSUAL	3641
40	CLUS_AGG	2441
26	MOVEMENTS_COUNT	2337
28	TOTAL_OFFICIAL	1875
17	MOV_CONCLUSAO_51	1787
37	PROCESSO_DIGITAL	1769
18	MOV_EXPEDICAO_DE_DOCUMENTO_60	1691
41	CLUS_ACT	1599
27	TOTAL_MAGISTRATE	1528
19	MOV_JUNTADA_67	1518
31	ASSU_RESCISAO_DO_CONTRATO_DE_TRABALHO	1513
16	MOV_ENTREGA_EM_CARGA_VISTA_493	1479
21	MOV_DESARQUIVAMENTO_893	1227
10	MOV_RECEBIMENTO_132	1211
3	MOV_DESPACHO_11009	1179
9	MOV_REMESSA_123	1085
34	TOTAL_ASSUNTOS_DISTINTOS	1023
6	MOV_EXECUCAO_INICIADA_11385	994
8	MOV_PROTOCOLO_DE_PETICAO_118	958
1	MOV_DECURSO_DE_PRAZO_1051	877
12	MOV_JULGAMENTO_193	761
22	MOV_PUBLICACAO_92	695
33	ASSU_LIQUIDACAO___CUMPRIMENTO___EXECUCAO	665
13	MOV_DISTRIBUICAO_26	621
35	TOTAL_ASSUNTOS	592
14	MOV_DECISAO_3	583
7	MOV_RECEBIMENTO_115	582
25	MOV_REMESSA_982	579
11	MOV_APENSAMENTO_135	550
0	MOV_DEVOLUCAO_105	482
24	MOV_RECEBIMENTO_981	475
2	MOV_DISPONIBILIZACAO_NO_DIARIO_DA_JUSTICA_ELETRONICO_1061	357
23	MOV_AUDIENCIA_970	298
30	ASSU_REMUNERACAO,_VERBAS_INDENIZATORIAS_E_BENEFICIOS	248
5	MOV_LIQUIDACAO_INICIADA_11384	238
4	MOV_ATO_ORDINATORIO_11383	205
32	ASSU__PARTES_E_PROCURADORES	193
20	MOV_TRANSITO_EM_JULGADO_848	178
29	ASSU_DIREITO_DO_TRABALHO	148
15	MOV_REDISTRIBUICAO_36	37
