	0.05	0.25	0.5	0.75	0.95
index	3199.0	15993.0	31986.0	47980.0	60774.0
MOV_105	0.0	0.0	0.0	0.0	3.0
MOV_1051	0.0	0.0	1.0	4.0	12.0
MOV_1061	0.0	0.0	0.0	2.0	8.0
MOV_11009	0.0	0.0	1.0	3.0	10.0
MOV_11383	0.0	0.0	0.0	0.0	3.0
MOV_11384	0.0	0.0	0.0	1.0	1.0
MOV_11385	0.0	0.0	1.0	1.0	1.0
MOV_115	0.0	0.0	0.0	0.0	3.0
MOV_118	0.0	0.0	0.0	0.0	8.0
MOV_123	0.0	0.0	0.0	0.0	3.0
MOV_132	0.0	0.0	0.0	1.0	8.0
MOV_135	0.0	0.0	0.0	0.0	1.0
MOV_193	0.0	0.0	1.0	1.0	2.0
MOV_26	0.0	1.0	1.0	1.0	1.0
MOV_3	0.0	0.0	0.0	1.0	3.0
MOV_36	0.0	0.0	0.0	0.0	1.0
MOV_493	0.0	0.0	0.0	0.0	6.0
MOV_51	0.0	1.0	3.0	6.0	15.0
MOV_60	0.0	0.0	1.0	4.0	14.0
MOV_67	0.0	0.0	0.0	2.0	11.0
MOV_848	0.0	0.0	0.0	0.0	1.0
MOV_893	0.0	0.0	0.0	0.0	1.0
MOV_92	0.0	0.0	1.0	3.0	8.0
MOV_970	0.0	0.0	0.0	0.0	2.0
MOV_981	0.0	0.0	0.0	0.0	1.0
MOV_982	0.0	0.0	0.0	0.0	1.0
total_time	42.0	230.0	674.0	2120.0	4031.0
movements_count	5.0	12.0	23.0	41.0	87.0
total_magistrate	0.0	1.0	3.0	5.0	13.0
total_official	4.0	10.0	20.0	36.0	76.0
ASSU_864	0.0	0.0	0.0	0.0	1.0
ASSU_2581	0.0	0.0	0.0	0.0	2.0
ASSU_2620	0.0	0.0	0.0	1.0	2.0
ASSU_8842	0.0	0.0	0.0	0.0	1.0
ASSU_9148	0.0	0.0	0.0	1.0	2.0
CLUS_KME	0.0	0.1316	0.3421	0.7105	0.8947
CLUS_AGG	0.0	0.1905	0.3333	0.5714	0.9048
CLUS_ACT	0.0	0.1667	0.4167	0.75	1.0
case:court:code	18791.0	19384.0	20533.0	29301.0	47003.0
case:secrecy_level	0.0	0.0	0.0	0.0	0.0
total_distinct_subjects	1.0	1.0	1.0	1.0	5.0
total_subjects	1.0	1.0	1.0	2.0	6.0
case:lawsuit:percent_key_mov	0.7142857142857143	0.9305555555555556	1.0	1.0	1.0
PENDENTES-CRIMINAL-2015	0.0	0.0	0.0	0.0	0.0
PENDENTES-CRIMINAL-2016	0.0	0.0	0.0	0.0	0.0
PENDENTES-CRIMINAL-2017	0.0	0.0	0.0	0.0	0.0
PENDENTES-CRIMINAL-2018	0.0	0.0	0.0	0.0	0.0
PENDENTES-CRIMINAL-2019	0.0	0.0	0.0	0.0	0.0
PENDENTES-NÃO CRIMINAL-2015	0.0	0.0	0.0	0.0	0.0
PENDENTES-NÃO CRIMINAL-2016	0.0	0.0	0.0	0.0	0.0
PENDENTES-NÃO CRIMINAL-2017	0.0	0.0	0.0	0.0	0.0
PENDENTES-NÃO CRIMINAL-2018	0.0	0.0	0.0	0.0	0.0
PENDENTES-NÃO CRIMINAL-2019	0.0	0.0	0.0	0.0	0.0
PENDENTES-NÃO CRIMINAL-2020	0.0	0.0	0.0	0.0	0.0
SUSPENSOS-CONHECIMENTO-2015	0.0	90.0	237.0	412.0	775.0
SUSPENSOS-CONHECIMENTO-2016	0.0	0.0	133.0	294.0	683.0
SUSPENSOS-CONHECIMENTO-2017	0.0	6.0	56.0	318.0	546.0
SUSPENSOS-CONHECIMENTO-2018	1.0	6.0	29.0	252.0	531.0
SUSPENSOS-CONHECIMENTO-2019	1.0	8.0	34.0	257.0	526.0
SUSPENSOS-CONHECIMENTO-2020	3.0	14.0	56.0	206.0	504.0
PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2015	0.0	0.0	0.0	0.0	0.0
PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2016	0.0	0.0	0.0	0.0	0.0
PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2017	0.0	0.0	0.0	0.0	0.0
PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2018	0.0	0.0	0.0	0.0	0.0
PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2019	0.0	0.0	0.0	0.0	0.0
PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2015	0.0	1.0	5.0	16.0	89.0
PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2016	0.0	0.0	5.0	15.0	69.0
PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2017	0.0	4.0	8.0	20.0	73.0
PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2018	1.0	4.0	8.0	20.0	59.0
PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2019	0.0	3.0	8.0	18.0	49.0
PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2020	0.0	3.0	7.0	16.0	45.0
RECURSOS INTERNOS-CONHECIMENTO-2018	0.0	16.0	40.0	85.0	176.0
RECURSOS INTERNOS-CONHECIMENTO-2019	0.0	9.0	31.0	70.0	157.0
RECURSOS INTERNOS-CONHECIMENTO-2020	0.0	5.0	13.0	34.0	85.0
SUSPENSOS-EXTRAJUDICIAL NÃO FISCAL-2017	30.0	142.0	414.0	858.0	1885.0
SUSPENSOS-EXTRAJUDICIAL NÃO FISCAL-2018	16.0	117.0	377.0	794.0	1912.0
SUSPENSOS-EXTRAJUDICIAL NÃO FISCAL-2019	62.0	269.0	503.0	913.0	1927.0
Estoque	699.0	1293.0	2247.0	3185.0	5145.0
Taxa de congestionamento líquida	0.1815	0.3256	0.412	0.4975	0.5929
Taxa de congestionamento total	0.2753	0.4596	0.5407	0.6073	0.6921
