	Duration	CL_{Agg}	CL_{Kms}	Digital	PM_1	Class	PM_2	PM_3	CL_{Act}	Justice	PM_4
MOV_DEVOLUCAO_105	0.169	0.139	0.215	0.003	0.132	0.124	0.116	0.077	0.087	0.01	-0.158
MOV_DECURSO_DE_PRAZO_1051	-0.271	-0.284	-0.166	-0.45	-0.249	-0.319	-0.285	-0.241	-0.398	-0.283	-0.291
MOV_DISPONIBILIZACAO_NO_DIARIO_DA_JUSTICA_ELETRONICO_1061	-0.28	-0.248	-0.178	-0.361	-0.216	-0.396	-0.258	-0.21	-0.404	-0.275	-0.132
MOV_DESPACHO_11009	-0.166	-0.236	-0.169	-0.345	-0.275	-0.187	-0.332	-0.329	-0.323	-0.209	-0.373
MOV_LIQUIDACAO_INICIADA_11384	-0.362	-0.331	-0.423	-0.368	-0.278	-0.661	-0.261	-0.25	-0.303	-0.22	-0.24
MOV_EXECUCAO_INICIADA_11385	0.116	0.129	0.096	0.043	0.06	0.094	0.036	0.068	0.015	0.075	0.201
MOV_RECEBIMENTO_115	0.102	0.092	0.157	-0.071	0.051	0.073	0.051	-0.002	0.04	-0.022	-0.167
PM_3	0.511	0.563	0.535	0.557	0.7	0.367	0.705	1.0	0.481	0.483	0.573
MOV_REMESSA_123	0.323	0.238	0.284	0.165	0.559	0.132	0.191	0.339	0.107	0.251	0.018
PM_1	0.548	0.559	0.562	0.533	1.0	0.31	0.782	0.7	0.436	0.402	0.484
MOV_APENSAMENTO_135	0.218	0.26	0.219	0.142	0.2	-0.02	0.219	0.137	0.214	0.169	0.239
MOV_JULGAMENTO_193	0.139	0.147	0.165	0.047	0.037	0.117	-0.02	-0.025	0.091	-0.003	0.017
MOV_REDISTRIBUICAO_36	-0.099	-0.115	-0.17	-0.145	-0.095	-0.122	-0.108	-0.097	-0.17	-0.072	-0.1
PM_2	0.514	0.564	0.516	0.544	0.782	0.34	1.0	0.705	0.514	0.372	0.539
MOV_CONCLUSAO_51	-0.101	-0.144	-0.029	-0.377	-0.132	-0.256	-0.201	-0.175	-0.301	-0.196	-0.291
MOV_EXPEDICAO_DE_DOCUMENTO_60	0.213	0.216	0.291	0.018	0.236	0.142	0.235	0.236	0.156	0.063	-0.03
MOV_JUNTADA_67	0.178	0.246	0.254	0.048	0.188	0.005	0.116	0.202	0.176	0.03	0.084
MOV_TRANSITO_EM_JULGADO_848	0.103	0.075	0.142	0.022	0.128	0.029	-0.006	0.024	-0.012	0.09	-0.08
MOV_DESARQUIVAMENTO_893	0.359	0.23	0.365	0.263	0.23	0.312	0.238	0.235	0.132	0.149	0.162
MOV_PUBLICACAO_92	-0.2	-0.136	-0.07	-0.344	-0.073	-0.481	-0.115	-0.07	-0.277	-0.168	-0.149
PM_4	0.413	0.524	0.469	0.542	0.484	0.387	0.539	0.573	0.392	0.323	1.0
MOV_REMESSA_982	0.253	0.357	0.295	0.399	0.394	0.273	0.379	0.456	0.281	0.215	0.593
MOVEMENTS_COUNT	0.279	0.312	0.397	0.016	0.36	-0.03	0.295	0.314	0.057	0.022	0.066
TOTAL_MAGISTRATE	-0.041	-0.092	-0.037	-0.3	-0.181	-0.164	-0.257	-0.253	-0.23	-0.19	-0.28
TOTAL_OFFICIAL	0.294	0.342	0.428	0.052	0.405	-0.022	0.344	0.361	0.081	0.041	0.111
ASSU_DIREITO_DO_TRABALHO	0.027	0.071	0.062	0.065	0.103	-0.09	0.112	0.048	0.113	0.045	0.021
ASSU_REMUNERACAO,_VERBAS_INDENIZATORIAS_E_BENEFICIOS	-0.098	-0.106	-0.136	-0.108	-0.078	-0.147	-0.113	-0.124	-0.093	-0.062	-0.116
ASSU_RESCISAO_DO_CONTRATO_DE_TRABALHO	0.28	0.27	0.159	0.331	0.166	0.234	0.204	0.226	0.178	0.216	0.271
ASSU_LIQUIDACAO___CUMPRIMENTO___EXECUCAO	-0.135	-0.114	-0.117	-0.093	-0.081	-0.165	-0.061	-0.041	-0.125	-0.018	0.051
TOTAL_ASSUNTOS_DISTINTOS	-0.134	-0.096	-0.122	-0.088	-0.073	-0.169	-0.098	-0.095	-0.11	-0.084	-0.033
TOTAL_ASSUNTOS	0.133	0.176	0.06	0.146	0.086	0.03	0.087	0.092	0.106	0.148	0.276
Class	0.532	0.466	0.468	0.499	0.31	1.0	0.34	0.367	0.413	0.295	0.387
Digital	0.578	0.651	0.546	1.0	0.533	0.499	0.544	0.557	0.46	0.457	0.542
Justice	0.492	0.459	0.323	0.457	0.402	0.295	0.372	0.483	0.36	1.0	0.323
CL_{Kms}	0.672	0.695	1.0	0.546	0.562	0.468	0.516	0.535	0.463	0.323	0.469
CL_{Agg}	0.736	1.0	0.695	0.651	0.559	0.466	0.564	0.563	0.563	0.459	0.524
CL_{Act}	0.496	0.563	0.463	0.46	0.436	0.413	0.514	0.481	1.0	0.36	0.392
Duration	1.0	0.736	0.672	0.578	0.548	0.532	0.514	0.511	0.496	0.492	0.413
