EVENT_LOG	DISCOVERY_ALG	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE
Production_Data.xes.gz	IMf	0.7575	0.3817	0.5283	0.3241
Production_Data.xes.gz	IMd	0.9026	0.7681	0.4876	0.2825
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	IMf	0.8731	0.3565	0.7981	0.7593
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	IMd	0.9746	0.8522	0.5198	0.359
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	ETM	0.882	0.3739	0.9738	0.9773
edited_hh104_labour.xes.gz	IMf	0.7768	0.5207	0.8401	0.7244
edited_hh104_labour.xes.gz	IMd	0.9981	0.977	0.8267	0.6839
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMf	0.4489	0.1653	0.859	0.8696
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMd	0.4149	0.2066	0.6787	0.5
activitylog_uci_detailed_labour.xes.gz	IMf	0.823	0.5321	0.951	0.9206
activitylog_uci_detailed_labour.xes.gz	IMd	1.0	1.0	0.603	0.4523
activitylog_uci_detailed_labour.xes.gz	ETM	0.8537	0.422	1.0	1.0
activitylog_uci_detailed_weekends.xes.gz	IMf	0.749	0.5128	0.8498	0.8163
activitylog_uci_detailed_weekends.xes.gz	IMd	1.0	1.0	0.512	0.3939
activitylog_uci_detailed_weekends.xes.gz	ETM	0.7615	0.4744	0.9332	0.9268
edited_hh102_labour.xes.gz	IMf	0.8007	0.4959	0.735	0.6667
edited_hh102_labour.xes.gz	IMd	0.9921	0.9587	0.5766	0.4514
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	IMf	0.8296	0.2133	0.9257	0.8421
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	IMd	0.9942	0.84	0.5915	0.2993
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	ETM	0.7885	0.08	0.9766	0.96
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	IMf	0.8736	0.6465	0.5196	0.3575
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	IMd	0.9657	0.7273	0.3302	0.2424
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	ETM	0.0	0.0		
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMf	0.6333	0.5882	0.6832	0.6667
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMd	0.9966	0.8824	0.4118	0.3297
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	ETM	0.9775	0.3529	1.0	1.0
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.6156	0.0754	0.9936	0.9583
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMd	0.8912	0.5311	0.8008	0.4488
BPI_Challenge_2014_Control summary.xes.gz	IMf	0.9998	0.6667	1.0	1.0
BPI_Challenge_2014_Control summary.xes.gz	IMd	0.9999	0.9167	0.9152	0.6471
BPI_Challenge_2014_Control summary.xes.gz	ETM	0.9931	0.5	0.6578	0.6667
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	IMf	0.8503	0.1652	0.8673	0.7934
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	IMd	0.8828	0.7453	0.5033	0.1431
BPI_Challenge_2014_Department control parcels.xes.gz	IMf	0.9655	0.2632	1.0	1.0
BPI_Challenge_2014_Department control parcels.xes.gz	IMd	0.9984	0.6316	1.0	1.0
BPI_Challenge_2014_Department control parcels.xes.gz	ETM	0.9914	0.4737	0.8146	0.9
ElectronicInvoicingENG.xes.gz	IMf	0.9674	0.8333	1.0	1.0
ElectronicInvoicingENG.xes.gz	IMd	0.9821	0.8889	0.3923	0.3721
ElectronicInvoicingENG.xes.gz	ETM	0.9765	0.8889	1.0	1.0
4a_VARA_CIVEL_-_TJGO.xes	IMf	0.539	0.3387	0.9107	0.8077
4a_VARA_CIVEL_-_TJGO.xes	IMd	0.5698	0.371	0.8488	0.6389
4a_VARA_CIVEL_-_TJGO.xes	ETM	0.9026	0.5484	0.8238	0.6623
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	IMf	0.7246	0.188	0.8175	0.8148
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	IMd	0.9901	0.8291	0.3861	0.2095
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	ETM	0.7419	0.2222	0.8664	0.8125
BPI_Challenge_2014_Entitlement application.xes.gz	IMf	0.9921	0.6316	0.6823	0.6115
BPI_Challenge_2014_Entitlement application.xes.gz	IMd	0.7043	0.7697	0.6167	0.5
BPI_Challenge_2014_Entitlement application.xes.gz	ETM	0.9137	0.1579	1.0	1.0
