EVENT_LOG	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST
Production_Data.xes.gz	9077	55	225	221	98.2222	40.3422	52.157
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	2637	21	36	36	100.0	73.25	70.8444
edited_hh104_labour.xes.gz	4200	19	43	43	100.0	97.6744	63.5548
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	704	27	58	53	91.3793	12.1379	13.5136
activitylog_uci_detailed_labour.xes.gz	1392	16	25	25	100.0	55.68	36.9367
activitylog_uci_detailed_weekends.xes.gz	488	15	10	10	100.0	48.8	35.0
edited_hh102_labour.xes.gz	1152	18	18	18	100.0	64.0	38.6797
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	13546	42	206	206	100.0	65.7573	60.7943
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	8577	27	1434	116	8.0893	5.9812	3.1029
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	2583	12	232	33	14.2241	11.1336	3.2226
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	8527	46	47	47	100.0	181.4255	190.9759
BPI_Challenge_2014_Control summary.xes.gz	161296	7	43808	59	0.1347	3.6819	1.1525
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	72605	72	495	495	100.0	146.6768	162.7741
BPI_Challenge_2014_Department control parcels.xes.gz	46669	6	29297	349	1.1912	1.593	1.0469
ElectronicInvoicingENG.xes.gz	309030	9	20135	7	0.0348	15.3479	4.2501
4a_VARA_CIVEL_-_TJGO.xes	955	16	339	98	28.9086	2.8171	2.1803
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	4448	29	116	112	96.5517	38.3448	26.7798
BPI_Challenge_2014_Entitlement application.xes.gz	293245	20	15260	2553	16.73	19.2166	6.9503
BPI_Challenge_2014_Inspection.xes.gz	197717	15	5485	3190	58.1586	36.0469	39.6714
BPI_Challenge_2014_Geo parcel document.xes.gz	569209	16	29059	9274	31.9144	19.588	16.8236
BPI_Challenge_2012.xes.gz	262200	24	13087	4366	33.3614	20.0351	24.1151
edited_hh110_weekends.xes.gz	368	14	6	6	100.0	61.3333	26.9333
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	2246	30	35	35	100.0	64.1714	56.8672
BPI_Challenge_2020_InternationalDeclarations.xes.gz	72151	34	6449	753	11.6762	11.1879	5.4197
DocumentProcessingENG.xes.gz	262682	10	18352	3	0.0163	14.3135	6.0295
edited_hh110_labour.xes.gz	1390	17	21	21	100.0	66.1905	37.5714
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	2476	32	28	28	100.0	88.4286	72.6138
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	7659	45	52	52	100.0	147.2885	115.8793
edited_hh104_weekends.xes.gz	1728	19	18	18	100.0	96.0	64.0392
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	5463	38	131	128	97.7099	41.7023	40.8571
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	5663	28	229	227	99.1266	24.7293	21.9296
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	1557	25	25	25	100.0	62.28	50.9067
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	18246	29	2099	202	9.6236	8.6927	3.8252
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	1474	39	43	41	95.3488	34.2791	39.9812
BPI_Challenge_2014_Reference alignment.xes.gz	128554	6	43802	515	1.1757	2.9349	1.5702
Hospital Billing - Event Log.xes.gz	451359	18	100000	1020	1.02	4.5136	2.8935
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	14208	23	513	395	76.9981	27.6959	18.6026
Road_Traffic_Fine_Management_Process.xes.gz	561470	11	150370	231	0.1536	3.7339	2.1787
BPI_Challenge_2020_PermitLog.xes.gz	86581	51	7065	1478	20.92	12.2549	8.4139
BPI_Challenge_2019_log_IEEE.xes.gz	1595923	42	251734	11973	4.7562	6.3397	5.1255
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	21907	62	159	149	93.7107	137.7799	145.9379
Sepsis Cases - Event Log.xes.gz	15214	16	1050	846	80.5714	14.4895	11.8652
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	55758	67	456	456	100.0	122.2763	127.3023
BPI_Challenge_2013_open_problems.xes.gz	2351	3	819	108	13.1868	2.8706	2.2846
BPI_Challenge_2013_incidents.xes.gz	65533	4	7554	1511	20.0026	8.6753	7.12
BPI Challenge 2017.xes.gz	1202267	26	31509	15930	50.557	38.1563	26.109
BPI_Challenge_2020_DomesticDeclarations.xes.gz	56437	17	10500	99	0.9429	5.375	1.6683
5a_VARA_CIVEL_-_TJMT.xes	1098	35	29	29	100.0	37.8621	41.3153
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	3534	26	28	28	100.0	126.2143	123.4947
