EVENT_LOG,DISCOVERY_ALG,ALIGNMENTS_MARKOV_1_K1
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes,ETM,0.8492
edited_hh104_labour.xes.gz,IMd,0.998
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes,IMf,0.496
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes,IMd,0.4385
activitylog_uci_detailed_labour.xes.gz,IMf,0.8019
activitylog_uci_detailed_labour.xes.gz,ETM,0.8518
activitylog_uci_detailed_weekends.xes.gz,IMf,0.7555
activitylog_uci_detailed_weekends.xes.gz,ETM,0.7732
edited_hh102_labour.xes.gz,IMd,0.9951
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes,ETM,0.8093
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,IMf,0.6712
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,IMd,0.9988
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,ETM,0.9917
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMf,0.6802
BPI_Challenge_2014_Control summary.xes.gz,IMf,0.8945
BPI_Challenge_2014_Control summary.xes.gz,IMd,0.8963
BPI_Challenge_2014_Control summary.xes.gz,ETM,0.9975
BPI_Challenge_2014_Department control parcels.xes.gz,IMf,0.7241
BPI_Challenge_2014_Department control parcels.xes.gz,IMd,0.9999
BPI_Challenge_2014_Department control parcels.xes.gz,ETM,0.9993
ElectronicInvoicingENG.xes.gz,IMf,0.9328
ElectronicInvoicingENG.xes.gz,IMd,0.9766
ElectronicInvoicingENG.xes.gz,ETM,0.9418
4a_VARA_CIVEL_-_TJGO.xes,IMf,0.7517
4a_VARA_CIVEL_-_TJGO.xes,IMd,0.7641
4a_VARA_CIVEL_-_TJGO.xes,ETM,0.9723
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes,IMf,0.8075
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes,ETM,0.7744
BPI_Challenge_2014_Entitlement application.xes.gz,ETM,0.9589
BPI_Challenge_2014_Inspection.xes.gz,IMd,0.8781
BPI_Challenge_2014_Inspection.xes.gz,ETM,0.8615
BPI_Challenge_2014_Geo parcel document.xes.gz,IMf,0.9624
BPI_Challenge_2014_Geo parcel document.xes.gz,ETM,0.8561
BPI_Challenge_2012.xes.gz,ETM,0
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,ETM,0.7396
BPI_Challenge_2020_InternationalDeclarations.xes.gz,ETM,0.8596
DocumentProcessingENG.xes.gz,IMf,0.8455
DocumentProcessingENG.xes.gz,IMd,0.9142
DocumentProcessingENG.xes.gz,ETM,0.896
edited_hh110_labour.xes.gz,IMf,0.7797
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,ETM,0.842
