EVENT_LOG	DISCOVERY_ALG	ALIGNMENTS_MARKOV_2_K1
activitylog_uci_detailed_weekends.xes.gz	IMf	0.7555
activitylog_uci_detailed_weekends.xes.gz	ETM	0.6123
activitylog_uci_detailed_labour.xes.gz	IMf	0.7997
activitylog_uci_detailed_labour.xes.gz	ETM	0.5449
edited_hh104_labour.xes.gz	IMd	0.998
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	ETM	0.4405
edited_hh102_labour.xes.gz	IMd	0.9951
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMf	0.6712
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMd	0.9988
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	ETM	0.9616
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMf	0.4891
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMd	0.4088
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	ETM	0.5172
BPI_Challenge_2014_Control summary.xes.gz	IMf	0.8945
BPI_Challenge_2014_Control summary.xes.gz	IMd	0.8963
BPI_Challenge_2014_Control summary.xes.gz	ETM	0.9975
BPI_Challenge_2014_Entitlement application.xes.gz	ETM	0.9295
BPI_Challenge_2014_Inspection.xes.gz	IMd	0.8618
BPI_Challenge_2014_Inspection.xes.gz	ETM	0.6713
ElectronicInvoicingENG.xes.gz	IMf	0.9328
ElectronicInvoicingENG.xes.gz	IMd	0.9766
ElectronicInvoicingENG.xes.gz	ETM	0.9238
4a_VARA_CIVEL_-_TJGO.xes	IMf	0.7447
4a_VARA_CIVEL_-_TJGO.xes	IMd	0.3084
4a_VARA_CIVEL_-_TJGO.xes	ETM	0.9051
BPI_Challenge_2014_Department control parcels.xes.gz	IMf	0.7241
BPI_Challenge_2014_Department control parcels.xes.gz	IMd	0.9999
