EVENT_LOG	DISCOVERY_ALG	TIME_ALIGN	ALIGNMENTS_MARKOV_4_K1
activitylog_uci_detailed_weekends	IMf	0.12	0.7513
activitylog_uci_detailed_weekends	IMd	0.56	1.0
activitylog_uci_detailed_weekends	ETM	0.82	0.6123
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMf	0.28	0.8834
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMd	2.53	0.978
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	12.67	0.4405
edited_hh104_labour	IMf	16.35	0.4603
edited_hh104_labour	IMd	2.39	0.996
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMf	9.54	0.7888
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMd	7.84	0.9965
VITORIA_-_5a_VARA_CIVEL_-_TJES	ETM	19.03	0.5172
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project	IMd	1.17	0.9434
edited_hh102_labour	IMf	0.73	0.7831
edited_hh102_labour	IMd	0.25	0.9951
activitylog_uci_detailed_labour	IMf	0.96	0.7842
activitylog_uci_detailed_labour	IMd	2.07	1.0
activitylog_uci_detailed_labour	ETM	3.87	0.5449
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	0.1	0.6655
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.07	0.9988
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.06	0.9615
Production_Data	IMf	73.2	0.6226
Production_Data	IMd	7.68	0.9166
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.07	0.4891
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.08	0.4088
ElectronicInvoicingENG	IMf	0.32	0.9328
ElectronicInvoicingENG	IMd	0.32	0.9766
ElectronicInvoicingENG	ETM	0.33	0.9238
4a_VARA_CIVEL_-_TJGO	IMf	0.14	0.7447
4a_VARA_CIVEL_-_TJGO	IMd	0.08	0.3084
4a_VARA_CIVEL_-_TJGO	ETM	0.22	0.9051
BPI_Challenge_2014_Geo parcel document	IMf	33.41	0.9584
BPI_Challenge_2014_Geo parcel document	IMd	36.55	0.9982
BPI_Challenge_2014_Geo parcel document	ETM	19.66	0.8367
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMf	0.65	0.8075
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	ETM	4.25	0.5597
BPI_Challenge_2014_Entitlement application	IMf	9.03	0.9918
BPI_Challenge_2014_Entitlement application	IMd	50.38	0.7156
BPI_Challenge_2014_Entitlement application	ETM	63.9	0.9292
BPI_Challenge_2014_Department control parcels	IMf	0.43	0.7241
BPI_Challenge_2014_Department control parcels	IMd	0.33	0.9999
BPI_Challenge_2014_Department control parcels	ETM	0.36	0.9928
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	1.28	0.5251
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	2.15	0.95
BPI_Challenge_2014_Inspection	IMf	19.2	0.7779
BPI_Challenge_2014_Inspection	IMd	22.7	0.8618
BPI_Challenge_2014_Inspection	ETM	19.76	0.6713
BPI_Challenge_2014_Control summary	IMf	0.58	0.8945
BPI_Challenge_2014_Control summary	IMd	0.45	0.8963
BPI_Challenge_2014_Control summary	ETM	0.45	0.9975
DocumentProcessingENG	IMf	0.39	0.8455
DocumentProcessingENG	IMd	0.38	0.9142
DocumentProcessingENG	ETM	0.39	0.8573
BPI_Challenge_2020_InternationalDeclarations	IMf	3.09	0.9272
BPI_Challenge_2020_InternationalDeclarations	IMd	45.89	0.5924
BPI_Challenge_2020_InternationalDeclarations	ETM	3.14	0.8446
edited_hh104_weekends	IMf	0.78	0.675
edited_hh104_weekends	IMd	0.41	0.9842
edited_hh104_weekends	ETM	8.72	0.5678
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMf	2.45	0.7214
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMd	2.68	0.9924
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	ETM	4.2	0.4878
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.95	0.7536
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	5.3	0.9909
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	2.48	0.7044
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	6.62	0.455
BPI_Challenge_2012	IMf	211.3	0.6209
BPI_Challenge_2012	IMd	90.72	0.7215
BPI_Challenge_2012	ETM	6.48	0.0
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMf	1.2	0.9369
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.97	0.9291
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	8.71	0.4857
edited_hh110_weekends	IMf	15.7	0.9188
edited_hh110_weekends	IMd	0.55	0.9555
edited_hh110_labour	IMf	0.58	0.7628
edited_hh110_labour	IMd	0.64	0.9981
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMf	0.68	0.8523
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMd	1.83	0.6931
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	ETM	0.87	0.4689
BPI_Challenge_2014_Reference alignment	IMf	0.56	0.8595
BPI_Challenge_2014_Reference alignment	IMd	0.61	0.8596
BPI_Challenge_2014_Reference alignment	ETM	0.78	0.9829
BPI_Challenge_2020_PermitLog	IMd	148.6	0.711
BPI_Challenge_2020_PermitLog	ETM	13.31	0.7003
Road_Traffic_Fine_Management_Process	IMf	6.82	0.7893
Road_Traffic_Fine_Management_Process	IMd	2.28	0.5796
Road_Traffic_Fine_Management_Process	ETM	0.85	0.84
Hospital Billing - Event Log	IMf	5.08	0.821
Hospital Billing - Event Log	IMd	6.05	0.9983
Hospital Billing - Event Log	ETM	45.71	0.9454
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMf	1.35	0.9597
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMd	1.87	0.9369
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	ETM	4.07	0.4508
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	IMd	2.38	0.7565
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	ETM	2.81	0.5462
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMf	5.69	0.5886
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMd	3.13	0.9982
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	ETM	3.1	0.7296
BPI_Challenge_2020_PrepaidTravelCost	IMf	9.78	0.8486
BPI_Challenge_2020_PrepaidTravelCost	IMd	1.19	0.737
BPI_Challenge_2020_PrepaidTravelCost	ETM	0.44	0.9095
BPI_Challenge_2019_log_IEEE	IMd	190.09	0.9592
BPI_Challenge_2019_log_IEEE	ETM	20.18	0.8121
5a_VARA_CIVEL_-_TJMT	IMf	4.83	0.6088
5a_VARA_CIVEL_-_TJMT	IMd	0.34	0.5364
5a_VARA_CIVEL_-_TJMT	ETM	1.6	0.4301
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMf	0.36	0.6065
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMd	0.56	0.7063
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	ETM	29.57	0.4778
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMf	23.71	0.7852
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMd	48.14	0.9073
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE	IMd	127.27	0.9368
BPI Challenge 2017	IMf	518.0	0.8468
BPI Challenge 2017	IMd	710.4	0.8612
BPI Challenge 2017	ETM	269.2	0.8289
BPI_Challenge_2020_DomesticDeclarations	IMf	0.84	0.935
BPI_Challenge_2020_DomesticDeclarations	IMd	0.27	0.9842
BPI_Challenge_2020_DomesticDeclarations	ETM	0.37	0.9594
Sepsis Cases - Event Log	IMf	3.21	0.7929
Sepsis Cases - Event Log	IMd	11.6	0.7738
Sepsis Cases - Event Log	ETM	10.16	0.7409
BPI_Challenge_2013_incidents	IMf	1.01	0.7246
BPI_Challenge_2013_incidents	IMd	0.97	1.0
BPI_Challenge_2013_incidents	ETM	1.13	0.0
BPI_Challenge_2013_open_problems	IMf	0.13	0.9783
BPI_Challenge_2013_open_problems	IMd	0.11	1.0
BPI_Challenge_2013_open_problems	ETM	0.29	-0.4946
