EVENT_LOG	DISCOVERY_ALG	TIME_ALIGN	ALIGNMENTS_MARKOV_4_K1
Production_Data	IMf	36.47	0.7391
Production_Data	IMd	6.39	0.9167
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMf	0.27	0.8834
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMd	2.75	0.979
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	10.39	0.4405
edited_hh104_labour	IMf	11.66	0.5961
edited_hh104_labour	IMd	4.44	0.998
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.3	0.4891
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.19	0.4088
activitylog_uci_detailed_labour	IMf	1.69	0.7997
activitylog_uci_detailed_labour	IMd	2.42	1.0
activitylog_uci_detailed_labour	ETM	3.45	0.5449
activitylog_uci_detailed_weekends	IMf	0.2	0.7555
activitylog_uci_detailed_weekends	IMd	0.62	1.0
activitylog_uci_detailed_weekends	ETM	0.9	0.6123
edited_hh102_labour	IMf	0.76	0.7854
edited_hh102_labour	IMd	0.25	0.9951
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMf	11.32	0.7953
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMd	7.36	0.9965
VITORIA_-_5a_VARA_CIVEL_-_TJES	ETM	18.61	0.5172
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project	IMd	1.33	0.9436
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	0.13	0.6712
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.08	0.9988
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.08	0.9616
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.8	0.6789
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	1.73	0.95
BPI_Challenge_2014_Control summary	IMf	0.44	0.8945
BPI_Challenge_2014_Control summary	IMd	0.41	0.8963
BPI_Challenge_2014_Control summary	ETM	0.48	0.9975
BPI_Challenge_2014_Department control parcels	IMf	0.29	0.7241
BPI_Challenge_2014_Department control parcels	IMd	0.31	0.9999
BPI_Challenge_2014_Department control parcels	ETM	0.36	0.9928
ElectronicInvoicingENG	IMf	0.39	0.9328
ElectronicInvoicingENG	IMd	0.42	0.9766
ElectronicInvoicingENG	ETM	0.46	0.9238
4a_VARA_CIVEL_-_TJGO	IMf	0.2	0.7447
4a_VARA_CIVEL_-_TJGO	IMd	0.13	0.3084
4a_VARA_CIVEL_-_TJGO	ETM	0.35	0.9051
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMf	0.29	0.8075
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	ETM	3.39	0.5597
BPI_Challenge_2014_Entitlement application	IMf	7.84	0.9918
BPI_Challenge_2014_Entitlement application	IMd	40.3	0.7156
BPI_Challenge_2014_Entitlement application	ETM	51.16	0.9295
BPI_Challenge_2014_Inspection	IMf	16.87	0.7813
BPI_Challenge_2014_Inspection	IMd	19.43	0.8618
BPI_Challenge_2014_Inspection	ETM	16.53	0.6713
BPI_Challenge_2014_Geo parcel document	IMf	27.35	0.9587
BPI_Challenge_2014_Geo parcel document	IMd	31.67	0.9982
BPI_Challenge_2014_Geo parcel document	ETM	16.15	0.8367
BPI_Challenge_2012	IMf	166.96	0.6231
BPI_Challenge_2012	IMd	75.93	0.7215
BPI_Challenge_2012	ETM	5.4	0.0
edited_hh110_weekends	IMf	12.47	0.9295
edited_hh110_weekends	IMd	0.56	0.9555
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	2.21	0.7044
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	5.62	0.455
BPI_Challenge_2020_InternationalDeclarations	IMf	2.33	0.9272
BPI_Challenge_2020_InternationalDeclarations	IMd	37.4	0.5924
BPI_Challenge_2020_InternationalDeclarations	ETM	2.71	0.8446
DocumentProcessingENG	IMf	0.38	0.8455
DocumentProcessingENG	IMd	0.34	0.9142
DocumentProcessingENG	ETM	0.37	0.8573
edited_hh110_labour	IMf	0.44	0.7628
edited_hh110_labour	IMd	0.36	0.9981
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMf	0.94	0.9362
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.78	0.9291
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	6.89	0.4857
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.82	0.7591
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	4.44	0.9909
edited_hh104_weekends	IMf	0.74	0.676
edited_hh104_weekends	IMd	0.43	0.9842
edited_hh104_weekends	ETM	7.2	0.5678
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMf	2.28	0.7283
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMd	2.25	0.9924
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	ETM	3.63	0.4878
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMf	1.14	0.9597
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMd	1.56	0.9369
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	ETM	3.88	0.4508
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	IMd	2.07	0.7565
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	ETM	2.54	0.5462
BPI_Challenge_2020_PrepaidTravelCost	IMf	7.05	0.8486
BPI_Challenge_2020_PrepaidTravelCost	IMd	1.12	0.737
BPI_Challenge_2020_PrepaidTravelCost	ETM	0.4	0.9095
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMf	0.62	0.8523
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMd	1.5	0.6931
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	ETM	0.83	0.4689
BPI_Challenge_2014_Reference alignment	IMf	0.53	0.8595
BPI_Challenge_2014_Reference alignment	IMd	0.57	0.8596
BPI_Challenge_2014_Reference alignment	ETM	0.72	0.9829
Hospital Billing - Event Log	IMf	4.41	0.821
Hospital Billing - Event Log	IMd	5.1	0.9983
Hospital Billing - Event Log	ETM	25.77	0.9483
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMf	2.3	0.8626
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMd	3.13	0.9982
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	ETM	2.61	0.7296
Road_Traffic_Fine_Management_Process	IMf	6.66	0.7892
Road_Traffic_Fine_Management_Process	IMd	2.01	0.5796
Road_Traffic_Fine_Management_Process	ETM	0.81	0.84
BPI_Challenge_2020_PermitLog	IMd	121.0	0.711
BPI_Challenge_2020_PermitLog	ETM	11.6	0.7003
BPI_Challenge_2019_log_IEEE	IMd	162.82	0.9592
BPI_Challenge_2019_log_IEEE	ETM	16.76	0.8123
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMf	27.46	0.786
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMd	43.43	0.9073
Sepsis Cases - Event Log	IMf	3.07	0.7929
Sepsis Cases - Event Log	IMd	10.25	0.7738
Sepsis Cases - Event Log	ETM	7.61	0.734
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE	IMd	113.2	0.9368
BPI_Challenge_2013_open_problems	IMf	0.2	0.9783
BPI_Challenge_2013_open_problems	IMd	0.17	1.0
BPI_Challenge_2013_open_problems	ETM	0.25	-0.4946
BPI_Challenge_2013_incidents	IMf	1.2	0.7251
BPI_Challenge_2013_incidents	IMd	1.07	1.0
BPI_Challenge_2013_incidents	ETM	1.83	0.0
BPI Challenge 2017	IMf	460.02	0.8493
BPI Challenge 2017	IMd	583.01	0.8612
BPI Challenge 2017	ETM	225.95	0.8289
BPI_Challenge_2020_DomesticDeclarations	IMf	1.14	0.935
BPI_Challenge_2020_DomesticDeclarations	IMd	0.37	0.9842
BPI_Challenge_2020_DomesticDeclarations	ETM	0.51	0.9594
5a_VARA_CIVEL_-_TJMT	IMf	16.77	0.6088
5a_VARA_CIVEL_-_TJMT	IMd	0.48	0.5383
5a_VARA_CIVEL_-_TJMT	ETM	1.44	0.4301
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMf	0.4	0.6065
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMd	0.55	0.7063
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	ETM	24.7	0.4778
