EVENT_LOG	DISCOVERY_ALG	TIME_ALIGN	ALIGNMENTS_MARKOV_4_K1
Production_Data	IMf	0.98	0.8004
Production_Data	IMd	0.31	0.9231
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMf	0.08	0.8834
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMd	1.93	0.9795
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	1.88	0.8492
edited_hh104_labour	IMf	1.08	0.6177
edited_hh104_labour	IMd	1.22	0.998
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.06	0.496
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.06	0.4385
activitylog_uci_detailed_labour	IMf	0.55	0.8019
activitylog_uci_detailed_labour	IMd	1.48	1.0
activitylog_uci_detailed_labour	ETM	0.95	0.8518
activitylog_uci_detailed_weekends	IMf	0.07	0.7555
activitylog_uci_detailed_weekends	IMd	0.36	1.0
activitylog_uci_detailed_weekends	ETM	0.36	0.7732
edited_hh102_labour	IMf	0.17	0.7912
edited_hh102_labour	IMd	0.05	0.9951
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMf	0.35	0.8189
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMd	0.29	0.9965
VITORIA_-_5a_VARA_CIVEL_-_TJES	ETM	0.6	0.8093
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project	IMd	0.23	0.981
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	0.07	0.6712
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.05	0.9988
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.05	0.9917
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.15	0.6802
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	0.14	0.9506
BPI_Challenge_2014_Control summary	IMf	0.4	0.8945
BPI_Challenge_2014_Control summary	IMd	0.4	0.8963
BPI_Challenge_2014_Control summary	ETM	0.42	0.9975
BPI_Challenge_2014_Department control parcels	IMf	0.26	0.7241
BPI_Challenge_2014_Department control parcels	IMd	0.28	0.9999
BPI_Challenge_2014_Department control parcels	ETM	0.28	0.9993
ElectronicInvoicingENG	IMf	0.38	0.9328
ElectronicInvoicingENG	IMd	0.36	0.9766
ElectronicInvoicingENG	ETM	0.39	0.9418
4a_VARA_CIVEL_-_TJGO	IMf	0.19	0.8146
4a_VARA_CIVEL_-_TJGO	IMd	0.11	0.8247
4a_VARA_CIVEL_-_TJGO	ETM	0.27	0.9723
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMf	0.12	0.8075
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	ETM	0.45	0.7744
BPI_Challenge_2014_Entitlement application	IMf	1.07	0.9972
BPI_Challenge_2014_Entitlement application	IMd	1.76	0.7312
BPI_Challenge_2014_Entitlement application	ETM	1.44	0.9589
BPI_Challenge_2014_Inspection	IMf	1.81	0.7903
BPI_Challenge_2014_Inspection	IMd	1.68	0.8781
BPI_Challenge_2014_Inspection	ETM	1.3	0.8615
BPI_Challenge_2014_Geo parcel document	IMf	3.22	0.9624
BPI_Challenge_2014_Geo parcel document	IMd	3.62	0.9982
BPI_Challenge_2014_Geo parcel document	ETM	2.72	0.8561
BPI_Challenge_2012	IMf	3.58	0.7349
BPI_Challenge_2012	IMd	2.77	0.8079
BPI_Challenge_2012	ETM	1.15	0.0
edited_hh110_weekends	IMf	11.54	0.9588
edited_hh110_weekends	IMd	0.32	0.9562
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.23	0.7618
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	1.2	0.7396
BPI_Challenge_2020_InternationalDeclarations	IMf	0.44	0.9273
BPI_Challenge_2020_InternationalDeclarations	IMd	1.33	0.6286
BPI_Challenge_2020_InternationalDeclarations	ETM	0.42	0.8596
DocumentProcessingENG	IMf	0.36	0.8455
DocumentProcessingENG	IMd	0.35	0.9142
DocumentProcessingENG	ETM	0.37	0.896
edited_hh110_labour	IMf	0.4	0.7797
edited_hh110_labour	IMd	0.17	0.9981
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMf	0.22	0.936
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.16	0.9291
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	1.29	0.842
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.19	0.7599
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	0.23	0.991
edited_hh104_weekends	IMf	0.28	0.6878
edited_hh104_weekends	IMd	0.17	0.9844
edited_hh104_weekends	ETM	1.74	0.7401
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMf	1.28	0.7283
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMd	0.22	0.9927
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	ETM	0.42	0.7507
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMf	0.18	0.9597
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMd	0.2	0.9395
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	ETM	0.35	0.6439
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	IMd	0.21	0.7638
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	ETM	0.69	0.7568
BPI_Challenge_2020_PrepaidTravelCost	IMf	2.39	0.9406
BPI_Challenge_2020_PrepaidTravelCost	IMd	0.2	0.8936
BPI_Challenge_2020_PrepaidTravelCost	ETM	0.2	0.9097
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMf	0.19	0.8548
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMd	0.18	0.7099
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	ETM	0.27	0.6121
BPI_Challenge_2014_Reference alignment	IMf	0.44	0.8595
BPI_Challenge_2014_Reference alignment	IMd	0.45	0.8596
BPI_Challenge_2014_Reference alignment	ETM	0.96	0.9996
Hospital Billing - Event Log	IMf	0.83	0.8226
Hospital Billing - Event Log	IMd	0.93	0.9983
Hospital Billing - Event Log	ETM	3.53	0.9568
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMf	0.33	0.886
