EVENT_LOG,DISCOVERY_ALG,ALIGNMENTS_MARKOV,ABS_EDGES_ONLY_IN_LOG,ABS_EDGES_ONLY_IN_LOG_W,ABS_EDGES_ONLY_IN_LOG_BTW,ABS_EDGES_ONLY_IN_LOG_BTW_NORM,ABS_EDGES_ONLY_IN_LOG_CC,ABS_EDGES_ONLY_IN_MODEL,ABS_EDGES_ONLY_IN_MODEL_W,ABS_MAX_DEGREE,ABS_MAX_DEGREE_DIV,ABS_MAX_CLUSTER,ABS_MAX_CLUSTER_DIV,ABS_DEGREE_ENTROPY,ABS_DEGREE_ENTROPY_DIV,ABS_LINK_DENSITY_DIV,ABS_LOG_MAX_DEGREE,ABS_LOG_DEGREE_ENTROPY,ABS_LOG_LINK_DENSITY,ABS_MODEL_MAX_DEGREE,ABS_MODEL_DEGREE_ENTROPY,ABS_MODEL_LINK_DENSITY
Production_Data.xes.gz,IMf,0.5714,0.9098,0.6319,1573.3038,0.0068,0.0028,0.0789,-2.0914,3,1.0968,-0.1667,0.6666,254.7168,254.7168,1,31,-2858.1454,0.0055,34,-2603.4286,0.015
Production_Data.xes.gz,IMd,0.905,0.9769,0.8907,1975.6333,0.0086,0,0.0278,-17.4687,6,1.1935,-0.2419,0.5162,-8066.7675,-8066.7675,1,31,-2858.1454,0.0055,37,-10924.9129,0.0249
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes,IMf,0.7989,0.9384,0.8265,122,0.0081,0,0.3288,-0.9897,-3,0.75,0,1,336.1997,336.1997,1,12,-498.067,0.0192,9,-161.8673,0.0913
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes,IMd,0.9622,0.9871,0.9671,97,0.0065,0.0026,0.0511,-9.1842,5,1.4167,-0.2282,0.5436,-1756.6811,-1756.6811,1,12,-498.067,0.0192,17,-2254.7481,0.0527
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes,ETM,0.6422,0.9206,0.7298,1125.0167,0.075,0.0003,0.9125,0.9819,-6,0.5,0,1,332.2459,332.2459,1,12,-498.067,0.0192,6,-165.8211,0.037
edited_hh104_labour.xes.gz,IMd,0.9922,0.9977,0.9963,722.5,0.015,0,0.0706,-9.1087,1,1.0588,0.2697,-1,-874.4215,-874.4215,1,17,-1550.6163,0.0084,18,-2425.0378,0.0475
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes,IMf,0.3063,0.7366,0.3122,122.5,0.0072,0.0039,0.4941,0.4012,-7,0.5,-0.1889,0.6222,541.7013,541.7013,1,14,-595.35,0.0151,7,-53.6487,0.1211
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes,IMd,0.2226,0.7341,0.2512,363.6667,0.0214,0.0027,0.1404,0.0939,-7,0.5,-0.2045,0.591,419.318,419.318,1,14,-595.35,0.0151,7,-176.032,0.0833
activitylog_uci_detailed_labour.xes.gz,IMf,0.6751,0.9189,0.6949,439.6667,0.0347,0.0093,0.3095,-1.387,-3,0.7,0.25,2,249.7085,249.7085,1,10,-493.9375,0.0185,7,-244.229,0.0761
activitylog_uci_detailed_labour.xes.gz,IMd,1,1,1,0,0,0,0.0566,-10.1442,6,1.6,0.0231,1.0924,-1451.8934,-1451.8934,1,10,-493.9375,0.0185,16,-1945.8309,0.0556
activitylog_uci_detailed_labour.xes.gz,ETM,0.579,0.887,0.69,439.6667,0.0347,0.0093,0.8987,0.8786,-4,0.6,0.25,2,317.5814,317.5814,1,10,-493.9375,0.0185,6,-176.3561,0.0336
activitylog_uci_detailed_weekends.xes.gz,IMf,0.6119,0.8524,0.6417,80,0.0123,0,0.308,-0.7953,-3,0.6667,0.2222,1.7999,199.6976,199.6976,1,9,-332.4916,0.0235,6,-132.794,0.0943
activitylog_uci_detailed_weekends.xes.gz,IMd,1,1,1,0,0,0,0.0509,-9.5886,6,1.6667,-0.0027,0.9903,-1131.8825,-1131.8825,1,9,-332.4916,0.0235,15,-1464.3741,0.0587
activitylog_uci_detailed_weekends.xes.gz,ETM,0.4085,0.7913,0.5217,113,0.0174,0.0089,0.7667,0.7894,-5,0.4444,0.2222,1.7999,168.2342,168.2342,1,9,-332.4916,0.0235,4,-164.2574,0.0332
edited_hh102_labour.xes.gz,IMf,0.6075,0.9024,0.6599,1272.6333,0.0834,0,0.184,-2.1869,-3,0.7692,0.5,-1,452.3012,452.3012,1,13,-729.9145,0.0138,10,-277.6133,0.0597
edited_hh102_labour.xes.gz,IMd,0.9921,0.9933,0.9899,590.6667,0.0387,0,0.0456,-10.7508,4,1.3077,0.2722,-1,-1337.393,-1337.393,1,13,-729.9145,0.0138,17,-2067.3075,0.0529
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes,IMf,0.6638,0.9362,0.726,133.1333,0.0013,0.0027,0.4774,-0.2812,-16,0.4074,-0.25,0.5,1265.6243,1265.6243,1,27,-1554.2785,0.0104,11,-288.6542,0.0526
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes,IMd,0.9919,0.9934,0.9918,623.1345,0.006,0.0037,0.0395,-17.2452,3,1.1111,0,1,-6644.5035,-6644.5035,1,27,-1554.2785,0.0104,30,-8198.782,0.0312
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes,ETM,0.5196,0.9256,0.5656,2573.2702,0.0246,0.005,0.9643,0.9956,-22,0.1852,-0.1667,0.6666,1480.7109,1480.7109,1,27,-1554.2785,0.0104,5,-73.5676,0.069
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,IMf,0.5539,0.9892,0.5642,145,0.1089,0.0036,0.3267,-0.6387,2,1.5,0.3,2.5,37.5998,37.5998,1,4,-107.8645,0.0495,6,-70.2647,0.0956
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,IMd,0.9969,0.998,0.9961,75,0.0563,0,0.0583,-6.1523,6,2.5,0.0865,1.4325,-519.5933,-519.5933,1,4,-107.8645,0.0495,10,-627.4578,0.0843
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,ETM,0.9686,0.9859,0.9521,145,0.1089,0.0036,0.9583,0.9616,-2,0.5,0.3,2.5,72.213,72.213,1,4,-107.8645,0.0495,2,-35.6515,0.1143
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMf,0.3879,0.8928,0.4432,418,0.0042,0.0006,0.7478,0.858,-23,0.1786,0,1,1467.3766,1467.3766,1,28,-1547.5574,0.0101,5,-80.1808,0.1159
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMd,0.8837,0.9559,0.8441,631,0.0063,0.0001,0.0825,-6.9514,-8,0.7143,-0.2304,0.5392,-1694.956,-1694.956,1,28,-1547.5574,0.0101,20,-3242.5134,0.0478
BPI_Challenge_2014_Control summary.xes.gz,IMf,0.7538,0.9999,0.7394,17,0.0556,0,0.9048,0.9542,-2,0.6,0,1,15.7095,15.7095,1,5,-33.2193,0.1176,3,-17.5098,0.1591
BPI_Challenge_2014_Control summary.xes.gz,IMd,0.7579,1,0.7444,17,0.0556,0,0.4384,0.7708,0,1,-0.1667,0.6666,-23.7164,-23.7164,1,5,-33.2193,0.1176,5,-56.9357,0.1443
BPI_Challenge_2014_Control summary.xes.gz,ETM,0.9942,0.9999,0.9934,41,0.134,0.0002,0.6071,0.5771,-1,0.8,-0.2667,0.4666,7.7095,7.7095,1,5,-33.2193,0.1176,4,-25.5098,0.1538
BPI_Challenge_2014_Department control parcels.xes.gz,IMf,0.5029,0.9996,0.5336,115,0.1917,0,1,1,-2,0.6,0,1,40.5293,40.5293,1,5,-48.5293,0.1,3,-8,0.2639
BPI_Challenge_2014_Department control parcels.xes.gz,IMd,0.9998,0.9998,0.9995,115,0.1917,0,0.7544,0.9962,-1,0.8,0,1,-4,-4,1,5,-48.5293,0.1,4,-52.5293,0.1863
BPI_Challenge_2014_Department control parcels.xes.gz,ETM,0.9968,0.9997,0.9942,115,0.1917,0,0.7143,0.4191,0,1,0,1,21.5097,21.5097,1,5,-48.5293,0.1,5,-27.0196,0.1544
ElectronicInvoicingENG.xes.gz,IMf,0.9088,1,0.9461,47,0.1119,0.006,0.5938,0.2985,-1,0.6667,0.1667,1.5002,11.1973,11.1973,1,3,-66.0579,0.0619,2,-54.8606,0.1046
ElectronicInvoicingENG.xes.gz,IMd,0.9678,1,0.9703,47,0.1119,0.006,0.1273,-2.4415,5,2.6667,-0.0476,0.8572,-50.3387,-50.3387,1,3,-66.0579,0.0619,8,-116.3966,0.0797
ElectronicInvoicingENG.xes.gz,ETM,0.9122,1,0.9461,47,0.1119,0.006,0.8696,0.8866,0,1,0.1667,1.5002,5.4545,5.4545,1,3,-66.0579,0.0619,3,-60.6034,0.0673
4a_VARA_CIVEL_-_TJGO.xes,IMf,0.6526,0.9247,0.5462,239,0.036,0,0.4412,0.1188,-6,0.5385,-0.1944,0.6112,169.5287,169.5287,1,13,-271.9673,0.0298,7,-102.4386,0.1147
4a_VARA_CIVEL_-_TJGO.xes,IMd,0.5049,0.9235,0.4427,0,0,0.0079,0.2863,0.1549,-6,0.5385,0,1,118.3109,118.3109,1,13,-271.9673,0.0298,7,-153.6564,0.1084
4a_VARA_CIVEL_-_TJGO.xes,ETM,0.9095,0.9565,0.8861,163,0.0245,0,0.253,-0.6969,-4,0.6923,-0.2033,0.5934,40.0491,40.0491,1,13,-271.9673,0.0298,9,-231.9182,0.101
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes,IMf,0.7093,0.9519,0.6788,0,0,0.003,0.4155,-0.4365,-9,0.4375,0,1,442.8285,442.8285,1,16,-504.2126,0.0189,7,-61.3841,0.1193
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes,ETM,0.6465,0.947,0.6088,120,0.008,0.0105,0.6923,0.894,-13,0.1875,0,1,390.6288,390.6288,1,16,-504.2126,0.0189,3,-113.5838,0.0437
BPI_Challenge_2014_Entitlement application.xes.gz,IMf,0.9906,0.9991,0.9854,401.5667,0.0147,0,0.1945,-1.6809,0,1,0,1,-80.7263,-80.7263,1,15,-590.9859,0.0221,15,-671.7122,0.0573
BPI_Challenge_2014_Entitlement application.xes.gz,IMd,0.321,0.9993,0.4914,28,0.001,0,0.1293,-2.874,4,1.2667,-0.2327,0.5346,-676.4874,-676.4874,1,15,-590.9859,0.0221,19,-1267.4733,0.0412
BPI_Challenge_2014_Entitlement application.xes.gz,ETM,0.9232,0.9983,0.8863,401.5667,0.0147,0,0.8246,0.745,-9,0.4,0,1,525.7248,525.7248,1,15,-590.9859,0.0221,6,-65.2611,0.0754
BPI_Challenge_2014_Inspection.xes.gz,IMf,0.6038,0.9995,0.7399,706,0.1239,0,0.2202,0.0956,0,1,-0.7,0.3,50.4693,50.4693,1,10,-232.3219,0.0349,10,-181.8526,0.0734
BPI_Challenge_2014_Inspection.xes.gz,IMd,0.6822,0.9997,0.8123,0,0,0.0009,0.0731,-3.4739,4,1.4,-0.7228,0.2772,-795.6333,-795.6333,1,10,-232.3219,0.0349,14,-1027.9552,0.0634
BPI_Challenge_2014_Inspection.xes.gz,ETM,0.6589,0.9992,0.7471,706,0.1239,0,1,1,-6,0.4,-0.5,0.5,176.2162,176.2162,1,10,-232.3219,0.0349,4,-56.1057,0.0752
BPI_Challenge_2014_Geo parcel document.xes.gz,IMf,0.9002,0.9995,0.8998,243.5,0.0133,0,0.4607,-0.184,-2,0.8462,0,1,48.0554,48.0554,1,13,-401.4142,0.033,11,-353.3588,0.0616
