EVENT_LOG	DISCOVERY_ALG	FITNESS	ABS_EDGES_ONLY_IN_LOG_W3	ABS_EDGES_ONLY_IN_LOG_W2	ABS_EDGES_ONLY_IN_LOG_W1
activitylog_uci_detailed_weekends.xes.gz	IMf	0.7513	0.5695	0.6417	0.759
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMf	0.6655	0.4733	0.5642	0.6938
activitylog_uci_detailed_labour.xes.gz	IMf	0.7842	0.6326	0.6949	0.8116
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMf	0.4891	0.2517	0.3122	0.4252
BPI_Challenge_2014_Department control parcels.xes.gz	IMf	0.7241	0.4536	0.5336	0.6755
BPI_Challenge_2014_Control summary.xes.gz	IMf	0.8945	0.6677	0.7394	0.8419
4a_VARA_CIVEL_-_TJGO.xes	IMf	0.7447	0.5106	0.5462	0.6097
ElectronicInvoicingENG.xes.gz	IMf	0.9328	0.9236	0.9461	0.9714
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.5251	0.3245	0.4432	0.6127
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	IMf	0.8075	0.6305	0.6788	0.7382
DocumentProcessingENG.xes.gz	IMf	0.8455	0.8853	0.9082	0.9341
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	IMf	0.7214	0.4216	0.506	0.6402
edited_hh110_labour.xes.gz	IMf	0.7628	0.6249	0.669	0.7279
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.7536	0.3895	0.5035	0.6553
BPI_Challenge_2014_Reference alignment.xes.gz	IMf	0.8595	0.644	0.7146	0.821
Hospital Billing - Event Log.xes.gz	IMf	0.821	0.7481	0.8054	0.8836
Road_Traffic_Fine_Management_Process.xes.gz	IMf	0.7893	0.7933	0.85	0.9254
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMf	0.935	0.8784	0.9029	0.9363
Sepsis Cases - Event Log.xes.gz	IMf	0.7929	0.4638	0.5877	0.7614
BPI_Challenge_2013_incidents.xes.gz	IMf	0.7246	0.5761	0.6358	0.7855
BPI_Challenge_2013_open_problems.xes.gz	IMf	0.9783	0.9626	0.9699	0.9811
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	IMf	0.6065	0.3872	0.4833	0.6081
