EVENT_LOG	DISCOVERY_ALG	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX
Production_Data.xes.gz	IMf	129	0.7771	37	94	3.5745	24	1.7872	1.7872	1.0	1.0	1.0155	1.0155	16	16	1	1	2	2
Production_Data.xes.gz	IMd	45	0.5422	38	33	5.0303	30	2.5152	2.5152	1.0	1.0	1.0	1.0	28	28	1	1	1	1
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	IMf	29	0.7436	10	24	3.25	6	1.625	1.625	1.0	1.0	1.0	1.0	4	4	1	1	1	1
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	IMd	47	0.7344	17	36	3.6667	9	1.8333	1.8333	1.0	1.0	1.0426	1.0426	6	5	1	1	2	2
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	ETM	17	0.1141	132	139	2.1439	3	1.0719	1.0719	1.0	1.0	1.0	1.0	2	2	1	1	1	1
edited_hh104_labour.xes.gz	IMf	70	0.7955	18	58	3.1379	5	1.569	1.569	1.0	1.0	1.0429	1.0429	3	3	1	1	2	2
edited_hh104_labour.xes.gz	IMd	39	0.6724	19	33	3.5758	11	1.7879	1.7879	1.0	1.0	1.0256	1.0256	9	9	1	1	2	2
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMf	9	0.5294	8	13	2.7692	4	1.3846	1.3846	1.125	1.0	1.0	1.1111	3	3	2	1	1	2
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMd	13	0.5652	10	16	3.0	7	1.5	1.5	1.0	1.0	1.0769	1.0769	3	4	1	1	2	2
activitylog_uci_detailed_labour.xes.gz	IMf	43	0.7679	13	39	3.0256	4	1.5128	1.5128	1.0	1.0	1.0698	1.0698	3	3	1	1	3	3
activitylog_uci_detailed_labour.xes.gz	IMd	46	0.7419	16	36	3.5556	7	1.7778	1.7778	1.0	1.0	1.0435	1.0435	5	5	1	1	3	3
