EVENT_LOG	PRECISION	FITNESS	FILTER_FREQ	FILTER_RAND	TOTAL_TRACES	DISCOVERY_ALG_ENC	DISCOVERY_ALG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	ESCAPING_EDGES_DFG	ESCAPING_EDGES_DFG_NO_ALGN	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES
Production_Data.xes.gz	0.3028	0.643	0.8	0.8	180	0	IMf	1.16597510373444	0.275166384288709	0.617647058823529	0.105851784907366	0.74178095390926	0.272727272727273	0.771952817824377	0.158382286488929	0.174694	0.159644	0.162032	-0.1919	-0.4852	4.9864	-2	-0.0168	-0.183	-0.0075	-1.0223	0.0701	2.95650700406687	0.165851	0.164311	0.165295	0.217827098621801	0.2811004784689	-0.8369	-1.0677	-0.061376552707902	4170.73766233766	1.27133880867744	145	40	107	3.4953	23	0.6404	0.6291	0.2179	0.0264	2.7837	0.0159	0.0053	4.4674	815	47.5	4.8797	0.195	0.1192	4.0817	225	221	55
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	0.2727	0.785	0.7	0.6	21	0	IMf	0.852941176470588	0.205341312427216	0.481481481481482	0.074971164936563	0.806227485965839	0.285714285714286	0.611111111111111	0.07843137254902	0.085591	0.081732	0.080757	0.053	-0.3993	3.5238	3	-0.0573	-0.4257	0.191	-1.6017	-0.0967	1.40215301806997	0.136911	0.136	0.138093	0.257471264367816	0.117117117117117	-0.898	-0.7263	-0.18689459136027	771.283333333333	1.76487227684596	55	15	51	3.0196	4	0.6471	0.7506	0.5612	0.0234	2.8087	0.0276	0.0106	3.7414	396	24.5	4.1219	0.2816	0.1869	3.323	36	36	21
edited_hh104_labour.xes.gz	0.207	0.4377	0.8	0.6	25	0	IMf	0.610169491525424	0.078049092327379	0.144230769230769	0.165022853019004	0.440448203784041	0.052631578947369	0.634042553191489	0.204474380562906	0.219439	0.211359	0.219662	-0.3162	-0.3521	-5.6433	-6	-0.0003	0.0164	0.3945	-0.985	0.0063	0.364686071686312	0.032089	0.032384	0.032087	0.331681003061671	-1	0.0937	-0.1382	-0.04457486529346	169.837301587302	0.481047048449009	67	18	56	3.1429	5	0.6682	0.7984	0.2	0.0395	3.0106	0.0214	0.0146	4.2479	526	74	4.0374	0.5409	0.1027	3.0802	43	43	19
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	0.3667	0.7833	0.6	0.7	38	0	IMf	1.22972972972973	0.390557701984665	0.684210526315789	0.318885448916409	0.863422464995875	0.185185185185185	0.655172413793103	0.218266253869969	0.257943	0.228516	0.228229	-0.0529	-0.4222	2.4276	0	-0.0385	-0.4365	0.1692	-0.322	0.0171	2.03405572755418	0.190316	0.189212	0.190764	0.332710280373832	0.32	-0.5103	-0.6231	0.025424619409064	1120.35396825397	1.60820024420024	52	22	45	3.4222	11	0.6296	0.6523	0.4705	0.0684	2.6676	0.0687	0.0213	3.9346	126	9	3.8554	0.1703	0.2553	3.42	58	53	27
activitylog_uci_detailed_labour.xes.gz	0.3513	0.7468	0.6	0.7	17	0	IMf	0.608	0.187808299161762	0.231884057971014	0.407461594732992	-1	0.25	0.552845528455285	0.219458668617411	0.237759	0.238643	0.241112	0.0288	0.0731	-1.0625	-1	-0.0281	-0.0006	0.3248	-0.877	-0.1273	0.427212874908559	0.051512	0.050641	0.050829	-1	-1	-0.4202	-0.3716	-0.227250162557075	293.5	1.05995670995671	35	12	36	2.8889	3	0.664	0.7474	0.2778	0.0762	2.6494	0.0593	0.0345	3.875	174	36	3.375	0.3958	0.1684	2.7267	25	25	16
activitylog_uci_detailed_weekends.xes.gz	0.2829	0.7764	0.9	0.9	9	0	IMf	0.666666666666667	0.188963988127168	0.392405063291139	0.169456066945607	0.768949294906766	0.066666666666667	0.475728155339806	0.131799163179916	0.146743	0.143865	0.141213	0.002	0	0.4429	-1	-0.0339	-0.1094	0.2377	-0.3547	0.0708	1.27196652719665	0.160431	0.158763	0.16109	0.1926817971283	-1	-0.109	-0.1192	-0.262977736203389	208.5	1.07783882783883	46	14	44	2.9545	4	0.6667	0.6806	0.3732	0.0765	2.6826	0.0771	0.0423	3.9069	78	18	3.6402	0.3524	0.2027	2.6561	10	10	15
edited_hh102_labour.xes.gz	0.1333	0.7016	0.8	0.7	12	0	IMf	0.748201438848921	0.18225059639201	0.387096774193548	0.257495590828924	0.701608988073784	0.222222222222222	0.619354838709677	0.243386243386243	0.26822	0.258228	0.267446	-0.0083	-0.2222	-0.0793	-4	-0.0189	-0.1289	0.0897	-0.0571	-0.1518	1.17460317460317	0.121884	0.122212	0.122903	0.149258491468665	-1	-0.5003	-0.6367	-0.165854238305252	248.45	0.54982560331825	42	14	35	3.2	6	0.6842	0.7282	0.2705	0.0377	2.8163	0.1078	0.0311	3.9058	110	26	3.9058	0.3399	0.1731	2.7539	18	18	18
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	0.1079	0.9526	0.6	0.7	144	0	IMf	0.783625730994152	0.081967349658504	0.329479768786127	0.078860569715142	0.954889026033444	0.642857142857143	0.667605633802817	0.067766116941529	0.07228	0.069186	0.070647	0.1167	-0.0779	4.3904	-23	-0.0238	-0.3579	0.3419	-2.5803	-0.4717	2.45127436281859	0.131942	0.130831	0.131071	0.102063216130137	0.10027228172082	-1.7969	-1.6109	-0.20449345588669	3259.53566433566	1.00812949245876	57	15	46	3.2609	6	0.6484	0.87	0.4168	0.0165	3.3855	0.029	0.0064	4.5203	2217	14	4.5568	0.1878	0.1439	4.0966	206	206	42
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	0.9717	0.8983	0.8	0.6	944	0	IMf	0.880952380952381	0.108371973974662	0.2	0.304913901721966	0.924578259950637	0.777777777777778	0.86	0.157496850062999	0.164878	0.165175	0.164621	0.1828	0	-1.1667	-9	-0.0097	-0.119	-0.0912	-1.1602	-0.1024	0.181996360072799	0.013983	0.013827	0.013853	0.930034418552164	0.667062138514015	-1.3965	-1.7233	-0.135285633495167	1688.05	1.91853846153846	1	6	10	1.8	2	0.8947	0.9727	0.25	0.125	1.2516	0.4444	0.0961	1.9183	155	155	1.7925	0.3	0.6667	1.6096	1434	116	27
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.7555	0.984	0.6	0.6	83	0	IMf	0.652173913043478	0.044115562005321	0.083333333333333	0.102934921310081	0.991721159674883	0.5	0.647058823529412	0.022543598468737	0.025779	0.024253	0.024902	-0.2454	-0.5	-0.8333	-3	0.1053	0.0591	0.608	-1.4371	-0.9697	0	0	0	0	0.777846027846028	0.755102040816326	-0.8464	-0.8411	0.242545216567628	170.666666666667	0.406060606060606	16	6	16	2.75	3	0.76	0.9361	0.45	0.225	1.2516	0	0	0	216	156	2.585	0.4	0.5	1.7747	232	33	12
