	EVENT_LOG	PERCENT_FILT	VARIANTS_BEFORE	VARIANTS_AFTER
0	Hospital_Billing-Event_Log.xes	0.1	1020	102
1	BPI_Challenge_2012.xes	0.1	4366	436
2	BrazilianJustice.xes	0.1	6495	649
3	BPI_Challenge_2017.xes	0.1	15930	1593
4	BPI-2020-PermitLog.xes	0.1	1478	147
5	BPI_2019.xes	0.1	11973	1197
6	Sepsis_Cases-Event_Log.xes	0.1	846	84
7	Hospital_Billing-Event_Log.xes	0.25	1020	255
8	BPI_Challenge_2012.xes	0.25	4366	1091
9	BrazilianJustice.xes	0.25	6495	1623
10	BPI_Challenge_2017.xes	0.25	15930	3982
11	BPI-2020-PermitLog.xes	0.25	1478	369
12	BPI_2019.xes	0.25	11973	2993
13	Sepsis_Cases-Event_Log.xes	0.25	846	211
14	Hospital_Billing-Event_Log.xes	0.5	1020	510
15	BPI_Challenge_2012.xes	0.5	4366	2183
16	BrazilianJustice.xes	0.5	6495	3247
17	BPI_Challenge_2017.xes	0.5	15930	7965
18	BPI-2020-PermitLog.xes	0.5	1478	739
19	BPI_2019.xes	0.5	11973	5986
20	Sepsis_Cases-Event_Log.xes	0.5	846	423
21	Hospital_Billing-Event_Log.xes	0.75	1020	765
22	BPI_Challenge_2012.xes	0.75	4366	3274
23	BrazilianJustice.xes	0.75	6495	4871
24	BPI_Challenge_2017.xes	0.75	15930	11947
25	BPI-2020-PermitLog.xes	0.75	1478	1108
26	BPI_2019.xes	0.75	11973	8979
27	Sepsis_Cases-Event_Log.xes	0.75	846	634
28	Hospital_Billing-Event_Log.xes	0.9	1020	918
29	BPI_Challenge_2012.xes	0.9	4366	3929
30	BrazilianJustice.xes	0.9	6495	5845
31	BPI_Challenge_2017.xes	0.9	15930	14337
32	BPI-2020-PermitLog.xes	0.9	1478	1330
33	BPI_2019.xes	0.9	11973	10775
34	Sepsis_Cases-Event_Log.xes	0.9	846	761
