EVENT_LOG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES	DISCOVERY_ALG
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	-1	-1	-1	-1	0.6111791717506482	0.8809523809523809	0.9662760105237981	0.4945904173106659	0.499168	0.495823	0.501467	0.1057	0.5	3.6228	128	-1	-1	0.0191	2.1299	-1	14.463678516228633	0.385107	0.382457	0.40338	2.0421	1.9967	0.30523304263202916	-1	-1	52	22	45	3.4222	11	0.6296	-1	0.4419	0.0417	4.0235	0.061	0.0187	3.9737	115	11.0	3.9737	0.1733	0.2404	3.3688	58	53	27	IMf
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	-1	-1	-1	-1	0.9776055481874446	0.7076923076923077	0.7203389830508474	0.037005529561888566	0.037836	0.037421	0.037849	0.1649	0.0	0.8007	-2	-1	-1	0.1538	-0.5419	-1	0.628668651637601	0.19172	0.197958	0.191766	-1.121	-1.4346	-0.2411193217953911	-1	-1	16	6	16	2.75	3	0.76	-1	0.45	0.225	2.585	0.0	0.0	-0.0	173	145.5	2.585	0.3667	0.5455	1.7747	232	33	12	IMf
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	-1	-1	-1	-1	0.7358511977059138	0.9009433962264151	0.9281914893617021	0.2923389830508479	0.296124	0.294932	0.297663	0.0622	0.0	-0.1638	-11	-1	-1	-0.115	-0.4579	-1	0.18698305084745764	0.047506	0.047351	0.047284	-2.8124	-2.8195	-0.09936786555200051	-1	-1	1	6	10	1.8	2	0.8947	-1	0.45	0.175	2.585	0.1194	0.0507	2.2516	951	951.0	1.7925	0.3	0.6667	1.4952	1434	116	27	IMf
ElectronicInvoicingENG.xes.gz	-1	-1	-1	-1	0.5151754578165849	0.75	0.8409090909090909	0.6222329912251856	0.660107	0.628965	0.656356	0.1341	0.0	0.6189	-1	-1	-1	-0.316	-0.2528	-1	0.418179615431212	0.202179	0.203188	0.200539	-0.472	-0.6422	-0.4006693772527445	-1	-1	5	5	8	2.5	3	0.8182	-1	0.2857	0.2143	2.281	0.0	0.0	-0.0	21444	21444.0	0.7642	0.2083	0.6	1.7866	20135	7	9	IMf
BPI_Challenge_2014_Inspection.xes.gz	-1	-1	-1	-1	0.5039646136195455	0.8200589970501475	0.9135593220338983	0.33956178863480263	0.347299	0.343416	0.342485	0.0209	0.0833	1.8068	3	-1	-1	-0.1688	0.5858	-1	0.7513681100314197	0.121959	0.120599	0.120972	0.233	0.2215	0.0014222893938443566	-1	-1	29	12	31	2.8387	4	0.6923	-1	0.6209	0.0659	2.8729	0.0166	0.003	3.2729	72193	1882.0	3.9069	0.3	0.2381	2.5784	5485	3190	15	IMf
BPI_Challenge_2014_Geo parcel document.xes.gz	-1	-1	-1	-1	0.8064533560574768	0.7492581602373887	0.8343383052999048	0.19035453114875284	0.191488	0.19068	0.191026	0.0866	0.0	2.696	26	-1	-1	-0.1251	-0.392	-1	4.222608534666295	0.287056	0.282898	0.285286	-0.479	-0.9784	0.01660666022554906	-1	-1	23	11	21	3.3333	6	0.6471	-1	0.4167	0.3333	3.027	0.0531	0.0156	3.3927	55628	7453.0	3.7004	0.3397	0.2453	2.55	29059	9274	16	IMf
4a_VARA_CIVEL_-_TJGO.xes	-1	-1	-1	-1	0.6915858968956314	0.8251748251748252	0.8590163934426229	0.41676646706586745	0.422415	0.419926	0.440827	0.2296	0.0	0.5499	-39	-1	-1	-0.1047	0.0402	-1	5.74131736526946	0.085414	0.0853	0.087082	-1.529	-1.4822	0.29900559932902016	-1	-1	7	9	10	3.4	6	0.619	-1	0.4286	0.0357	1.75	0.2195	0.0452	2.4056	23	17.5	2.75	0.2321	0.6154	2.1342	339	98	16	IMf
BPI_Challenge_2014_Department control parcels.xes.gz	-1	-1	-1	-1	0.8208348977711029	0.9565217391304348	0.9829059829059829	0.2694685359296443	0.293772	0.276608	0.287808	-0.1261	-0.5	-1.5435	-10	-1	-1		-2.663	-1	0.0	0.0	0.0	0.0	-3.1894	-3.5785	0.026926765924805734	-1	-1	0	1	2	1.0	1	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	29297	349	6	IMf
BPI_Challenge_2014_Entitlement application.xes.gz	-1	-1	-1	-1	0.8861787199194732	0.9798534798534798	0.9878136200716846	0.1882943324280074	0.190217	0.188715	0.189053	0.1601	0.0	-0.8023	-7	-1	-1	-0.2001	-2.1521	-1	0.10979009658794539	0.027821	0.027576	0.027963	-5.6524	-5.4246	-0.6346650352469857	-1	-1	4	6	8	2.5	3	0.8182	-1	0.4333	0.1667	2.1281	0.1538	0.0	1.3788	14750	5900.0	2.5216	0.2381	0.7	1.8017	15260	2553	20	IMf
BPI_Challenge_2014_Control summary.xes.gz	-1	-1	-1	-1	0.9927934936015252	0.7727272727272727	0.8043478260869565	0.016708089336783336	0.018008	0.017452	0.017437	0.201	-0.5	-0.2909	-3	-1	-1	0.0431	-1.1119	-1	0.0	0.0	0.0	0.0	-1.967	-2.0064	-0.2662531044003941	-1	-1	5	4	8	2.25	3	0.8947	-1	0.3333	0.1667	1.0	0.0	0.0	-0.0	38138	22235.0	2.0	0.3333	1.0	1.4945	43808	59	7	IMf
