EVENT_LOG	PRECISION	FITNESS	FILTER_FREQ	FILTER_RAND	TOTAL_TRACES	DISCOVERY_ALG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES
edited_hh104_labour.xes.gz	0.207	0.4377	0.8	0.6	25.0	IMf	-1	-1	-1	-1	0.4248009257508303	0.6313559322033898	0.8151476251604621	0.4028571428571429	0.409149	0.406568	0.406568	0.1228	0.3333	3.0897	-6	-1	-1	0.7492	2.8327	-1	1.292619047619048	0.24045500000000003	0.24019000000000001	0.240339	-1.0488	-1.2215	-0.5153059690530026	-1	-1	67	18	56	3.1429	5	0.6682	-1	0.1886	0.0413	4.1427	0.0212	0.0135	4.2479	524	74.0	4.1427	0.5643	0.0984	3.0722	43	43	19
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	0.3667	0.7833	0.6	0.7	38.0	IMf	-1	-1	-1	-1	0.6943701206427653	0.6536585365853659	0.8752475247524752	0.3494318181818184	0.35745	0.35120100000000004	0.352925	0.1043	0.5	3.7187	4	-1	-1	-0.0025	1.4901	-1	3.450284090909104	0.321885	0.320377	0.322278	0.5891	0.5162	0.1881542420354033	-1	-1	52	22	45	3.4222	11	0.6296	-1	0.3767	0.0442	4.1039	0.0558	0.0186	3.9210000000000003	131	9.0	3.9312	0.1662	0.2407	3.5263	58	53	27
activitylog_uci_detailed_labour.xes.gz	0.3513	0.7468	0.6	0.7	17.0	IMf	-1	-1	-1	-1	0.6388849851816341	0.5483870967741935	0.774	0.3376436781609194	0.34556	0.341997	0.340521	0.0956	-0.0833	3.3571	1	-1	-1	0.5506	0.0877	-1	2.247126436781609	0.31860700000000003	0.317819	0.31948699999999997	-0.596	-0.9033	-0.2587166793055775	-1	-1	35	12	36	2.8889	3	0.664	-1	0.2802	0.0742	3.5	0.0506	0.0368	3.75	174	35.0	3.5778	0.4208	0.1584	2.693	25	25	16
activitylog_uci_detailed_weekends.xes.gz	0.2829	0.7764	0.9	0.9	9.0	IMf	-1	-1	-1	-1	0.6323721164401988	0.4711538461538461	0.7835497835497836	0.2459016393442624	0.251924	0.250546	0.247194	0.0863	0.1389	3.2513	1	-1	-1	0.47100000000000003	0.4787	-1	2.6885245901639325	0.41726599999999997	0.41671800000000003	0.418005	0.055	-0.1466	-0.1955701771339548	-1	-1	46	14	44	2.9545	4	0.6667	-1	0.3562	0.0723	3.6402	0.0836	0.049	3.5069	76	18.0	3.6402	0.3571	0.2	2.6149	10	10	15
edited_hh102_labour.xes.gz	0.1333	0.7016	0.8	0.7	12.0	IMf	-1	-1	-1	-1	0.5378900065957688	0.6153846153846154	0.8811369509043928	0.3819444444444446	0.390916	0.385329	0.38404699999999997	0.1073	0.5	5.2951	-3	-1	-1	0.8213	2.6635	-1	2.8880208333333286	0.353483	0.35454600000000003	0.354512	-0.8241	-0.6974	-0.7862624928694438	-1	-1	42	14	35	3.2	6	0.6842	-1	0.3204	0.0335	3.9058	0.0922	0.0276	4.1699	132	27.0	3.8366	0.3497	0.1682	2.7957	18	18	18
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	0.1079	0.9526	0.6	0.7	144.0	IMf	-1	-1	-1	-1	0.8989229877421848	0.6775067750677507	0.7963582311408398	0.09670751513361893	0.097683	0.097104	0.097087	0.1348	0.3	8.0528	138	-1	-1	0.0105	-1.0703	-1	7.109035877749883	0.309288	0.30740100000000004	0.308427	-0.3464	-0.8622	-0.041809464647841015	-1	-1	57	15	46	3.2609	6	0.6484	-1	0.4071	0.0143	4.4455	0.0229	0.0056	3.8787	2258	12.0	4.6187	0.1822	0.1444	4.0927	206	206	42
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.7555	0.9840000000000001	0.6	0.6	83.0	IMf	-1	-1	-1	-1	0.9831924905200768	0.6285714285714286	0.6901408450704225	0.02826171118854044	0.029149	0.029461	0.029256	0.2487	0.3	0.4022	-1	-1	-1	0.5915	-1.0783	-1	0.4765776229190863	0.14234000000000002	0.142394	0.14069500000000001	-1.0435	-1.2888	-1.8936955132067903	-1	-1	16	6	16	2.75	3	0.76	-1	0.45	0.225	2.585	0.0	0.0	-0.0	216	156.0	2.585	0.4	0.5	1.7747	232	33	12
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	0.9717	0.8983	0.8	0.6	944.0	IMf	-1	-1	-1	-1	0.8015818564212607	0.8529411764705882	0.8971193415637858	0.2194869435177723	0.22408899999999998	0.222208	0.224883	0.0686	-0.1667	-0.047	-7	-1	-1	-0.0275	-1.3677	-1	0.1532267341539169	0.02563	0.025755	0.025606	-2.5016	-2.6235	-0.20365843252289514	-1	-1	1	6	10	1.8	2	0.8947	-1	0.3	0.2	2.2516	0.1655	0.0781	2.2516	238	238.0	1.7925	0.3333	0.6	1.6764	1434	116	27
ElectronicInvoicingENG.xes.gz	0.5714	0.6513	0.7	0.6	4230.0	IMf	-1	-1	-1	-1	0.5685820420919209	0.5789473684210527	0.7333333333333333	0.5816910979516551	0.619821	0.606272	0.617197	0.2094	0.1667	0.4868	-1	-1	-1	0.3697	-0.0136	-1	0.3991910170533605	0.192183	0.195913	0.191025	-0.5261	-0.5872	-1.7146651485431132	-1	-1	5	5	8	2.5	3	0.8182	-1	0.2857	0.2143	2.281	0.0	0.0	-0.0	21444	21444.0	0.7642	0.2083	0.6	1.7866	20135	7	9
BPI_Challenge_2014_Inspection.xes.gz	0.4599	0.8478	0.6	0.6	3483.0	IMf	-1	-1	-1	-1	0.6517472977299008	0.6559139784946236	0.8230337078651685	0.2834758771375249	0.295119	0.288401	0.29061	0.0336	-0.7083	1.1912	-4	-1	-1	-0.0579	-0.03	-1	0.4832007364060754	0.089149	0.088558	0.088615	-0.13699999999999998	-0.6920000000000001	0.002818319581401841	-1	-1	29	12	31	2.8387	4	0.6923	-1	0.544	0.0659	2.7396	0.0162	0.0036	3.5899	75746	2029.0	3.9069	0.3048	0.2344	2.5751	5485	3190	15
