EVENT_LOG,PRECISION,FITNESS,FILTER_FREQ,FILTER_RAND,TOTAL_TRACES,DISCOVERY_ALG,EDIT_DISTANCE,EDIT_DISTANCE_WEIGHTED,EDIT_DISTANCE_WEIGHTED_MODIF,EDIT_DISTANCE_WEIGHTED_FIT,ALIGNMENT_DFG,DIST_NODES_PERCENT,DIST_EDGES_PERCENT,DIST_EDGES_WEIGHTED_FIT,DIST_EDGES_BTW,DIST_EDGES_CC,DIST_EDGES_DEGREE,CLUST_DIFF,CLUST_MAX_DIFF,DEGREE_DIFF,DEGREE_MAX_DIFF,BETWEEN_DIFF,BETWEEN_MAX_DIFF,ASSORT_DIFF,ENTROPY_DIFF,ENTROPY_DIFF_BTW,EXCEEDING_EDGES,EXCEEDING_EDGES_BTW,EXCEEDING_EDGES_CC,EXCEEDING_EDGES_DEGREE,FOURIER_ENTROPY_DIFF,FOURIER_ENTROPY_DIFF_WEIGHTED,CLUST_DIFF_WEIGHTED,BETWEEN_DIFF_WEIGHTED,BETWEEN_DIFF_WEIGHTED_NORM,PN_SILENT_TRANS,PN_TRANS,PN_PLACES,PN_ARCS_MEAN,PN_ARCS_MAX,PN_SIMPLICITY,PN_GENERALIZATION,LOG_BTW_MAX,LOG_BTW_MEDIAN,LOG_BTW_ENTROPY,LOG_CC_MAX,LOG_CC_MEDIAN,LOG_CC_ENTROPY,LOG_DEGREE_MAX,LOG_DEGREE_MEDIAN,LOG_DEGREE_ENTROPY,LOG_LINK_DENSITY,LOG_NODE_DEGREE_RATIO,LOG_FOURIER_ENTROPY,LOG_TRACES,LOG_VARIANTS,LOG_ACTIVITIES
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes,0.3667,0.7833,0.6,0.7,38.0,IMf,-1,-1,-1,-1,0.6111791717506482,0.8809523809523809,0.966276010523798,0.4945904173106659,0.49916800000000006,0.49582299999999996,0.501467,0.1057,0.5,3.6228,128,-1,-1,0.0191,2.1299,-1,14.463678516228633,0.38510700000000003,0.382457,0.40338,2.0421,1.9967,0.3052330426320292,-1,-1,52,22,45,3.4222,11,0.6296,-1,0.4419,0.0417,4.0235,61,0.0187,3.9737,115,11.0,3.9737,0.1733,0.2404,3.3688,58,53,27
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,0.7555,0.9840000000000001,0.6,0.6,83.0,IMf,-1,-1,-1,-1,0.9776055481874446,0.7076923076923077,0.7203389830508474,0.037005529561888566,0.037836,0.037420999999999996,0.037849,0.1649,0.0,0.8007,-2,-1,-1,0.1538,-0.5419,-1,0.6286686516376011,0.19172,0.197958,0.19176600000000002,-1121,-1.4346,-0.2411193217953911,-1,-1,16,6,16,2.75,3,0.76,-1,0.45,225,2585,0.0,0.0,-0.0,173,145.5,2585,0.3667,0.5455,1.7747,232,33,12
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz,0.9717,0.8983,0.8,0.6,944.0,IMf,-1,-1,-1,-1,0.7358511977059138,0.9009433962264152,0.928191489361702,0.2923389830508479,0.296124,0.294932,0.297663,0.0622,0.0,-0.1638,-11,-1,-1,-115,-0.4579,-1,0.18698305084745764,0.047506,0.047351,0.047284,-2.8124,-2.8195,-0.09936786555200053,-1,-1,1,6,10,1.8,2,0.8947,-1,0.45,175,2585,0.1194,0.0507,2.2516,951,951.0,1.7925,0.3,0.6667,1.4952,1434,116,27
ElectronicInvoicingENG.xes.gz,0.5714,0.6513,0.7,0.6,4230.0,IMf,-1,-1,-1,-1,0.5151754578165849,0.75,0.8409090909090909,0.6222329912251856,0.660107,0.628965,0.656356,0.1341,0.0,0.6189,-1,-1,-1,-316,-0.2528,-1,0.418179615431212,0.202179,0.203188,0.20053900000000002,-0.47200000000000003,-0.6422,-0.4006693772527445,-1,-1,5,5,8,2.5,3,0.8182,-1,0.2857,0.2143,2281,0.0,0.0,-0.0,21444,21444.0,0.7642,0.2083,0.6,1.7866,20135,7,9
BPI_Challenge_2014_Inspection.xes.gz,0.4599,0.8478,0.6,0.6,3483.0,IMf,-1,-1,-1,-1,0.5039646136195455,0.8200589970501475,0.9135593220338984,0.33956178863480263,0.34729899999999997,0.343416,0.342485,0.0209,0.0833,1.8068,3,-1,-1,-0.1688,0.5858,-1,0.7513681100314197,0.121959,0.120599,0.120972,233,0.2215,0.0014222893938443564,-1,-1,29,12,31,2.8387,4,0.6923,-1,0.6209,0.0659,2.8729,0.0166,3,3.2729,72193,1882.0,3.9069,0.3,0.2381,2.5784,5485,3190,15
BPI_Challenge_2014_Geo parcel document.xes.gz,0.3282,0.9187,0.7,0.8,12033.0,IMf,-1,-1,-1,-1,0.8064533560574768,0.7492581602373887,0.8343383052999048,0.19035453114875284,0.19148800000000002,0.19068,0.191026,0.0866,0.0,2696,26,-1,-1,-0.1251,-392,-1,4.222608534666295,0.287056,0.282898,0.28528600000000004,-479,-0.9784,0.01660666022554906,-1,-1,23,11,21,3.3333,6,0.6471,-1,0.4167,0.3333,3.0269999999999997,0.0531,0.0156,3.3927,55628,7453.0,3.7004,0.3397,0.2453,2.55,29059,9274,16
4a_VARA_CIVEL_-_TJGO.xes,0.9849,0.8469,0.7,0.6,213.0,IMf,-1,-1,-1,-1,0.6915858968956314,0.8251748251748252,0.8590163934426229,0.41676646706586745,0.422415,0.419926,0.440827,0.2296,0.0,0.5499,-39,-1,-1,-0.1047,0.0402,-1,5.74131736526946,0.085414,0.0853,0.087082,-1.5290000000000001,-1.4822,0.29900559932902016,-1,-1,7,9,10,3.4,6,619,-1,0.4286,0.0357,1.75,0.2195,0.0452,2.4056,23,17.5,2.75,0.2321,0.6154,2.1342,339,98,16
BPI_Challenge_2014_Department control parcels.xes.gz,1.0,0.7713,0.9,0.9,24048.0,IMf,-1,-1,-1,-1,0.8208348977711029,0.9565217391304348,0.9829059829059827,0.2694685359296443,0.293772,0.27660799999999997,0.287808,-0.1261,-0.5,-1.5435,-10,-1,-1,,-2.6630000000000003,-1,0.0,0.0,0.0,0.0,-3.1894,-3.5785,0.02692676592480573,-1,-1,0,1,2,1.0,1,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,-1.0,29297,349,6
BPI_Challenge_2014_Entitlement application.xes.gz,0.9148,0.9118,0.6,0.7,2950.0,IMf,-1,-1,-1,-1,0.8861787199194732,0.9798534798534798,0.9878136200716846,0.1882943324280074,0.190217,0.18871500000000002,0.189053,0.1601,0.0,-0.8023,-7,-1,-1,-0.2001,-2.1521,-1,0.1097900965879454,0.027821,0.027576,0.027963,-5.6524,-5.4246,-0.6346650352469857,-1,-1,4,6,8,2.5,3,0.8182,-1,0.4333,0.1667,2.1281,0.1538,0.0,1.3788,14750,5900.0,2.5216,0.2381,0.7,1.8017,15260,2553,20
BPI_Challenge_2014_Control summary.xes.gz,1.0,0.9972,0.9,0.9,35659.0,IMf,-1,-1,-1,-1,0.9927934936015252,0.7727272727272727,0.8043478260869565,0.016708089336783336,0.018008,0.017452000000000002,0.017437,201,-0.5,-0.2909,-3,-1,-1,0.0431,-1.1119,-1,0.0,0.0,0.0,0.0,-1.9669999999999999,-2.0064,-0.2662531044003941,-1,-1,5,4,8,2.25,3,0.8947,-1,0.3333,0.1667,1.0,0.0,0.0,-0.0,38138,22235.0,2.0,0.3333,1.0,1.4945,43808,59,7
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,575,0.7529,0.8,0.8,41.0,IMf,-1,-1,-1,-1,0.3861736513433716,0.9413965087281796,0.937077483099324,0.6072038911528831,0.610574,0.609354,0.609296,0.2085,0.5,1.8013,47,-1,-1,-0.1657,0.6642,-1,1.2397791507821732,0.06598899999999999,0.06555599999999999,0.065536,-2.0541,-2.56,-0.13575064371399526,-1,-1,27,11,25,3.12,4,0.6774,-1,0.4485,0.0224,4.1571,0.0223,0.0074,3.5254,2219,9.0,4.7044,121,0.1921,4.4147,52,52,45
DocumentProcessingENG.xes.gz,642,0.4248,0.7,0.8,4773.0,IMf,-1,-1,-1,-1,0.30346828683521193,0.7916666666666666,0.8484848484848485,0.8467482503171939,0.9014059999999999,0.862627,0.8922180000000001,213,0.5,0.6778,0,-1,-1,-0.4722,0.2692,-1,0.1892931690746122,0.08277899999999999,0.08859,0.083136,-0.8438,-0.7039,-0.35169165353753,-1,-1,3,4,6,2.3333,3,0.8667,-1,0.3333,0.1667,1.0,0.0,0.0,-0.0,9546,7159.5,1.0,0.4167,0.8,1281,18352,3,10
BPI_Challenge_2012.xes.gz,0.6259,0.6429,0.6,0.6,6888.0,IMf,-1,-1,-1,-1,0.5948519742207631,0.918406072106262,0.9641873278236914,0.599310353132916,0.606157,0.601325,0.6027600000000001,0.0357,0.0,1.3633,-5,-1,-1,0.0314,1.0259,-1,0.8165210165667792,0.12458,0.12356700000000001,0.123681,-0.2016,0.1236,0.0051178071319374074,-1,-1,36,22,43,2.8372,5,0.7063,-1,0.5643,0.1024,3.8408,0.0643,5,3.0838,8305,223.0,3.7322,0.11900000000000001,0.4,3.3923,13087,4366,24
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes,0.4709,0.7352,0.7,0.8,105.0,IMf,-1,-1,-1,-1,0.3567058133909777,0.8907035175879398,0.953661236754705,0.5465268676277956,0.551283,0.547225,0.548783,0.0265,0.0,2.7919,250,-1,-1,-0.0057,1.5244,-1,8.021718779254801,0.10425799999999999,0.102372,0.10366500000000001,0.7975,0.2983,0.031110676261523463,-1,-1,48,24,45,3.4222,9,0.6126,-1,0.2946,0.0242,4.5744,0.0198,0.0043,4.1193,2029,15.0,4.7185,0.2074,0.1507,3.9686,131,128,38
BPI_Challenge_2020_InternationalDeclarations.xes.gz,0.4211,0.9165,0.6,0.7,1564.0,IMf,-1,-1,-1,-1,0.7692291324729342,0.8926174496644296,0.949408404732762,0.27432954856777425,0.277984,0.274685,0.276499,0.0209,-0.7333,2.5026,-43,-1,-1,0.0133,0.7358,-1,3.0543971264192815,0.337486,0.336829,0.33679899999999996,-0.2575,-0.2285,0.0064158184847779845,-1,-1,10,17,22,2.7273,6,0.6901,-1,0.5875,175,3.2928,0.2032,0.0548,2.5366,2544,1498.0,3.7345,0.0956,0.6538,2.4313,6449,753,34
Hospital Billing - Event Log.xes.gz,0.9527,0.8466,0.6,0.8,43275.0,IMf,-1,-1,-1,-1,0.6511166195572639,0.9751243781094528,0.9815217391304348,0.4433346518987324,0.457005,0.44426400000000005,0.45631099999999997,0.1968,0.0,-0.3504,-28,-1,-1,-0.5565,-1.3015,-1,1.236174841772152,0.028369,0.028102,0.028394,-4.4374,-4412,-0.22712813928796935,-1,-1,4,5,6,3.0,4,0.7143,-1,0.3,0.1,1.4591,0.2632,0.0439,1.4591,54575,54575.0,1.4591,0.2,1.0,1.7382,100000,1020,18
BPI_Challenge_2019_log_IEEE.xes.gz,0.9949,0.8102,0.6,0.6,69479.0,IMf,-1,-1,-1,-1,0.7137933753736185,0.9901613537977174,0.9953857075248462,0.4215444742026721,0.42436999999999997,0.421754,0.424621,0.0367,-0.5,-1.7076,-210,-1,-1,-0.2188,-1.7555,-1,0.1846110272868156,0.000974,0.000974,0.000974,-6.7888,-6.57,-0.2787634067047379,-1,-1,5,9,12,2.5,4,0.7647,-1,0.2381,0.0476,2.0,0.2228,0.1205,2.1556,114223,54047.0,2.75,0.2143,0.6667,1.8867,251734,11973,42
BPI_Challenge_2014_Reference alignment.xes.gz,1.0,0.9818,0.9,0.9,34987.0,IMf,-1,-1,-1,-1,0.9574176582276734,0.8648648648648649,0.9032258064516128,0.10681814245882616,0.112304,0.10900499999999999,0.111278,0.1776,-0.5,-0.7135,-2,-1,-1,-0.1538,-0.8684,-1,0.0,0.0,0.0,0.0,-2.48,-2.6689,-0.15652385152634565,-1,-1,5,3,7,2.2857,3,0.8824,-1,0.5,0.0,0.9183,0.0,0.0,-0.0,38572,7838.0,1585,0.5,1.0,0.9935,43802,515,6
BPI_Challenge_2020_PrepaidTravelCost.xes.gz,0.6198,0.9074,0.8,0.7,1459.0,IMf,-1,-1,-1,-1,0.7860749153276229,0.8619854721549637,0.9069767441860463,0.2083410680032171,0.20940999999999999,0.20874299999999998,0.211923,-0.0254,-1.0,0.7756,-24,-1,-1,-0.1226,0.4549,-1,0.9707938865169242,0.1114,0.11125399999999999,0.11138699999999999,-1.7574,-1.0429,0.0339926652284274,-1,-1,8,16,20,2.7,5,0.6875,-1,0.3199,0.0312,3.5249,0.1928,0.0279,2.5997,750,219.5,3.8366,0.0882,0.6667,2.7103,2099,202,29
Road_Traffic_Fine_Management_Process.xes.gz,1.0,0.5105,0.6,0.6,46371.0,IMf,-1,-1,-1,-1,0.30837933098357384,0.9883720930232558,0.9942857142857144,0.8059206120672368,0.8818530000000001,0.806296,0.8438950000000001,-0.11800000000000001,-1.0,-1.0349,-11,-1,-1,,-2.4119,-1,0.0,0.0,0.0,0.0,-5.2973,-5.2926,0.013181933295485962,-1,-1,0,2,3,1.3333,2,1.0,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,46371,23185.5,-0.0,0.5,2.0,1.0,150370,231,11
BPI_Challenge_2013_incidents.xes.gz,0.8767,0.9909,0.7,0.7,4399.0,IMf,-1,-1,-1,-1,0.9825187462201992,0.46875,0.53,0.029918435619320238,0.031402,0.032208,0.031501,0.1595,0.0556,0.09,-4,-1,-1,-0.0955,-1.0863,-1,0.2622993223086341,0.014394,0.014411000000000002,0.014559,-0.8541,-0.95,-0.41278363406296403,-1,-1,9,3,10,2.6,3,0.7333,-1,0.5,0.0,0.9183,0.0903,0.0451,0.9183,9479,2678.0,1585,1.1667,0.4286,0.9707,7554,1511,4
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes,0.3214,0.84,0.7,0.6,16.0,IMf,-1,-1,-1,-1,0.6496060782899917,0.8253012048192772,0.8703910614525141,0.2780946948088989,0.280279,0.279918,0.27961199999999997,0.0329,0.0,1.9296,15,-1,-1,-0.0909,0.2551,-1,1.1012549914432408,0.14790999999999999,0.147636,0.14767,-0.4311,-0.8009999999999999,-0.0009197160244742436,-1,-1,35,11,32,3.0,5,0.6842,-1,0.5501,0.0444,3.3931,31,0.0056,3514,585,17.0,4.1429,0.1897,0.2396,3.4797,28,28,26
BPI_Challenge_2020_DomesticDeclarations.xes.gz,1.0,0.8905,0.6,0.8,4618.0,IMf,-1,-1,-1,-1,0.6180704583664097,0.9384615384615383,0.9689922480620154,0.4608742696386067,0.476695,0.46353199999999994,0.486476,-0.0788,-0.5,-0.9846,-18,-1,-1,,-2.2875,-1,0.0,0.0,0.0,0.0,-3.7510000000000003,-3.4014,0.04357290430496233,-1,-1,0,5,6,1.6667,2,1.0,-1,0.3333,0.25,1.5219,0.0,0.0,-0.0,4618,4618.0,971,0.2,1.25,1.3486,10500,99,17
Sepsis Cases - Event Log.xes.gz,0.4742,0.8541,0.6,0.6,666.0,IMf,-1,-1,-1,-1,0.6079108818275388,0.7865937072503421,0.9015736766809728,0.3407229596159295,0.344526,0.34139200000000003,0.341947,-0.037000000000000005,-0.7222,3.0112,-18,-1,-1,0.1144,-0.4705,-1,1.7804998587969545,0.21231399999999997,0.21140599999999998,0.211524,-0.0206,0.2457,0.13142678712899827,-1,-1,19,13,26,2.8462,5,0.6444,-1,0.3492,0.1117,3.75,0.0407,0.0256,3.7028,2005,437.5,4.0,0.4458,0.1495,2.9557,1050,846,16
BPI_Challenge_2013_open_problems.xes.gz,0.9996,0.8633,0.6,0.7,340.0,IMf,-1,-1,-1,-1,0.7256550768455529,0.7391304347826086,0.8285714285714286,0.3976124885215794,0.442184,0.41524300000000003,0.441824,-0.0181,0.0,-1.0435,-14,-1,-1,-0.2993,-0.8393,-1,0.0,0.0,0.0,0.0,-1.3981,-1.5787,-0.10369553791384097,-1,-1,4,2,5,2.4,3,0.8462,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,316,0.0,1585,0.5,1.0,0.9953,819,108,3
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,0.8057,0.6575,0.8,0.8,134.0,HEU_MINER,-1,-1,-1,-1,0.38467064544650703,0.9032258064516128,0.9230769230769232,0.7188430455125474,0.735779,0.742711,0.736821,0.3249,0.0,0.6629,-2,-1,-1,-128,-1.4092,-1,0.3598468736707784,0.113452,0.116678,0.11230899999999999,-2.1574,-2.2826,-0.4521604156693295,-1,-1,11,6,13,2.7692,4,0.7143,-1,0.45,225,2585,0.0,0.0,-0.0,338,267.5,2585,0.4,0.5,1.7747,232,33,12
