	EVENT_LOG	DISCOVERY_ALG	FITNESS	ALIGN_K1	EDGES_K1	ALIGNMENTS_MARKOV_2_K1	ALIGNMENTS_MARKOV_3_K1	ALIGNMENTS_MARKOV_4_K1	ALIGN_K2	EDGES_K2	ALIGN_K3	EDGES_K3
0	4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	0.4869	0.8492	0.878	0.4405	0.4323	0.4405	0.6422	0.7298	0.4058	0.5712
1	edited_hh104_labour	IMd	0.996	0.998	0.9981	0.998	0.998	1.0	0.9922	0.9963	0.9886	0.9945
2	3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.4891	0.496	0.4252	0.4891	0.478	0.5033	0.3063	0.3122	0.2194	0.2517
3	3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.4088	0.4385	0.3963	0.4088	0.4088	0.51	0.2226	0.2512	0.1622	0.1856
4	activitylog_uci_detailed_labour	IMf	0.7842	0.8019	0.8116	0.7997	0.7138	0.8567	0.6751	0.6949	0.5751	0.6326
5	activitylog_uci_detailed_labour	ETM	0.5943	0.8518	0.8582	0.5449	0.5412	0.5449	0.579	0.69	0.3298	0.501
6	activitylog_uci_detailed_weekends	IMf	0.7513	0.7555	0.759	0.7555	0.7555	0.8195	0.6119	0.6417	0.5141	0.5695
7	activitylog_uci_detailed_weekends	ETM	0.6348	0.7732	0.7711	0.6123	0.6123	0.6123	0.4085	0.5217	0.3197	0.3552
8	edited_hh102_labour	IMd	0.9951	0.9951	0.9923	0.9951	0.9951	0.9951	0.9921	0.9899	0.9892	0.9876
10	3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	0.6655	0.6712	0.6938	0.6712	0.6712	0.8678	0.5539	0.5642	0.4873	0.4733
11	3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.9988	0.9988	0.9972	0.9988	0.9988	0.9988	0.9969	0.9961	0.9954	0.9951
12	3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.9615	0.9917	0.9812	0.9616	0.9253	0.95	0.9686	0.9521	0.9087	0.9094
