EVENT_LOG	DISCOVERY_ALG	PRECISION	FITNESS	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	ABS_MEAN_DEGREE	ABS_MEAN_DEGREE_DIV	ABS_NODE_LINK_RATIO	ABS_NODE_LINK_RATIO_DIV	ABS_LINK_DENSITY	ABS_MEAN_CLUST	ABS_MEAN_CLUST_DIV	ABS_MAX_BTW	ABS_MAX_BTW_DIV	ABS_MEAN_BTW	ABS_MEAN_BTW_DIV	ABS_BTW_ENTROPY	ABS_BTW_ENTROPY_DIV	ABS_BTW_ENTROPY_NORM	ABS_BTW_ENTROPY_NORM_DIV	ABS_DFT_ENTROPY	ABS_DFT_ENTROPY_DIV	ABS_CC_ENTROPY	ABS_CC_ENTROPY_DIV	ABS_CC_ENTROPY_NORM	ABS_DEGREE_ASSORT	ABS_DEGREE_ASSORT_DIV	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	variant_entropy	variant_entropy_norm	sequence_entropy	sequence_entropy_norm	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	TIME_MARKOV	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	ALIGNMENTS_MARKOV_2_K1	ALIGNMENTS_MARKOV_1_K1	ALIGNMENTS_MARKOV_3_K1	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND	ABS_LOG_NODE_LINK_RATIO	ABS_LOG_MAX_CLUST_COEF	ABS_LOG_MEAN_CLUST_COEF	ABS_LOG_MAX_BTW	ABS_LOG_MEAN_BTW	ABS_LOG_BTW_ENTROPY	ABS_LOG_BTW_ENTROPY_NORM	ABS_LOG_DFT_ENTROPY	ABS_LOG_CC_ENTROPY	ABS_LOG_CC_ENTROPY_NORM	ABS_LOG_DEGREE_ASSORT	TIME_ALIGN	ALIGNMENTS_MARKOV_4_K1
Production_Data	IMf	0.3595	0.627	0.8004	0.9708	0.7633	34.8022	0.0113	0.0031	0.3588	-1.9355	0	1.0	-0.1364	0.8636	18.1577	18.1577	2.6392	34	-83.6675	0.1555	34	-65.5098	0.4104	6.6306	1.7752	-0.051	0.5637	0.2549	-0.2099	0.6906	0.39	2.8047	-0.0041	0.821	-131.8057	5.62	4.2326	5.62	-1.1448	0.7401	0	-1	0	-0.0515	1.2243	9077	55	225	221	98.2222	40.3422	52.157	38046.4987	0.5447	79181.4989	0.9598	129	0.7771	37	94	3.5745	24	1.7872	1.7872	1.0	1.0	1.0155	1.0155	16	16	1	1	2	2	6.856	0.7575	0.3817	0.5283	0.3241	0.5595	0.3214	0.7562				0.5787	0.5896	0.5519	0.6064	0.1787	0.2943	0.1657	0.2479	0.1169	1.0	0.6785	0.2161	0.0229	-28.5293	-167.3225	-514347.7073	0	0	-0.2296	36.47	0.7391
Production_Data	IMd	0.067	0.921	0.9231	0.9887	0.9031	0.0	0.0	0.0037	0.3061	-12.624	3	1.0882	0.0	1.0	-79.049	-79.049	5.3029	34	-83.6675	0.1555	37	-162.7165	0.8246	22.7797	3.6632	-0.085	0.2729	0.6691	0.2188	1.3225	-0.0148	0.9315	-0.0168	0.2664	-142.6774	6.0011	-32.0987	6.0011	-1.1089	0.7483	0	-1	0	0.0841	0.6337	9077	55	225	221	98.2222	40.3422	52.157	38046.4987	0.5447	79181.4989	0.9598	45	0.5422	38	33	5.0303	30	2.5152	2.5152	1.0	1.0	1.0	1.0	28	28	1	1	1	1	2.106	0.9026	0.7681	0.4876	0.2825	0.508	0.3036	0.7182				0.9548	0.9447	0.9273	0.9022	0.0459	0.0558	0.0454	0.0503	0.1169	1.0	0.6785	0.2161	0.0229	-28.5293	-167.3225	-514347.7073	0	0	-0.2296	6.39	0.9167
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMf	0.2203	0.8834	0.8834	0.9723	0.8765	53.0	0.1147	0.0089	0.7619	-0.3808	-4	0.6923	-0.2581	0.7419	18.2647	18.2647	2.1685	13	-22.2647	0.2641	9	-4.0	0.5727	0.1818	1.0328	-0.0057	0.9684	0.3086	0.1139	1.2172	-0.0262	0.9369	0.028	1.5109	3.5098	0.7996	16.0	0.7996	-1.1046	0.6784	0	-1	0	0.579	-1.194	2637	21	36	36	100.0	73.25	70.8444	8111.6459	0.43	20158.0393	0.9704	29	0.7436	10	24	3.25	6	1.625	1.625	1.0	1.0	1.0	1.0	4	4	1	1	1	1	0.1043	0.8731	0.3565	0.7981	0.7593	0.8116	0.5	0.6496				0.8577	0.8767	0.8554	0.9117	0.2128	0.2185	0.2857	0.1934	0.1803	1.0	0.5243	0.4151	0.0548	-17.5098	-30.0	-147202.3914	0	0	-0.2639	0.27	0.8834
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMd	0.0764	0.978	0.9795	0.9936	0.9753	24.7833	0.0536	0.0016	0.3431	-6.9731	4	1.3077	0.0	1.0	-41.7353	-41.7353	3.7864	13	-22.2647	0.2641	17	-64.0	1.0	11.4545	3.0655	-0.1215	0.3261	0.7359	0.4462	1.851	-0.3563	0.1417	-0.0513	0.0639	-46.4902	3.6551	-39.4869	3.6551	-0.6959	0.7974	0	-1	0	0.2083	0.2107	2637	21	36	36	100.0	73.25	70.8444	8111.6459	0.43	20158.0393	0.9704	47	0.7344	17	36	3.6667	9	1.8333	1.8333	1.0	1.0	1.0426	1.0426	6	5	1	1	2	2	4183.2624	0.9746	0.8522	0.5198	0.359	0.51	0.1818	0.6749				0.9774	0.978	0.978	0.9822	0.0721	0.0726	0.0677	0.0665	0.1803	1.0	0.5243	0.4151	0.0548	-17.5098	-30.0	-147202.3914	0	0	-0.2639	2.75	0.979
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	0.8311	0.4869	0.8492	0.9712	0.878	25.0	0.0541	0.0084	0.9783	0.9877	-7	0.4615	-0.4167	0.5833	5.5098	5.5098	0.8292	13	-22.2647	0.2641	6	-16.7549	0.219	-2.4788	0.553	0.1458	1.8087	-0.0451	-0.3564	0.3202	-0.036	0.9133	0.0895	2.6332	5.5098	0.6853	18.0	0.6853	-0.5623	0.8363	0	-1	0	0.4303	-0.6305	2637	21	36	36	100.0	73.25	70.8444	8111.6459	0.43	20158.0393	0.9704	17	0.1141	132	139	2.1439	3	1.0719	1.0719	1.0	1.0	1.0	1.0	2	2	1	1	1	1	1.0621	0.882	0.3739	0.9738	0.9773	0.9743	0.3182	0.6341	0.4405	0.8492	0.4323	0.5338	0.4908	0.5821	0.601	0.8509	0.8609	0.88	0.8729	0.1803	1.0	0.5243	0.4151	0.0548	-17.5098	-30.0	-147202.3914	0	0	-0.2639	10.39	0.4405
edited_hh104_labour	IMf	0.3136	0.4603	0.6177	0.9755	0.7813	0.0	0.0	0.0091	0.7278	0.1185	-2	0.8824	-0.2948	0.6904	0.0	0.0	0.8017	17	-12.7549	0.5763	15	-12.7549	0.462	-2.6342	0.7594	0.029	1.3176	-0.1143	-0.1781	0.7514	0.2474	3.4184	0.036	1.9651	-33.2193	7.9863	-19.2193	7.9863	-0.4009	0.8741	0	-1	0	-0.1212	8.1294	4200	19	43	43	100.0	97.6744	63.5548	13528.5253	0.4564	33443.6585	0.9544	70	0.7955	18	58	3.1379	5	1.569	1.569	1.0	1.0	1.0429	1.0429	3	3	1	1	2	2	8.971	0.7768	0.5207	0.8401	0.7244	0.8409	0.05	0.5611				0.4472	0.4668	0.4518	0.4569	0.1722	0.2762	0.1705	0.2608	0.0913	0.9521	0.7164	0.1023	0.0373	-4.7549	-20.7549	-167818.0355	0	0	-0.017	11.66	0.5961
edited_hh104_labour	IMd	0.0675	0.996	0.998	0.9988	0.9981	3.1	0.0082	0.016	0.6239	-2.5506	1	1.0588	0.0479	1.0503	-53.2451	-53.2451	1.5662	17	-12.7549	0.5763	18	-66.0	0.9026	6.2	1.5662	-0.033	0.6386	0.3263	0.2039	1.2846	0.0468	1.4575	-0.029	0.2225	-64.0	14.4598	-59.9557	14.4598	-0.3354	0.8947	0	-1	0	-0.0333	2.9588	4200	19	43	43	100.0	97.6744	63.5548	13528.5253	0.4564	33443.6585	0.9544	39	0.6724	19	33	3.5758	11	1.7879	1.7879	1.0	1.0	1.0256	1.0256	9	9	1	1	2	2	136.1211	0.9981	0.977	0.8267	0.6839	0.7456	0.0	0.3851	0.998	0.998	0.998	0.9959	0.9937	0.9997	0.9957	0.0643	0.0644	0.0618	0.0618	0.0913	0.9521	0.7164	0.1023	0.0373	-4.7549	-20.7549	-167818.0355	0	0	-0.017	4.44	0.998
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.3818	0.4891	0.496	0.8583	0.4252	4.3206	0.0057	0.035	0.8462	0.5906	-11	0.3889	0.0	1.0	22.3645	22.3645	2.0994	18	-30.3645	0.172	7	-8.0	0.3611	-1.754	0.6222	0.1308	1.6072	0.1891	0.0758	1.159	-0.0731	0.8461	0.1006	3.004	10.0	0.4874	32.2646	0.4874	-1.4927	0.5736	0	-1	0	-0.0892	1.3452	704	27	58	53	91.3793	12.1379	13.5136	1898.1845	0.5722	4120.9052	0.9167	9	0.5294	8	13	2.7692	4	1.3846	1.3846	1.125	1.0	1.0	1.1111	3	3	2	1	1	2	0.0162	0.4489	0.1653	0.859	0.8696	0.846	0.6786	0.8358	0.4891	0.496	0.478	0.4895	0.618	0.4626	0.603	0.0	0.3409	0.0	0.3448	0.2154	1.0	0.4767	0.4749	0.0502	-19.5098	-41.7744	-42060.0717	0	0	-0.2584	0.3	0.4891
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.164	0.4088	0.4385	0.8648	0.3963	4.3206	0.0057	0.035	0.4655	0.0958	-11	0.3889	-0.4048	0.5952	18.3645	18.3645	3.0657	18	-30.3645	0.172	7	-12.0	0.5273	0.6298	1.1356	-0.0257	0.8807	0.3553	0.078	1.1636	-0.286	0.3978	0.0316	1.6295	2.7549	0.8588	25.0195	0.8588	-1.6183	0.5378	0	-1	0	0.2556	0.0108	704	27	58	53	91.3793	12.1379	13.5136	1898.1845	0.5722	4120.9052	0.9167	13	0.5652	10	16	3.0	7	1.5	1.5	1.0	1.0	1.0769	1.0769	3	4	1	1	2	2	0.0404	0.4149	0.2066	0.6787	0.5	0.6548	0.6071	0.8323	0.4088	0.4385	0.4088	0.4274	0.5347	0.3799	0.5444	0.0	0.1535	0.0	0.177	0.2154	1.0	0.4767	0.4749	0.0502	-19.5098	-41.7744	-42060.0717	0	0	-0.2584	0.19	0.4088
activitylog_uci_detailed_labour	IMf	0.3347	0.7842	0.8019	0.9626	0.8116	1.0	0.0037	0.0234	0.8429	0.1221	-5	0.5833	0.0731	1.0884	-0.4902	-0.4902	0.9339	12	-13.5098	0.4118	7	-14.0	0.3846	-1.5882	0.7589	0.0482	1.3175	-0.0272	0.0096	1.0166	0.1472	1.5737	0.0835	2.3254	-24.3645	13.1822	-15.6096	13.1822	-0.3142	0.8868	0	-1	0	0.3784	-15.381	1392	16	25	25	100.0	55.68	36.9367	4040.0953	0.4443	9786.9452	0.9713	43	0.7679	13	39	3.0256	4	1.5128	1.5128	1.0	1.0	1.0698	1.0698	3	3	1	1	3	3	7.4815	0.823	0.5321	0.951	0.9206	0.849	0.1765	0.5203	0.7997	0.8019	0.7138	0.7599	0.7755	0.7461	0.7594	0.2535	0.3083	0.2105	0.2288	0.1518	0.8269	0.5789	0.2566	0.063	-2.0	-10.7549	-44466.1358	0	0	-0.0231	1.69	0.7997
