	event_log	total_time
0	Production_Data.xes.gz	0.0356
1	4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	0.0087
2	edited_hh104_labour.xes.gz	0.0116
3	3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	0.0041
4	activitylog_uci_detailed_labour.xes.gz	0.0044
5	activitylog_uci_detailed_weekends.xes.gz	0.0021
6	edited_hh102_labour.xes.gz	0.005
7	VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	0.0456
8	Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	0.0122
9	3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.0037
10	PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.0275
11	BPI_Challenge_2014_Control summary.xes.gz	0.2301
12	8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	0.2064
13	BPI_Challenge_2014_Department control parcels.xes.gz	0.122
14	ElectronicInvoicingENG.xes.gz	0.1599
15	4a_VARA_CIVEL_-_TJGO.xes	0.0037
16	VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	0.016
17	BPI_Challenge_2014_Entitlement application.xes.gz	0.4212
18	BPI_Challenge_2014_Inspection.xes.gz	0.5264
19	BPI_Challenge_2014_Geo parcel document.xes.gz	1.1321
20	BPI_Challenge_2012.xes.gz	0.5762
21	edited_hh110_weekends.xes.gz	0.0018
22	3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	0.0097
23	BPI_Challenge_2020_InternationalDeclarations.xes.gz	0.0736
24	DocumentProcessingENG.xes.gz	0.1444
25	edited_hh110_labour.xes.gz	0.0057
26	1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	0.0109
27	QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.0238
28	edited_hh104_weekends.xes.gz	0.0062
29	1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	0.022
30	2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	0.0205
31	VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	0.0064
32	BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.0212
33	JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	0.0079
34	BPI_Challenge_2014_Reference alignment.xes.gz	0.2376
35	Hospital Billing - Event Log.xes.gz	0.5162
36	COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	0.0436
37	Road_Traffic_Fine_Management_Process.xes.gz	0.5985
38	BPI_Challenge_2020_PermitLog.xes.gz	0.1365
39	BPI_Challenge_2019_log_IEEE.xes.gz	2.2963
40	SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	0.0711
41	Sepsis Cases - Event Log.xes.gz	0.057
42	4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	0.1588
43	BPI_Challenge_2013_open_problems.xes.gz	0.0082
44	BPI_Challenge_2013_incidents.xes.gz	0.1464
45	BPI Challenge 2017.xes.gz	2.541
46	BPI_Challenge_2020_DomesticDeclarations.xes.gz	0.0542
47	5a_VARA_CIVEL_-_TJMT.xes	0.0047
48	VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	0.0102
