event_log	algorithm	tran_sys_time	dfa_time	reduc_time	markov_time	total_time
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	IMf	0.011	0.1549	0.0056	0.0729	0.2444
Production_Data.xes.gz	IMf	0.0468	6.7663	0.014	0.0289	6.856
activitylog_uci_detailed_weekends.xes.gz	IMf	0.005	0.0137	0.0012	0.0019	0.0218
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMf	0.0044	0.0083	0.0013	0.001	0.015
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	IMf	0.0079	0.016	0.0743	0.0061	0.1043
edited_hh104_labour.xes.gz	IMf	0.0607	7.0894	0.0082	1.8127	8.971
activitylog_uci_detailed_labour.xes.gz	IMf	0.0451	7.4207	0.0039	0.0118	7.4815
edited_hh102_labour.xes.gz	IMf	0.0117	0.9141	0.0067	0.0169	0.9494
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMf	0.0032	0.0106	0.0009	0.0015	0.0162
BPI_Challenge_2014_Department control parcels.xes.gz	IMf	0.0014	0.0009	0.0005	0.0002	0.003
BPI_Challenge_2014_Control summary.xes.gz	IMf	0.0018	0.0017	0.0008	0.0004	0.0047
4a_VARA_CIVEL_-_TJGO.xes	IMf	0.0164	0.3871	0.0011	0.0021	0.4067
BPI_Challenge_2014_Geo parcel document.xes.gz	IMf	0.014	4.892	0.0052	0.0027	4.9139
BPI_Challenge_2014_Entitlement application.xes.gz	IMf	0.0065	0.1754	0.0072	0.0167	0.2058
BPI_Challenge_2014_Inspection.xes.gz	IMf	0.0232	1.2278	0.0048	0.0776	1.3334
ElectronicInvoicingENG.xes.gz	IMf	0.0024	0.003	0.0012	0.0008	0.0074
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.0126	0.1278	0.0019	0.0024	0.1447
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	IMf	0.0047	0.0144	0.001	0.0013	0.0214
BPI_Challenge_2012.xes.gz	IMf	0.0171	0.0627	0.0091	0.099	0.1879
edited_hh110_weekends.xes.gz	IMf	0.143	912.1254	0.0097	16.6377	928.9158
DocumentProcessingENG.xes.gz	IMf	0.0025	0.0031	0.0012	0.0008	0.0076
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMf	0.008	0.3942	0.0037	0.462	0.8679
BPI_Challenge_2020_InternationalDeclarations.xes.gz	IMf	0.0084	0.1622	0.0024	0.0286	0.2016
edited_hh104_weekends.xes.gz	IMf	0.0259	0.7586	0.003	0.0044	0.7919
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	IMf	0.0759	9.2752	0.0048	0.0016	9.3575
edited_hh110_labour.xes.gz	IMf	0.0391	3.4953	0.0026	0.0056	3.5426
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.0053	0.0136	0.0016	0.0018	0.0223
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	IMf	0.0542	21.077	0.0247	29.9899	51.1458
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	IMf	0.0075	0.8708	0.0061	0.0149	0.8993
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	IMf	0.002	0.0159	0.0007	0.0132	0.0318
BPI_Challenge_2014_Reference alignment.xes.gz	IMf	0.0019	0.0031	0.0007	0.0004	0.0061
Hospital Billing - Event Log.xes.gz	IMf	0.004	0.0213	0.0015	0.0097	0.0365
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	IMf	0.0096	0.5171	0.0013	0.817	1.345
Road_Traffic_Fine_Management_Process.xes.gz	IMf	0.0466	0.8671	0.028	0.3652	1.3069
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMf	0.0024	0.0089	0.0014	0.001	0.0137
5a_VARA_CIVEL_-_TJMT.xes	IMf	0.0352	0.2439	0.0069	1019.0236	1019.3096
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	IMf	0.0334	5.5272	0.0052	30.0836	35.6494
BPI Challenge 2017.xes.gz	IMf	0.0097	0.0402	0.007	0.1836	0.2405
Sepsis Cases - Event Log.xes.gz	IMf	0.0057	0.0374	0.0021	0.0132	0.0584
BPI_Challenge_2013_incidents.xes.gz	IMf	0.0019	0.0016	0.0018	0.0005	0.0058
BPI_Challenge_2013_open_problems.xes.gz	IMf	0.0015	0.0011	0.0005	0.0003	0.0034
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	IMf	0.0049	0.0139	0.0011	0.0013	0.0212
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	IMd	0.0045	26.9276	0.0065	0.1732	27.1118
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	IMd	0.0046	0.4824	0.002	0.0558	0.5448
Production_Data.xes.gz	IMd	0.0059	1.8928	0.0024	0.2049	2.106
activitylog_uci_detailed_weekends.xes.gz	IMd	0.0046	109.7693	0.0025	0.1052	109.8816
