EVENT_LOG	DISCOVERY_ALG	PRECISION	FITNESS	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	variant_entropy	variant_entropy_norm	sequence_entropy	sequence_entropy_norm	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	TIME_MARKOV	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	ALIGNMENTS_MARKOV_2_K1	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND
Production_Data	IMf	0.3595	0.627	0.5714	0.9098	0.6319	1573.3038	0.0068	0.0028	0.0789	-2.0914	3	1.0968	-0.1667	0.6666	254.7168	254.7168	1	31	-2858.1454	0.0055	34	-2603.4286	0.015	9077	55	225	221	98.2222	40.3422	52.157	38046.4987	0.5447	79181.4989	0.9598	129	0.7771	37	94	3.5745	24	1.7872	1.7872	1.0	1.0	1.0155	1.0155	16	16	1	1	2	2	334.8587	0.7575	0.3817	0.5283	0.3241	0.1083	0.7553	0.9326		0.5787	0.5896	0.5519	0.6064	0.1787	0.2943	0.1657	0.2479
Production_Data	IMd	0.067	0.921	0.905	0.9769	0.8907	1975.6333	0.0086	0.0	0.0278	-17.4687	6	1.1935	-0.2419	0.5162	-8066.7675	-8066.7675	1	31	-2858.1454	0.0055	37	-10924.9129	0.0249	9077	55	225	221	98.2222	40.3422	52.157	38046.4987	0.5447	79181.4989	0.9598	45	0.5422	38	33	5.0303	30	2.5152	2.5152	1.0	1.0	1.0	1.0	28	28	1	1	1	1	17.846	0.9026	0.7681	0.4876	0.2825	0.0494	0.7176	0.9724		0.9548	0.9447	0.9273	0.9022	0.0459	0.0558	0.0454	0.0503
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMf	0.2203	0.8834	0.7989	0.9384	0.8265	122.0	0.0081	0.0	0.3288	-0.9897	-3	0.75	0.0	1.0	336.1997	336.1997	1	12	-498.067	0.0192	9	-161.8673	0.0913	2637	21	36	36	100.0	73.25	70.8444	8111.6459	0.43	20158.0393	0.9704	29	0.7436	10	24	3.25	6	1.625	1.625	1.0	1.0	1.0	1.0	4	4	1	1	1	1	1.5764	0.8731	0.3565	0.7981	0.7593	0.3723	0.6449	0.7738		0.8577	0.8767	0.8554	0.9117	0.2128	0.2185	0.2857	0.1934
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMd	0.0764	0.978	0.9622	0.9871	0.9671	97.0	0.0065	0.0026	0.0511	-9.1842	5	1.4167	-0.2282	0.5436	-1756.6811	-1756.6811	1	12	-498.067	0.0192	17	-2254.7481	0.0527	2637	21	36	36	100.0	73.25	70.8444	8111.6459	0.43	20158.0393	0.9704	47	0.7344	17	36	3.6667	9	1.8333	1.8333	1.0	1.0	1.0426	1.0426	6	5	1	1	2	2	3628.8517	0.9746	0.8522	0.5198	0.359	0.089	0.6728	0.9493		0.9774	0.978	0.978	0.9822	0.0721	0.0726	0.0677	0.0665
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	0.8311	0.4869	0.6422	0.9206	0.7298	1125.0167	0.075	0.0003	0.9125	0.9819	-6	0.5	0.0	1.0	332.2459	332.2459	1	12	-498.067	0.0192	6	-165.8211	0.037	2637	21	36	36	100.0	73.25	70.8444	8111.6459	0.43	20158.0393	0.9704	17	0.1141	132	139	2.1439	3	1.0719	1.0719	1.0	1.0	1.0	1.0	2	2	1	1	1	1	1.0838	0.882	0.3739	0.9738	0.9773	0.9207	0.629	0.7525	0.4405	0.5338	0.4908	0.5821	0.601	0.8509	0.8609	0.88	0.8729
edited_hh104_labour	IMd	0.0675	0.996	0.9922	0.9977	0.9963	722.5	0.015	0.0	0.0706	-9.1087	1	1.0588	0.2697	-1.0	-874.4215	-874.4215	1	17	-1550.6163	0.0084	18	-2425.0378	0.0475	4200	19	43	43	100.0	97.6744	63.5548	13528.5253	0.4564	33443.6585	0.9544	39	0.6724	19	33	3.5758	11	1.7879	1.7879	1.0	1.0	1.0256	1.0256	9	9	1	1	2	2	121.7684	0.9981	0.977	0.8267	0.6839	0.0831	0.384	0.9295	0.998	0.9959	0.9937	0.9997	0.9957	0.0643	0.0644	0.0618	0.0618
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.3818	0.4891	0.3063	0.7366	0.3122	122.5	0.0072	0.0039	0.4941	0.4012	-7	0.5	-0.1889	0.6222	541.7013	541.7013	1	14	-595.35	0.0151	7	-53.6487	0.1211	704	27	58	53	91.3793	12.1379	13.5136	1898.1845	0.5722	4120.9052	0.9167	9	0.5294	8	13	2.7692	4	1.3846	1.3846	1.125	1.0	1.0	1.1111	3	3	2	1	1	2	0.0224	0.4489	0.1653	0.859	0.8696	0.5148	0.8296	0.8605	0.4891	0.4895	0.618	0.4626	0.603	0.0	0.3409	0.0	0.3448
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.164	0.4088	0.2226	0.7341	0.2512	363.6667	0.0214	0.0027	0.1404	0.0939	-7	0.5	-0.2045	0.591	419.318	419.318	1	14	-595.35	0.0151	7	-176.032	0.0833	704	27	58	53	91.3793	12.1379	13.5136	1898.1845	0.5722	4120.9052	0.9167	13	0.5652	10	16	3.0	7	1.5	1.5	1.0	1.0	1.0769	1.0769	3	4	1	1	2	2	0.2652	0.4149	0.2066	0.6787	0.5	0.235	0.8272	0.9205	0.4088	0.4274	0.5347	0.3799	0.5444	0.0	0.1535	0.0	0.177
activitylog_uci_detailed_labour	IMf	0.3347	0.7842	0.6751	0.9189	0.6949	439.6667	0.0347	0.0093	0.3095	-1.387	-3	0.7	0.25	2.0	249.7085	249.7085	1	10	-493.9375	0.0185	7	-244.229	0.0761	1392	16	25	25	100.0	55.68	36.9367	4040.0953	0.4443	9786.9452	0.9713	43	0.7679	13	39	3.0256	4	1.5128	1.5128	1.0	1.0	1.0698	1.0698	3	3	1	1	3	3	9.4633	0.823	0.5321	0.951	0.9206	0.323	0.5161	0.7636	0.7997	0.7599	0.7755	0.7461	0.7594	0.2535	0.3083	0.2105	0.2288
activitylog_uci_detailed_labour	IMd	0.0768	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0566	-10.1442	6	1.6	0.0231	1.0924	-1451.8934	-1451.8934	1	10	-493.9375	0.0185	16	-1945.8309	0.0556	1392	16	25	25	100.0	55.68	36.9367	4040.0953	0.4443	9786.9452	0.9713	46	0.7419	16	36	3.5556	7	1.7778	1.7778	1.0	1.0	1.0435	1.0435	5	5	1	1	3	3	1781.4708	1.0	1.0	0.603	0.4523	0.0858	0.5861	0.9434		0.9996	0.9996	0.9996	0.9996	0.0725	0.0751	0.0695	0.0713
