EVENT_LOG	DISCOVERY_ALG	PRECISION	FITNESS	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	variant_entropy	variant_entropy_norm	sequence_entropy	sequence_entropy_norm	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	TIME_MARKOV	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	0.8311	0.4869	0.4058	0.8368	0.5712	1870.0	0.0225	0.0036	0.8475	0.9406	-8	0.3333	0.0	1.0	1278.6303	1278.6303	2.7576	12	-1641.4798	0.0066	4	-362.8495	0.0182	2637	21	36	36	100.0	73.25	70.8444	8111.6459	0.43	20158.0393	0.9704	17	0.1141	132	139	2.1439	3	1.0719	1.0719	1.0	1.0	1.0	1.0	2	2	1	1	1	1	2.0208	0.882	0.3739	0.9738	0.9773	0.8576	0.75	0.8233	0.5338	0.4908	0.5821	0.601	0.8509	0.8609	0.88	0.8729
edited_hh104_labour	IMd	0.0675	0.996	0.9886	0.9963	0.9945	4505.3333	0.0273	0.0	0.0108	-11.9325	4	1.2857	-0.2429	0.5142	-59609.1448	-59609.1448	0.4833	14	-2252.7923	0.006	18	-61861.9371	0.0029	4200	19	43	43	100.0	97.6744	63.5548	13528.5253	0.4564	33443.6585	0.9544	39	0.6724	19	33	3.5758	11	1.7879	1.7879	1.0	1.0	1.0256	1.0256	9	9	1	1	2	2	1848.0513	0.9981	0.977	0.8267	0.6839	0.0153	0.9294	0.9892	0.9959	0.9937	0.9997	0.9957	0.0643	0.0644	0.0618	0.0618
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.3818	0.4891	0.2194	0.6287	0.2517	941.5	0.0141	0.0	0.2065	0.4339	-3	0.7	-0.2222	0.5556	1280.8532	1280.8532	6.6316	10	-1597.6904	0.0057	7	-316.8372	0.0378	704	27	58	53	91.3793	12.1379	13.5136	1898.1845	0.5722	4120.9052	0.9167	9	0.5294	8	13	2.7692	4	1.3846	1.3846	1.125	1.0	1.0	1.1111	3	3	2	1	1	2	0.0875	0.4489	0.1653	0.859	0.8696	0.221	0.8576	0.9053	0.4895	0.618	0.4626	0.603	0.0	0.3409	0.0	0.3448
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.164	0.4088	0.1622	0.6116	0.1856	941.5	0.0141	0.0	0.0312	0.2449	-3	0.7	-0.2273	0.5454	93.729	93.729	2.8947	10	-1597.6904	0.0057	7	-1503.9614	0.0165	704	27	58	53	91.3793	12.1379	13.5136	1898.1845	0.5722	4120.9052	0.9167	13	0.5652	10	16	3.0	7	1.5	1.5	1.0	1.0	1.0769	1.0769	3	4	1	1	2	2	554.1512	0.4149	0.2066	0.6787	0.5	0.0491	0.9187	0.9751	0.4274	0.5347	0.3799	0.5444	0.0	0.1535	0.0	0.177
activitylog_uci_detailed_labour	IMf	0.3347	0.7842	0.5751	0.8541	0.6326	240.0	0.0044	0.0	0.0963	-1.6953	-1	0.875	0.4907	53.7634	-951.0548	-951.0548	1.9481	8	-1298.8761	0.0077	7	-2249.9309	0.015	1392	16	25	25	100.0	55.68	36.9367	4040.0953	0.4443	9786.9452	0.9713	43	0.7679	13	39	3.0256	4	1.5128	1.5128	1.0	1.0	1.0698	1.0698	3	3	1	1	3	3	2450.1329	0.823	0.5321	0.951	0.9206	0.1049	0.7621	0.9124	0.7599	0.7755	0.7461	0.7594	0.2535	0.3083	0.2105	0.2288
activitylog_uci_detailed_labour	ETM	0.9905	0.5943	0.3298	0.7716	0.501	1849.0	0.0336	0.0	0.835	0.908	-4	0.5	0.4907	53.7634	909.8094	909.8094	2.1169	8	-1298.8761	0.0077	4	-389.0667	0.0163	1392	16	25	25	100.0	55.68	36.9367	4040.0953	0.4443	9786.9452	0.9713	10	0.0962	94	100	2.24	11	1.12	1.12	1.0	1.0	1.8	1.8	6	5	1	1	3	3	0.4635	0.8537	0.422	1.0	1.0	0.8529	0.7037	0.8037	0.6375	0.5772	0.6758	0.5762	0.9848	0.9091	0.9737	0.9688
activitylog_uci_detailed_weekends	IMf	0.2893	0.7513	0.5141	0.7587	0.5695	1332.0	0.0573	0.0	0.0903	-1.0502	0	1.0	0.5	-1.0	-420.6523	-420.6523	1.9406	6	-807.381	0.0101	6	-1228.0333	0.0196	488	15	10	10	100.0	48.8	35.0	1000.2578	0.3667	2940.3212	0.9733	34	0.7556	11	29	3.1034	5	1.5517	1.5517	1.0	1.0	1.0	1.0	3	3	1	1	1	1	11.4997	0.749	0.5128	0.8498	0.8163	0.0966	0.7607	0.918	0.717	0.7527	0.6914	0.8687	0.2152	0.2549	0.1739	0.24
activitylog_uci_detailed_weekends	ETM	0.9773	0.6348	0.3197	0.6293	0.3552	30.0	0.0013	0.0	0.6111	0.8803	-3	0.5	0.5	-1.0	510.7057	510.7057	1.9505	6	-807.381	0.0101	3	-296.6753	0.0197	488	15	10	10	100.0	48.8	35.0	1000.2578	0.3667	2940.3212	0.9733	6	0.0896	61	66	2.0606	3	1.0303	1.0303	1.0	1.0	1.1667	1.1667	2	2	1	1	2	2	0.1287	0.7615	0.4744	0.9332	0.9268	0.6342	0.7186	0.8333	0.6742	0.6322	0.5825	0.6	0.9655	0.9412	0.6667	0.6667
edited_hh102_labour	IMd	0.0718	0.9951	0.9892	0.9917	0.9876	985.0	0.0222	0.0	0.0055	-12.3367	9	2.125	0.2581	-1.0	-47592.0741	-47592.0741	0.4	8	-1120.9141	0.0085	17	-48712.9882	0.0034	1152	18	18	18	100.0	64.0	38.6797	2832.6121	0.4158	7693.1463	0.9473	7	0.2917	17	8	6.0	17	3.0	3.0	1.0	1.0	1.0	1.0	15	15	1	1	1	1	230.1544	0.9921	0.9587	0.5766	0.4514	0.008	0.9543	0.9945	0.9965	0.993	0.9999	0.9925	0.0683	0.0683	0.0653	0.0652
VITORIA_-_5a_VARA_CIVEL_-_TJES	ETM	0.8603	-1.0	0.2379	0.832	0.3175	8894.699	0.0075	0.0005	0.9545	0.9956	-19	0.1364	0.0	1.0	7807.7765	7807.7765	13.1429	22	-8025.1855	0.0021	3	-217.409	0.0276	13546	42	206	206	100.0	65.7573	60.7943	64029.6347	0.5428	126011.4812	0.9778	13	0.1646	66	72	2.1944	3	1.0972	1.0972	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.568	0.7885	0.08	0.9766	0.96	0.9612	0.9498	0.966	-1.0	0.5886	0.6008	0.5893	0.4221	0.8418	0.0	0.8382
