	event_log	total_time
0	Production_Data.xes.gz	0.0473
1	4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	0.014
2	edited_hh104_labour.xes.gz	0.0188
3	3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	0.0061
4	activitylog_uci_detailed_labour.xes.gz	0.0064
5	activitylog_uci_detailed_weekends.xes.gz	0.0033
6	edited_hh102_labour.xes.gz	0.0062
7	VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	0.121
8	Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	0.0155
9	3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.0052
10	PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.0353
11	BPI_Challenge_2014_Control summary.xes.gz	0.2809
12	8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	0.2479
13	BPI_Challenge_2014_Department control parcels.xes.gz	0.1351
14	ElectronicInvoicingENG.xes.gz	0.1664
15	4a_VARA_CIVEL_-_TJGO.xes	0.0055
16	VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	0.0209
17	BPI_Challenge_2014_Entitlement application.xes.gz	0.4722
18	BPI_Challenge_2014_Inspection.xes.gz	0.5678
19	BPI_Challenge_2014_Geo parcel document.xes.gz	1.2648
20	BPI_Challenge_2012.xes.gz	0.6998
21	edited_hh110_weekends.xes.gz	0.0042
22	3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	0.0145
23	BPI_Challenge_2020_InternationalDeclarations.xes.gz	0.0877
24	DocumentProcessingENG.xes.gz	0.1731
25	edited_hh110_labour.xes.gz	0.0077
26	1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	0.0147
27	QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.0448
28	edited_hh104_weekends.xes.gz	0.0104
29	1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	0.0284
30	2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	0.0299
31	VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	0.0107
32	BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.0247
33	JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	0.0116
34	BPI_Challenge_2014_Reference alignment.xes.gz	0.2638
35	Hospital Billing - Event Log.xes.gz	0.5073
36	COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	0.053
37	Road_Traffic_Fine_Management_Process.xes.gz	0.576
38	BPI_Challenge_2020_PermitLog.xes.gz	0.1618
39	BPI_Challenge_2019_log_IEEE.xes.gz	2.3607
40	SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	0.1019
41	Sepsis Cases - Event Log.xes.gz	0.0598
42	4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	0.1817
43	BPI_Challenge_2013_open_problems.xes.gz	0.0114
44	BPI_Challenge_2013_incidents.xes.gz	0.1616
45	BPI Challenge 2017.xes.gz	2.8048
46	BPI_Challenge_2020_DomesticDeclarations.xes.gz	0.0621
47	5a_VARA_CIVEL_-_TJMT.xes	0.0077
48	VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	0.0137
