event_log,algorithm,precision_alignment,fitness_alignment,precision_time,fitness_time,total_variants_log
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes,IMf,0.322,0.7888,280.6042,861.2144,206
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz,IMf,0.3763,0.869,7.07,45.6772,116
Production_Data.xes.gz,IMf,0.3595,0.627,172.5033,4254.3364,221
activitylog_uci_detailed_weekends.xes.gz,IMf,0.2893,0.7513,2.1302,5.8441,10
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,IMf,0.3027,0.6655,0.5268,2.096,33
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes,IMf,0.2203,0.8834,23.846,69.6757,36
edited_hh104_labour.xes.gz,IMf,0.3136,0.4603,46.7063,3364.8103,43
activitylog_uci_detailed_labour.xes.gz,IMf,0.3347,0.7842,19.3401,261.446,25
edited_hh102_labour.xes.gz,IMf,0.2609,0.7831,6.5025,98.0555,18
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes,IMf,0.3818,0.4891,0.8812,1.3884,53
BPI_Challenge_2014_Department control parcels.xes.gz,IMf,0.9914,0.7241,2.3082,2.5371,349
BPI_Challenge_2014_Control summary.xes.gz,IMf,0.9391,0.8945,1.3325,1.0106,59
4a_VARA_CIVEL_-_TJGO.xes,IMf,0.7556,0.7447,0.4524,1.5615,98
BPI_Challenge_2014_Geo parcel document.xes.gz,IMf,0.3713,-1,1579.1057,7200.2576,9274
BPI_Challenge_2014_Entitlement application.xes.gz,IMf,0.3273,0.9918,408.849,876.865,2553
BPI_Challenge_2014_Inspection.xes.gz,IMf,0.671,-1,1128.3003,7200.1661,3190
ElectronicInvoicingENG.xes.gz,IMf,0.5691,0.9328,1.3813,0.6759,7
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMf,0.7168,0.5251,165.7011,3339.8081,47
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes,IMf,0.3709,0.8075,23.2483,38.3527,112
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes,IMf,-1,-1,7200.4639,7200.1455,495
BPI_Challenge_2012.xes.gz,IMf,0.3754,-1,439.7015,7200.1334,4366
edited_hh110_weekends.xes.gz,IMf,0.1508,0.9188,20.5197,134.4724,6
DocumentProcessingENG.xes.gz,IMf,0.5438,0.8455,1.143,0.5229,3
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,IMf,0.1697,-1,248.5845,7200.3533,35
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,IMf,0.1315,0.9369,23.225,163.1421,28
BPI_Challenge_2020_InternationalDeclarations.xes.gz,IMf,0.2038,0.9272,17.5338,38.5866,753
edited_hh104_weekends.xes.gz,IMf,0.2199,0.675,30.7968,345.1979,18
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes,IMf,0.4786,0.7214,151.7359,443.5373,128
edited_hh110_labour.xes.gz,IMf,0.256,0.7628,17.3187,219.8384,21
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMf,0.5623,0.7536,87.637,346.8051,52
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes,IMf,0.1764,0.909,24.4379,482.457,25
BPI_Challenge_2020_PrepaidTravelCost.xes.gz,IMf,0.4029,0.8486,3.2804,24.0668,202
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes,IMf,0.4487,0.5886,36.6519,346.5098,395
BPI_Challenge_2020_PermitLog.xes.gz,IMf,-1,-1,7200.154,7200.1954,1478
BPI_Challenge_2019_log_IEEE.xes.gz,IMf,0.7339,-1,6817.898,7200.3151,11973
