EVENT_LOG	DISCOVERY_ALG	ALIGN	PROP2	PROP	BL	FREQ_50	FREQ_25	TIME_ALIGN	TIME_PROP2	TIME_PROP	TIME_BL	TIME_FREQ_50	TIME_FREQ_25
Production_Data	IMf	0.627	0.627	0.7391	0.8004	0.5787	0.5519	4254.3364	57.48	36.47	0.98	1539.9538	885.7782
Production_Data	IMd	0.9209999999999999	0.9209999999999999	0.9167	0.9231	0.9548	0.9273	90.9538	5.91	6.39	0.31	36.727	30.5207
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMf	0.8834	0.8834	0.8834	0.8834	0.8577	0.8554	69.6757	0.26	0.27	0.08	49.6593	36.2823
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMd	0.978	0.978	0.9790000000000001	0.9795	0.9774	0.978	85.5524	2.45	2.75	1.93	68.4985	48.4231
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	0.4869	0.4405	0.4405	0.8492	0.5338	0.5821	6859.6614	10.16	10.39	1.88	5874.3766	4315.5361
edited_hh104_labour	IMf	0.4603	0.4603	0.5961	0.6177	0.4472	0.4518	3364.8103	13.05	11.66	1.08	1758.8077	877.0541
edited_hh104_labour	IMd	0.996	0.996	0.998	0.998	0.9959	0.9997	62.2113	2.18	4.44	1.22	39.9247	18.6285
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.4891	0.4891	0.4891	0.496	0.4895	0.4626	1.3884	0.32	0.3	0.06	0.3016	0.1952
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.4088	0.4088	0.4088	0.4385	0.4274	0.3799	1.5886	0.19	0.19	0.06	0.8614	0.5697
activitylog_uci_detailed_labour	IMf	0.7842	0.7842	0.7997	0.8019	0.7599	0.7461	261.44599999999997	0.85	1.69	0.55	147.0554	83.6049
activitylog_uci_detailed_labour	IMd	1.0	1.0	1.0	1.0	0.9996	0.9996	15.6402	1.38	2.42	1.48	10.1689	5.6615
activitylog_uci_detailed_labour	ETM	0.5943	0.5449	0.5449	0.8518	0.6375	0.6758	279.8459	3.13	3.45	0.95	138.2739	58.7806
activitylog_uci_detailed_weekends	IMf	0.7513	0.7513	0.7555	0.7555	0.717	0.6914	5.8441	0.14	0.2	0.07	3.0411	0.9198
activitylog_uci_detailed_weekends	IMd	1.0	1.0	1.0	1.0	0.9997	0.9997	5.0338	0.38	0.62	0.36	2.9791	1.0071
activitylog_uci_detailed_weekends	ETM	0.6348	0.6123	0.6123	0.7732	0.6742	0.5825	24.6431	0.72	0.9	0.36	10.0891	4.5315
edited_hh102_labour	IMf	0.7831	0.7831	0.7854	0.7912	0.7899	0.8019	98.0555	0.61	0.76	0.17	50.1314	23.236
edited_hh102_labour	IMd	0.9951	0.9951	0.9951	0.9951	0.9965	0.9999	0.9186	0.21	0.25	0.05	0.4646	0.1594
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMf	0.7888	0.7888	0.7953	0.8189	0.8136	0.8457	861.2144	7.42	11.32	0.35	451.6936	320.8275
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMd	0.9965	0.9965	0.9965	0.9965	0.9959	0.9973	257.1022	6.1	7.36	0.29	194.5566	145.7806
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project	IMd	0.9434	0.9434	0.9436	0.981	0.9429	0.9496	6.58	0.94	1.33	0.23	3.241	0.9093
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	0.6655	0.6655	0.6712	0.6712	0.6628	0.6593	2.096	0.11	0.13	0.07	1.0049	0.5084
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.9988	0.9988	0.9988	0.9988	0.9999	0.9999	0.1975	0.08	0.08	0.05	0.0835	0.0453
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.9615	0.9615	0.9616	0.9917	0.972	0.9805	0.5237	0.07	0.08	0.05	0.1188	0.0611
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.5251	0.5251	0.6789	0.6802	0.5126	0.5087	3339.8081	1.09	0.8	0.15	2527.5089	2088.6739
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	0.95	0.95	0.95	0.9506	0.9239	0.9163	1386.1078	1.62	1.73	0.14	1331.0536	1105.9039
BPI_Challenge_2014_Control summary	IMf	0.8945	0.8945	0.8945	0.8945	0.9034	0.9023	1.0106	0.38	0.44	0.4	0.4395	0.321
BPI_Challenge_2014_Control summary	IMd	0.8963	0.8963	0.8963	0.8963	0.9052	0.9042	0.9654	0.37	0.41	0.4	0.3857	0.2954
BPI_Challenge_2014_Control summary	ETM	0.9975	0.9975	0.9975	0.9975	0.9973	0.9975	1.5682	0.4	0.48	0.42	0.5553	0.3545
BPI_Challenge_2014_Department control parcels	IMf	0.7241	0.7241	0.7241	0.7241	0.7627	0.7602	2.5371	0.26	0.29	0.26	1.0184	0.4738
BPI_Challenge_2014_Department control parcels	IMd	0.9999	0.9999	0.9999	0.9999	0.9997	0.9997	4.2575	0.28	0.31	0.28	1.9264	0.834
BPI_Challenge_2014_Department control parcels	ETM	0.9928	0.9928	0.9928	0.9993	0.9896	0.99	2.8594	0.31	0.36	0.28	1.0976	0.4938
ElectronicInvoicingENG	IMf	0.9328	0.9328	0.9328	0.9328	0.9467	0.9999	0.6759	0.34	0.39	0.38	0.2287	0.1236
ElectronicInvoicingENG	IMd	0.9766	0.9766	0.9766	0.9766	0.9819	0.9999	0.7321	0.33	0.42	0.36	0.2489	0.1312
ElectronicInvoicingENG	ETM	0.9238	0.9238	0.9238	0.9418	0.9392	1.0	0.7109	0.34	0.46	0.39	0.2261	0.1209
4a_VARA_CIVEL_-_TJGO	IMf	0.7447	0.7447	0.7447	0.8146	0.7012	0.7097	1.5615	0.18	0.2	0.19	0.636	0.2829
