EVENT_LOG	DISCOVERY_ALG	Proposta	Baseline	Freq 50%	Freq 25%
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	0.0465	0.36239999999999994	0.047000000000000056	0.09529999999999995
activitylog_uci_detailed_labour	ETM	0.0495	0.25759999999999994	0.04329999999999991	0.08159999999999991
activitylog_uci_detailed_weekends	ETM	0.022600000000000075	0.13849999999999996	0.03949999999999999	0.052400000000000016
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.0001	0.030300000000000004	0.010599999999999953	0.019100000000000016
BPI_Challenge_2014_Control summary	ETM	0.0001	0.0001	0.000300000000000089	0.0001
BPI_Challenge_2014_Department control parcels	ETM	0.0001	0.0065999999999999505	0.0032999999999999805	0.0029000000000000245
ElectronicInvoicingENG	ETM	0.0001	0.018100000000000015	0.01550000000000008	0.07630000000000005
4a_VARA_CIVEL_-_TJGO	ETM	0.0001	0.06730000000000004	0.02079999999999994	0.02100000000000003
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	ETM	0.04230000000000002	0.17259999999999998	0.01670000000000006	0.011900000000000032
BPI_Challenge_2014_Entitlement application	ETM	0.007799999999999929	0.02210000000000002	0.008199999999999995	0.020400000000000095
BPI_Challenge_2014_Geo parcel document	ETM	0.000600000000000056	0.018999999999999916	0.023699999999999954	0.04719999999999992
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	0.06839999999999997	0.21640000000000004	0.014100000000000012	0.08559999999999997
BPI_Challenge_2020_InternationalDeclarations	ETM	0.000800000000000034	0.014399999999999979	0.011599999999999954	0.016999999999999914
DocumentProcessingENG	ETM	0.0001	0.03879999999999996	0.14280000000000004	0.14280000000000004
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	0.07799999999999997	0.2785000000000001	0.0071999999999999955	0.0031999999999999915
edited_hh104_weekends	ETM	0.02760000000000008	0.14489999999999992	0.009400000000000085	0.014399999999999979
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	ETM	0.04529999999999991	0.2178000000000001	0.03190000000000005	0.016699999999999948
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	ETM	0.06540000000000003	0.1279	0.004700000000000049	0.021399999999999985
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	ETM	0.04559999999999999	0.1652	0.0142	0.06450000000000002
BPI_Challenge_2020_PrepaidTravelCost	ETM	0.0001	0.00029999999999997796	0.015600000000000069	0.025900000000000045
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	ETM	0.015600000000000013	0.12779999999999997	0.058399999999999966	0.006600000000000006
BPI_Challenge_2014_Reference alignment	ETM	0.000900000000000023	0.016000000000000025	0.0067000000000000505	0.0065000000000000726
Hospital Billing - Event Log	ETM	0.0001	0.011499999999999965	0.008499999999999962	0.004100000000000004
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	ETM	0.05430000000000003	0.10929999999999997	0.02299999999999992	0.061099999999999946
Road_Traffic_Fine_Management_Process	ETM	0.0001	0.0001	0.03080000000000006	0.031000000000000038
BPI_Challenge_2020_PermitLog	ETM	0.03889999999999995	0.011199999999999998	0.01649999999999997	0.029300000000000003
BPI_Challenge_2019_log_IEEE	ETM	0.0001	0.0018999999999999128	0.0071999999999999955	0.02069999999999995
Sepsis Cases - Event Log	ETM	0.013299999999999989	0.07540000000000004	0.0025999999999999465	0.047200000000000034
BPI_Challenge_2020_DomesticDeclarations	ETM	0.0001	0.001299999999999979	0.008499999999999962	0.01100000000000002
5a_VARA_CIVEL_-_TJMT	ETM	0.030500000000000037	0.16769999999999996	0.04220000000000003	0.007699999999999996
