EVENT_LOG	DISCOVERY_ALG	Proposta	Baseline	Freq 50%	Freq 25%
Production_Data	IMd	0.0001	0.0021999999999999906	0.033899999999999944	0.0063999999999999726
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMd	0.0001	0.0016000000000000569	0.000699999999999934	0.0001
edited_hh104_labour	IMd	0.0001	0.0021000000000000016	0.00019999999999998898	0.0038000000000000364
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.0001	0.029800000000000004	0.018700000000000005	0.02899999999999998
activitylog_uci_detailed_labour	IMd	0.0001	0.0001	0.000499999999999956	0.000499999999999956
activitylog_uci_detailed_weekends	IMd	0.0001	0.0001	0.00039999999999996695	0.00039999999999996695
edited_hh102_labour	IMd	0.0001	0.0001	0.001500000000000068	0.004900000000000027
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMd	0.0001	0.0001	0.000700000000000045	0.0008999999999999119
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project	IMd	0.0001	0.03769999999999997	0.000600000000000056	0.0062999999999999836
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.0001	0.0001	0.00119999999999999	0.00119999999999999
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	0.0001	0.000700000000000045	0.0261999999999999	0.033799999999999955
BPI_Challenge_2014_Control summary	IMd	0.0001	0.0001	0.009000000000000018	0.008000000000000018
BPI_Challenge_2014_Department control parcels	IMd	0.0001	0.0001	0.00029999999999997796	0.00029999999999997796
ElectronicInvoicingENG	IMd	0.0001	0.0001	0.005399999999999972	0.023399999999999987
4a_VARA_CIVEL_-_TJGO	IMd	0.0001	0.5164	0.04440000000000001	0.009500000000000019
BPI_Challenge_2014_Entitlement application	IMd	0.0001	0.015699999999999947	0.0036000000000000584	0.005199999999999994
BPI_Challenge_2014_Inspection	IMd	0.0001	0.01639999999999998	0.012299999999999988	0.04869999999999998
BPI_Challenge_2014_Geo parcel document	IMd	0.0001	0.0001	0.000700000000000045	0.001000000000000012
BPI_Challenge_2012	IMd	0.0001	0.08649999999999992	0.05989999999999997	0.025499999999999978
edited_hh110_weekends	IMd	0.0001	0.000800000000000034	0.0038000000000000364	0.018399999999999982
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.0001	0.05750000000000001	0.014800000000000046	0.012800000000000044
BPI_Challenge_2020_InternationalDeclarations	IMd	0.0001	0.03630000000000001	0.010599999999999953	0.009499999999999963
DocumentProcessingENG	IMd	0.0001	0.0001	0.0858	0.0858
edited_hh110_labour	IMd	0.0001	0.0001	0.00029999999999997796	0.0018000000000000349
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.0001	0.0001	0.004399999999999971	0.015899999999999925
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	0.0001	0.00019999999999998898	0.0028000000000000355	0.000600000000000056
edited_hh104_weekends	IMd	0.0001	0.000300000000000089	0.0071999999999999955	0.0017000000000000459
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMd	0.0001	0.000400000000000078	0.0016999999999999349	0.0028000000000000355
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMd	0.0001	0.0027000000000000465	0.005999999999999906	0.01429999999999999
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	IMd	0.0001	0.0074000000000000845	0.010499999999999964	0.011899999999999921
BPI_Challenge_2020_PrepaidTravelCost	IMd	0.00019999999999998898	0.15659999999999996	0.009100000000000007	0.015499999999999969
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMd	0.0001	0.016899999999999925	0.01550000000000008	0.01640000000000009
BPI_Challenge_2014_Reference alignment	IMd	0.0001	0.0001	0.020100000000000017	0.01869999999999995
Hospital Billing - Event Log	IMd	0.0001	0.0001	0.0024999999999999576	0.00019999999999998898
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMd	0.0001	0.0001	0.001399999999999968	0.0001
Road_Traffic_Fine_Management_Process	IMd	0.0001	0.21529999999999994	0.023800000000000054	0.02420000000000001
BPI_Challenge_2020_PermitLog	IMd	0.0001	0.025900000000000045	0.000499999999999956	0.000800000000000034
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMd	0.0001	0.08809999999999997	0.0034999999999999584	0.015800000000000047
Sepsis Cases - Event Log	IMd	0.0001	0.22619999999999996	0.005199999999999994	0.004700000000000049
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE	IMd	0.0001	0.0616	0.015600000000000069	0.028300000000000002
BPI_Challenge_2013_open_problems	IMd	0.0001	0.0001	0.000499999999999956	0.000499999999999956
BPI_Challenge_2013_incidents	IMd	0.0001	0.0001	0.00039999999999996695	0.00039999999999996695
BPI_Challenge_2020_DomesticDeclarations	IMd	0.0001	0.0026000000000000576	0.00029999999999997796	0.001000000000000012
5a_VARA_CIVEL_-_TJMT	IMd	0.0001	0.10160000000000004	0.1789	0.15349999999999997
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMd	0.0001	0.0064999999999999615	0.004699999999999938	0.02400000000000003
