EVENT_LOG	DISCOVERY_ALG	Proposta	Baseline	Freq 50%	Freq 25%
Production_Data	IMf	0.0001	0.1735	0.04840000000000001	0.07520000000000006
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMf	0.0001	0.0001	0.025799999999999945	0.028099999999999913
edited_hh104_labour	IMf	0.0001	0.15750000000000003	0.0132	0.008600000000000007
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.0001	0.0070000000000000175	0.0005000000000000115	0.026599999999999967
activitylog_uci_detailed_labour	IMf	0.0001	0.017799999999999937	0.024399999999999988	0.038200000000000026
activitylog_uci_detailed_weekends	IMf	0.0001	0.004299999999999982	0.0344	0.059999999999999956
edited_hh102_labour	IMf	0.0001	0.008199999999999995	0.0069000000000000285	0.018899999999999927
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMf	0.0001	0.030200000000000015	0.024900000000000044	0.057000000000000065
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	0.0001	0.005800000000000039	0.0028000000000000355	0.0062999999999999836
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.0001	0.1552	0.012600000000000066	0.01649999999999997
BPI_Challenge_2014_Control summary	IMf	0.0001	0.0001	0.009000000000000018	0.007900000000000029
BPI_Challenge_2014_Department control parcels	IMf	0.0001	0.0001	0.03870000000000008	0.036200000000000024
ElectronicInvoicingENG	IMf	0.0001	0.0001	0.014000000000000023	0.06720000000000005
4a_VARA_CIVEL_-_TJGO	IMf	0.0001	0.06999999999999997	0.043599999999999986	0.035100000000000034
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMf	0.0001	0.0001	0.01210000000000001	0.036100000000000035
BPI_Challenge_2014_Entitlement application	IMf	0.0001	0.005499999999999961	0.000599999999999945	0.0032999999999999805
edited_hh110_weekends	IMf	0.0001	0.04010000000000004	0.011899999999999921	0.02509999999999991
BPI_Challenge_2020_InternationalDeclarations	IMf	0.0001	0.00019999999999998898	0.009000000000000018	0.013000000000000022
DocumentProcessingENG	IMf	0.0001	0.0001	0.15449999999999997	0.15449999999999997
edited_hh110_labour	IMf	0.0001	0.016999999999999914	0.01529999999999999	0.01210000000000001
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMf	0.0001	0.000999999999999901	0.0074000000000000845	0.030300000000000004
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.0001	0.0063999999999999726	0.0036999999999999364	0.004699999999999938
edited_hh104_weekends	IMf	0.0001	0.012899999999999922	0.034900000000000056	0.0022999999999999796
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMf	0.0001	0.0069999999999999065	0.036099999999999924	0.008299999999999984
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMf	0.0001	0.0001	0.011699999999999943	0.027000000000000034
BPI_Challenge_2020_PrepaidTravelCost	IMf	0.0001	0.09209999999999997	0.01739999999999998	0.02520000000000001
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMf	0.0001	0.0026000000000000576	0.025699999999999956	0.04859999999999999
BPI_Challenge_2014_Reference alignment	IMf	0.0001	0.0001	0.019999999999999917	0.01869999999999995
Hospital Billing - Event Log	IMf	0.0001	0.0017000000000000459	0.0556	0.057000000000000065
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMf	0.0001	0.2974999999999999	0.0018000000000000349	0.009299999999999985
Road_Traffic_Fine_Management_Process	IMf	0.0001	0.12839999999999996	0.04400000000000005	0.043699999999999975
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMf	0.0001	0.005199999999999994	0.012900000000000033	0.0076000000000000624
Sepsis Cases - Event Log	IMf	0.0001	0.011199999999999998	0.0037000000000000474	0.0075000000000000734
BPI_Challenge_2013_open_problems	IMf	0.0001	0.0001	0.0016000000000000569	0.0066000000000000615
BPI_Challenge_2013_incidents	IMf	0.0001	0.03989999999999995	0.036200000000000024	0.014499999999999968
BPI_Challenge_2020_DomesticDeclarations	IMf	0.0001	0.0001	0.0034999999999999584	0.005399999999999972
5a_VARA_CIVEL_-_TJMT	IMf	0.0001	0.06509999999999995	0.21839999999999998	0.1886
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMf	0.0001	0.0001	0.01629999999999999	0.04410000000000004
