	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	ABS_MEAN_DEGREE	ABS_MEAN_DEGREE_DIV	ABS_NODE_LINK_RATIO	ABS_NODE_LINK_RATIO_DIV	ABS_LINK_DENSITY	ABS_MEAN_CLUST	ABS_MEAN_CLUST_DIV	ABS_MAX_BTW	ABS_MAX_BTW_DIV	ABS_MEAN_BTW	ABS_MEAN_BTW_DIV	ABS_BTW_ENTROPY	ABS_BTW_ENTROPY_DIV	ABS_BTW_ENTROPY_NORM	ABS_BTW_ENTROPY_NORM_DIV	ABS_DFT_ENTROPY	ABS_DFT_ENTROPY_DIV	ABS_CC_ENTROPY	ABS_CC_ENTROPY_DIV	ABS_CC_ENTROPY_NORM	ABS_DEGREE_ASSORT	ABS_DEGREE_ASSORT_DIV	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	variant_entropy	variant_entropy_norm	sequence_entropy	sequence_entropy_norm	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	ALIGNMENTS_MARKOV_2_K1	ALIGNMENTS_MARKOV_1_K1	ALIGNMENTS_MARKOV_3_K1	ALIGNMENTS_MARKOV_4_K1	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND	ABS_LOG_NODE_LINK_RATIO	ABS_LOG_MAX_CLUST_COEF	ABS_LOG_MEAN_CLUST_COEF	ABS_LOG_MAX_BTW	ABS_LOG_MEAN_BTW	ABS_LOG_BTW_ENTROPY	ABS_LOG_BTW_ENTROPY_NORM	ABS_LOG_DFT_ENTROPY	ABS_LOG_CC_ENTROPY	ABS_LOG_CC_ENTROPY_NORM	ABS_LOG_DEGREE_ASSORT	DISCOVERY_ALG	PRECISION	FITNESS	TIME_MARKOV
FITNESS	0.8728239765961091	0.49342703731517235	0.7647818436807473	0.043176786658864104	0.3531230482808097	0.05271702497650114	0.028996302338170694	0.19254867583802315	0.25336653596676106	0.27840969862220133	0.25178851776022565	0.17789117944688024	0.3341208438107278	0.3341208438107278	0.14158439379158716	0.2491822540110903	0.2474388384596795	0.07871259235707785	0.05817122831115442	0.1693993208718453	0.06175893365679899	0.30340436864780085	0.2747130222676718	0.24461223632442214	0.3664776180572835	0.05071663749660648	0.26208191863881974	0.2334929695784186	0.06564231402386725	0.14212668141979073	0.1819350399441708	0.3559199500002507	0.21444349189781658	0.05298407833068939	0.2769002107105588	0.05298407833068939	0.3947252431723482	0.405317146199679				0.2885541983974055	0.3154306454045613	0.30979915724665796	0.2572283334929091	0.18662333604406287	0.19796676036354996	0.40189825454568384	0.3531109999314891	0.37398112188347016	0.017628120688089437	0.17274644468983522	0.014877734832366046	0.3635314117711766	0.37982822820989437	0.4056912857439309	0.07375278386651406	0.3663101974518678	0.2457031857234426	0.1684355550418967	0.24568199184859346	0.24568199184859346	0.4013867706234538	0.023899442586807502	0.05155313707189121	0.17545143534881893	0.17503774031714556	0.10662842982709117	0.4013867706234538	0.023899442586807502	0.019137975257639876	0.15662740106692413	0.7393160504132571	0.5477518165427797	0.12051160982531166	0.04783525036484687	0.1278865002050233	0.37649404955099025	0.4963616320731318	0.6500017399571347	0.6316430968780643	0.5869551679787428	0.4255769055421002	0.9627085776171568	0.8681805336512134	0.9576080842298746	0.8286882803448946	0.26862614381086924	0.07434672488718688	0.2865330223226873	0.11921086341752862	0.2744696988019919	0.19857494348303345	0.18590577584798193	0.03184246807319183	0.25898070678876656	0.1697013842235879	0.21543177730489188	0.23558874783366832			0.19026716336764568		0.022099899304086866	1.0	0.037134832246432346
FITNESS_50_FREQ	0.8406451676869634	0.6057280638883324	0.8048368005173867	0.053590292269900905	0.3529148010316186	0.014982538318657335	0.05723347810958618	0.12613610391695404	0.2399003891000551	0.25806732942775606	0.2344271683841392	0.11079484301462056	0.3792945532142423	0.3792945532142423	0.24470226700707695	0.2819797958411062	0.29344230423356	0.11877654930708942	0.02607219951202874	0.15564018092766282	0.012889804673093554	0.2188176231147487	0.18825501386777493	0.15039138973738503	0.27596762855200363	0.14404272459779036	0.16168733593891563	0.13275845063642455	0.019066216404208945	0.11296512400118314	0.10429547829667818	0.3095519891308082	0.2262066664999645	0.06004790637428675	0.30155538084425837	0.06004790637428675	0.4494366039866414	0.47255733929820376				0.24386614132470885	0.27257209228361534	0.4118504806455688	0.30961253491624996	0.27834913910162623	0.2367679896393786	0.491124852425217	0.3699215722166663	0.3950515689280719	0.04613460233104677	0.19177534213723213	0.05063595887761795	0.4265688812691229	0.4061297638240074	0.41309915151815596	0.031491471816279155	0.3933931731453789	0.19014085813578072	0.10588024922123815	0.19012104698538546	0.19012104698538546	0.4828324160431354	0.051714462994832164	0.0963574409375083	0.2355213662015917	0.11396348958944771	0.05868562411346578	0.4828324160431354	0.051714462994832164	0.014182355828489973	0.20875251380257473	0.7906840133660432	0.5623735411301978	0.05719442699421179	0.034650866580296175	0.06089887563308584	0.42476324808764104	0.5460438577868346	0.6160890171488291	0.6095144249613776	0.5773851378205324	0.4688760082730068	1.0	0.8168836764811803	0.9936968211173487	0.7888594645439313	0.3563187846225604	0.16836627161569104	0.36594194640842853	0.2091605503598337	0.3445558210094244	0.299216297467827	0.2252664080229153	0.006463301954147365	0.3577374875079189	0.18420021065983877	0.25107005803875676	0.3060746130722416			0.2640121175545684		0.12387190281882852	0.9627085776171568	0.17384743038836842
FITNESS_25_FREQ	0.8444488460984282	0.6028493270527079	0.8102167442189524	0.05550307915011931	0.3796479498457718	0.00841616500179243	0.07702233498964388	0.10969812772141303	0.23983336374727027	0.2561253603593989	0.23912915925623565	0.10199586701485905	0.39645042816599063	0.39645042816599063	0.2638159688130207	0.2918784562072818	0.3161834330190605	0.12271476693696713	0.04288537373748996	0.14318598105012353	0.029108764633039148	0.1996113592420653	0.17336262590761345	0.13722295066587392	0.2613745281227572	0.16359752916212744	0.15284770475525328	0.11778321232047702	0.024040137678012018	0.09816980290357377	0.08861396414353163	0.3091325853083999	0.2313847884099758	0.0521405477070674	0.31089384460698666	0.0521405477070674	0.46402063370615043	0.48746905254775497				0.2511296956040197	0.2580942087878028	0.4292564753401506	0.32447886943258386	0.2820594532296846	0.22040280379165827	0.5067314915881994	0.3621939496565562	0.3977101356824696	0.029605407080705942	0.18280409539549722	0.03297835838751467	0.43334373658325165	0.40183201744126223	0.41143870592864434	0.02439497525004786	0.3825902117104157	0.16177618015625878	0.06643034349919986	0.1617586318614309	0.1617586318614309	0.4804195384329198	0.049825425803594024	0.10120705483199069	0.2220788743472509	0.07809059249943091	0.018083675267107788	0.4804195384329198	0.049825425803594024	0.029913427863733875	0.18923496374053989	0.7906159355132348	0.5635094393823753	0.04097628319880167	0.05213797983250144	0.04312193448897915	0.43714377094351164	0.5557988121096078	0.6464723199612333	0.6387344277702421	0.599419123395114	0.4700731916132191	0.9936968211173487	0.8072608935809528	1.0	0.7690908825454935	0.360562631798547	0.1683360012353587	0.3723871556674216	0.20939675575052027	0.3561757187299257	0.32877626064242194	0.2422713303891391	0.012316475910576231	0.38419042565972045	0.19262787017167066	0.2704824979416397	0.30874583199070776			0.2919525805726947		0.12250062577746024	0.9576080842298746	0.1713276829594456
ALIGNMENTS_MARKOV	1.0	0.548499532124904	0.8646336764535263	0.01956056743046433	0.328530204251048	0.07785612231112991	0.2335520123151754	0.39983480663697435	0.35075608069587644	0.47552148927126847	0.25688782243722347	0.2248608680452981	0.4284440114765641	0.4284440114765641	0.03390099240108751	0.21095534488624382	0.2339096583281248	0.06844842878133743	0.2642780937092979	0.32538543462842695	0.21974830784007918	0.5505094334474478	0.5274240329233633	0.44344206810716374	0.5724336315560002	0.09795311256150872	0.35835679501976914	0.3067661312598961	0.09176007329117723	0.14936774531967684	0.4098743988778312	0.49812793440046665	0.33371988083248055	0.00212971948077275	0.33501927485356575	0.00212971948077275	0.3977749290799864	0.41990935800498674				0.2733089901993777	0.29000062884263433	0.3424860785381259	0.1907635836104904	0.22072209191482284	0.20399481782159318	0.41051298419616744	0.4136918714642071	0.42669885356901605	0.04974774113448372	0.289418270525348	0.038667674975226954	0.39784970737873604	0.18305590279224615	0.35087471378572926	0.21715926704772662	0.15250769154510815	0.26469207960045943	0.2133643810530521	0.26468471253829734	0.26468471253829734	0.3880304990133063	0.07751840268822406	0.1338767273117667	0.14910063619475658	0.23694577378871415	0.15887030681328027	0.3880304990133063	0.07751840268822406	0.027349654616253594	0.1284599193708017	0.7894993448029928	0.646663715714069	0.3287843128959507	0.2394469262149885	0.34066156838263006	0.44841900999477896	0.4958881240401201	0.6803044482121592	0.7083171413266935	0.57730126283105	0.47988066860174455	0.8406451676869634	0.7648978955483628	0.8444488460984282	0.7484175900148632	0.2842809123354598	0.0653960195233738	0.27963683723462485	0.08702066181349702	0.19064470245733015	0.09678678793805943	0.10160016096304982	0.1371972854202367	0.17574962117092946	0.16343068832320767	0.15114729769845625	0.28676833489832376			0.13010201268597701		0.027732659107599093	0.8728239765961091	0.008454289432233692
FITNESS_50_RAND	0.7648978955483628	0.44109112425234404	0.6440972930422899	0.07805660468826082	0.10498935026580039	0.1677517763284632	0.06454790679656205	0.20416635968913754	0.1937366464984947	0.23667966772775276	0.16406043968017217	0.18962417368789047	0.30101983615128897	0.30101983615128897	0.15347095294429028	0.1807490786416112	0.2627772316997692	0.16368395087964732	0.09657077791794129	0.08431106948467657	0.11104440612496722	0.2270149125323715	0.20785397001634537	0.17046863486358432	0.25983183749348715	0.06791551669583347	0.19032833153886983	0.17989622253328372	0.01867991612319489	0.07016823880063042	0.13623102731148068	0.2510835445864481	0.17521108403480656	0.05064206529830559	0.22373565807741078	0.05064206529830559	0.31777603250926	0.30927026303945665				0.19496726799836211	0.3077954241394346	0.24940623307179086	0.22547387943032826	0.24823466568550126	0.265953555318052	0.35332576275970984	0.3328536129236397	0.3435911927076652	0.06205668744385848	0.35542968930809754	0.07273578441779356	0.4153130179948715	0.36368932261736586	0.38666648780486323	0.06442428689878442	0.3511406310965486	0.24914106213322718	0.17803431807550332	0.24911839320380375	0.24911839320380375	0.36866941753863935	0.08039706898599032	0.15358680228527538	0.14047415095044452	0.16828986266776794	0.12071555136704339	0.36866941753863935	0.08039706898599032	0.0599440779716199	0.13519508515532505	0.659929838664188	0.42217179105104274	0.15757664311338135	0.08185334958860035	0.16441838498482364	0.3104302056997407	0.33480596061413437	0.5004327775060824	0.5058191686290961	0.44122117120973176	0.44395410487819864	0.8168836764811803	1.0	0.8072608935809528	0.959836985065713	0.2845227485748378	0.14192687795535938	0.28921812368521094	0.15758444341948913	0.11044025713938396	0.026013298004905372	7.453531549980174e-05	0.10689477685783542	0.044056213874274094	0.18894229754360736	0.20516865166060563	0.2714412498561236			0.02784242443419242		0.09174049302166945	0.8681805336512134	0.16143851804118142
FITNESS_25_RAND	0.7484175900148632	0.438732748424932	0.6638696492267362	0.10424956014088554	0.10031513592072712	0.16662319662068556	0.07142254701671513	0.22397859387529073	0.24486674221833543	0.29528667338992615	0.15087499145770575	0.21213504330211902	0.32261376402720177	0.32261376402720177	0.209382538282226	0.21567466750950437	0.29712233275925737	0.22578849409760518	0.11429337291711983	0.05031707335737985	0.11608009465022448	0.2340198885788597	0.2198233597047984	0.1866657768461898	0.27813220299928954	0.1065305086404959	0.20645544185434256	0.18706256094952714	0.07716219814390787	0.020638344831403217	0.1847931340324076	0.28698579339008434	0.1874398527944119	0.061199368975986844	0.2547270605102844	0.061199368975986844	0.3746634599963486	0.37539232367565545				0.09398447759049712	0.2639732862233325	0.3463569906948293	0.26163334062652815	0.38261934306373474	0.30565327467632825	0.36616226086146525	0.34890778842237646	0.3527760758628978	0.062282837262804425	0.32924929803442576	0.08401464602782904	0.4415407138636579	0.3374625315594552	0.36903945185256043	0.06912579365976672	0.3164274708544453	0.2194550021254565	0.16950315572974453	0.21942252108894422	0.21942252108894422	0.37149559462990045	0.1456563999018122	0.18883871639928934	0.15379131083632508	0.16380402407654995	0.11548278347068075	0.37149559462990045	0.1456563999018122	0.048587690050148236	0.151415230685591	0.6702796234657268	0.4931043235247466	0.1983609322846036	0.09004779955083776	0.19529278143424314	0.3848790899553714	0.3902076710289847	0.4635351713743707	0.5035660877479353	0.4531168526751655	0.3832779765631493	0.7888594645439313	0.959836985065713	0.7690908825454935	1.0	0.3007443558213448	0.16258819559657267	0.2903555330948272	0.17626157944560217	0.09530093084067737	0.044173234086870954	0.011073779795943685	0.19246065951723598	0.03513556993690541	0.22356962591101587	0.23356262846263384	0.39607253011656274			0.02805928328243008		0.11758667260593914	0.8286882803448946	0.10713022686132473
ABS_EDGES_ONLY_IN_LOG_W	0.8646336764535263	0.7184844666728697	1.0	0.12305010972118646	0.24717123920562556	0.10020127645655343	0.1409807990425563	0.36096776638619554	0.41597572236856056	0.5473470203415854	0.12161968569556228	0.05998038910696772	0.544942166704479	0.544942166704479	0.24598403533598223	0.2819782264674369	0.32355580713645204	0.218779803538319	0.24921714277478613	0.341802222237562	0.08542783257277425	0.4282508836061289	0.4331183998089314	0.39956498834915904	0.49360472165057917	0.1376697169501199	0.18531990722755268	0.15368317794716188	0.1162847056993041	0.08114801321577074	0.3158346650228966	0.4584110860202952	0.4267955716384035	0.16686655675814802	0.4515408182742499	0.16686655675814802	0.5647055990720342	0.612144275186964				0.13913370838635536	0.09266337652098708	0.4235293375188414	0.2850711557159129	0.27178042344354914	0.2425413560990616	0.41437964652143644	0.30611338663123444	0.3534620501481735	0.0979030953995876	0.1813768176737229	0.09881465448016429	0.3636338229420733	0.01843483059382555	0.20728995209148787	0.2780663461833321	0.02151776312480883	0.3207431683607513	0.17975672536531057	0.3207469422256935	0.3207469422256935	0.6128475033175502	0.08785451218857465	0.11992707843046868	0.32251811692364235	0.22170868784131306	0.1405434440400272	0.6128475033175502	0.08785451218857465	0.0709420233502229	0.21679834144058896	0.9058334561916911	0.7459087180433676	0.30069892264748116	0.15660617217767336	0.297999188327804	0.6419883214291934	0.6252115856658933	0.6591552823737896	0.68924137008197	0.6774757040106814	0.4979615997224322	0.8048368005173867	0.6440972930422899	0.8102167442189524	0.6638696492267362	0.2720462241933913	0.04804607815112741	0.2609097711439541	0.04654349989587508	0.2007753569072719	0.23680196810487558	0.14726154677632514	0.23354531529494021	0.2611890772157593	0.22661834113777898	0.22048569906363347	0.33626195819489924			0.31007006654832375		0.006557736120575806	0.7647818436807473	0.19300209128737475
FOOTPRINT_COST_FIT_W	0.7894993448029928	0.7392894440818413	0.9058334561916911	0.18165230075645125	0.21821132243518107	0.028992738215881587	0.009922110089696	0.23632872063444077	0.4345494034375642	0.4781226308800298	0.04274092596914007	0.07545751161883507	0.5455864655482712	0.5455864655482712	0.3406672943967504	0.3663306644546339	0.39369909915404866	0.34255416737603855	0.10988609571130108	0.21807091410734084	0.07632565136263017	0.33619092411046747	0.29695347843573877	0.1644265136675025	0.3263763020825598	0.2426894337122288	0.026387203800156758	0.009677973128035037	0.19475697301561687	0.0931937861017748	0.12938183818864457	0.43477651886493734	0.36727714580320425	0.07289332976445774	0.4407892815405935	0.07289332976445774	0.6197409654556785	0.6504912977317708				0.01829590820309009	0.14482427723603264	0.40235810520440657	0.38752214682102426	0.3422787240368342	0.3199188346265675	0.5066897446863203	0.3853095723498292	0.41099371441560456	0.10148814956519173	0.22101579031474927	0.12141523076906244	0.5140434219175756	0.13618864035839556	0.2785976017964475	0.12144110488843722	0.15302164330621748	0.15502400838666092	0.11477429664137906	0.15501086245212908	0.15501086245212908	0.5569853710636528	0.0411311008190738	0.015840418789163306	0.3583486162875656	0.15389616440684017	0.08164341184470449	0.5569853710636528	0.0411311008190738	0.0406976929222972	0.2897000301985769	1.0	0.7087240008352853	0.1338609158423803	0.007991981288133616	0.12829079163321302	0.654258225337082	0.6342035947672386	0.6458392588634063	0.6509647690631505	0.7129320688217724	0.4363521004100249	0.7906840133660432	0.659929838664188	0.7906159355132348	0.6702796234657268	0.4633376165453295	0.2762960088620514	0.4683618968237899	0.2760024420904349	0.3107501141952639	0.24386529432811502	0.11999035329020737	0.22955423371811062	0.376159272400639	0.2823754308981823	0.27527153429805185	0.3038942089350911			0.40731909359844987		0.21939433268178873	0.7393160504132571	0.18798287365064478
ALIGNMENTS_MARKOV_2_K1	0.6803044482121592	0.41463554944301173	0.6591552823737896	0.039770811128102636	0.42705282320775345	0.06933192618053036	0.11189482256780904	0.04850006758319826	0.30606397694798826	0.31042249118114096	0.24922234211746178	0.14067598076595317	0.3388624084271677	0.3388624084271677	0.2635354812553744	0.3202858851831248	0.2637145482113648	0.22553313003962927	0.07253258437122004	0.0716378758691722	0.08247072670234774	0.11163621416079163	0.11851355979791371	0.07171046611840186	0.1909241475367351	0.33607197627708846	0.01091958837771529	0.0015131589571805478	0.2078642112461216	0.27206758538771647	0.024152067806491144	0.2623364098768783	0.26531451687352986	0.14805618078216878	0.32814788349398516	0.14805618078216878	0.4453321695741541	0.4790789747671018				0.06581497317796696	0.046812953826224364	0.3277003075884961	0.3147460828768872	0.24641896200409616	0.006123072069620247	0.424886701997935	0.35407311483648185	0.3858364736040831	0.13100631294996545	0.0983855389567089	0.1303740675774211	0.4153729362433045	0.2011316579525292	0.30156727227618896	0.018230142934969894	0.19059044689005294	0.02659139205575706	0.03319097725469025	0.026585582971769262	0.026585582971769262	0.2813042519677748	0.026927749175644437	0.07432714868543559	0.18801700252023085	0.02249574536012085	0.025536962378644026	0.2813042519677748	0.026927749175644437	0.10322252997939219	0.16914422973610546	0.6458392588634063	0.5508891541028386	0.042052884890027224	0.09536174389449978	0.03872369280223216	0.5355811110100153	0.5849227860916293	1.0	0.9608024564650215	0.884620493508489	0.5864739886131024	0.6160890171488291	0.5004327775060824	0.6464723199612333	0.4635351713743707	0.47252952842931967	0.28684936560594143	0.48431496819825376	0.31461610566337045	0.42237571932469953	0.3195586937849033	0.2121615393018345	0.13765314227136	0.39734311525367944	0.23361392085919125	0.2067036736242453	0.1785383962210568			0.33940148725706054		0.2583555135369542	0.6500017399571347	0.0007807131364324833
ALIGNMENTS_MARKOV_1_K1	0.7083171413266935	0.4351512195644561	0.68924137008197	0.04642749236171687	0.40487197071926345	0.026292038497954775	0.0978161550976496	0.004142659962035546	0.3346333090010519	0.34998712680708144	0.24722523207404576	0.15671246540545056	0.36917849024598265	0.36917849024598265	0.27719689409104203	0.33398951800838145	0.29980073824584497	0.31052157096987226	0.044257635833107684	0.055549121567975944	0.008790568903561913	0.14401499155038938	0.1486332438835354	0.12491160999046885	0.2414400890813715	0.3151122350390973	0.029273499863622276	0.006562465181321215	0.20249621054945713	0.2558681354144527	0.06884688271438168	0.31351109353685547	0.2648077096285212	0.12815625804165853	0.3445019666281265	0.12815625804165853	0.48447981292020814	0.5251701550731853				0.03796123576337457	0.04509242796663757	0.44454006787960504	0.3411752140187943	0.3856894048558561	0.027727498504241648	0.46463729260801906	0.378842748429159	0.4078050897105194	0.11433622442092257	0.1710155285548121	0.11040654899771048	0.4784952540479659	0.21017410339288128	0.3037181092504079	0.018656762840874155	0.16986571469280054	0.03695257061372551	0.06509147539474727	0.0369684431927998	0.0369684431927998	0.28628712246131366	0.18161119083168717	0.07555741379046216	0.15221738330026707	0.03920244670766087	0.045027380334804884	0.28628712246131366	0.18161119083168717	0.02632038821215237	0.1395814222245652	0.6509647690631505	0.6084608586159357	0.016613196277503385	0.08631563445414027	0.017851288358626816	0.5788996652733017	0.6282772936190157	0.9608024564650215	1.0	0.8586304892392678	0.5484844302248546	0.6095144249613776	0.5058191686290961	0.6387344277702421	0.5035660877479353	0.4993085051407672	0.29191624800086563	0.4880486825513829	0.324343279440358	0.36773858681870675	0.27024474296626855	0.13297313249782616	0.22087471319919305	0.35170995500939023	0.2618779456611585	0.23062492509220608	0.32733382881193374			0.3184221351686534		0.27870683030674315	0.6316430968780643	0.0006686262856480839
