	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	ABS_MEAN_DEGREE	ABS_MEAN_DEGREE_DIV	ABS_NODE_LINK_RATIO	ABS_NODE_LINK_RATIO_DIV	ABS_LINK_DENSITY	ABS_MEAN_CLUST	ABS_MEAN_CLUST_DIV	ABS_MAX_BTW	ABS_MAX_BTW_DIV	ABS_MEAN_BTW	ABS_MEAN_BTW_DIV	ABS_BTW_ENTROPY	ABS_BTW_ENTROPY_DIV	ABS_BTW_ENTROPY_NORM	ABS_BTW_ENTROPY_NORM_DIV	ABS_DFT_ENTROPY	ABS_DFT_ENTROPY_DIV	ABS_CC_ENTROPY	ABS_CC_ENTROPY_DIV	ABS_CC_ENTROPY_NORM	ABS_DEGREE_ASSORT	ABS_DEGREE_ASSORT_DIV	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	variant_entropy	variant_entropy_norm	sequence_entropy	sequence_entropy_norm	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	ALIGNMENTS_MARKOV_2_K1	ALIGNMENTS_MARKOV_1_K1	ALIGNMENTS_MARKOV_3_K1	ALIGNMENTS_MARKOV_4_K1	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND	ABS_LOG_NODE_LINK_RATIO	ABS_LOG_MAX_CLUST_COEF	ABS_LOG_MEAN_CLUST_COEF	ABS_LOG_MAX_BTW	ABS_LOG_MEAN_BTW	ABS_LOG_BTW_ENTROPY	ABS_LOG_BTW_ENTROPY_NORM	ABS_LOG_DFT_ENTROPY	ABS_LOG_CC_ENTROPY	ABS_LOG_CC_ENTROPY_NORM	ABS_LOG_DEGREE_ASSORT	DISCOVERY_ALG	PRECISION	FITNESS	TIME_MARKOV
PRECISION	0.005981837737710235	0.4789151275499239	0.056289128436960614	0.2868556280032472	0.1936088826918644	0.15468697705932655	0.4701638461113079	0.5101075828058511	0.047020102751224896	0.06427266628984452	0.04597454231405182	0.11342059886802114	0.13304013004357934	0.13304013004357934	0.35724178556121083	0.334292416498733	0.35816145939091304	0.43691776065701676	0.5956058069447019	0.41085874944049305	0.023249972464508786	0.37792451699671725	0.44212948853854883	0.4595723565527183	0.3973952493356163	0.3787477873387216	0.3888890137465139	0.40653332590490854	0.1494263982337081	0.16298434168834755	0.4054745066204067	0.13375483585367784	0.1440159572548253	0.09622319127632929	0.08958107534368506	0.09622319127632929	0.24723135446746175	0.23277899214055875				0.1764905914386039	0.06124417876792172	0.2186542010388434	0.46622866127686285	0.5366714940974331	0.03660029845125802	0.6133912844711967	0.34884692201976786	0.2913296117848814	0.023975721491988077	0.39077338438741105	0.020234099456590278	0.6695446752444667	0.5679469090291978	0.11073115757901196	0.6122706802471287	0.572606721651414	0.5273627984546552	0.48445643584848225	0.5273687053997335	0.5273687053997335		0.19708263299014422	0.01591706036038105	0.17903420488932995	0.5162287714375603	0.43046338537636564		0.19896506772309858	0.19016834678282543	0.33337627365087724	0.2028568667924004	0.11947722735131061	0.39873521259299993	0.44519931361759024	0.4400196514040964	0.24189444636090102	0.3171795427572683	0.17043106875108072	0.19666116578465678	0.22131961846677808	0.08228116580783143	0.12981524505870456	0.10593624772947714	0.10549224123659631	0.11529452328362025	0.8918618117107464	0.9814388161326422	0.8808558420977793	0.944990704947407	0.4924569902410658	0.203621215606925	0.09459951218014105	0.1071980235454596	0.4489011018591791	0.24094034664388028	0.33455511460956205	0.1694651386404455			0.0794179561274184		1.0	0.026666964658904942	0.266337208153559
PRECISION_50_RAND	0.040352735789336215	0.5072969090419368	0.0047835726372016454	0.2583584841414581	0.23909632343983314	0.16516739057693805	0.45354531924336156	0.4667538155576901	0.1372015679607312	0.01650058448192613	0.02814703813907181	0.1382265056382513	0.21267258292179236	0.21267258292179236	0.3812620055871305	0.4089718540633973	0.4216982619488268	0.45313090928121785	0.5605805196113923	0.38426150454484953	0.03564964581423939	0.3278495333924209	0.39872016150431044	0.4166581651116459	0.33908481443564514	0.3785272034516557	0.3391066983796381	0.3710498127510651	0.1644126709687288	0.1641650063085527	0.3731896206943941	0.05042513302646077	0.10723230399162098	0.0885085974935999	0.1532399563022547	0.0885085974935999	0.31699253267161204	0.29166550724388485				0.1837438027598812	0.051423757381850406	0.22187684103390817	0.5237607837271128	0.5405506798911515	0.09125616609448291	0.6387496950721309	0.4119622959819687	0.35137026962032264	0.024431496290631967	0.419329004616382	0.028265952043147895	0.7075025278436485	0.5753737243847199	0.14200959389563242	0.5803268602933461	0.5700083807741018	0.5299702276825115	0.4762292807670689	0.5299606984103454	0.5299606984103454		0.21407585009176555	0.032372578093645125	0.14994907700670057	0.49980915448290597	0.4249652407304946		0.21667069353019	0.18039667098114287	0.31735347339916165	0.2628703338898655	0.17437955657886337	0.38164973994706924	0.4289381552885763	0.4264935511059596	0.29492485862534984	0.36303599358180294	0.2066579286623636	0.21777134237634774	0.2574327407410534	0.020486864311426302	0.1634766141497442	0.14704031674797505	0.14733282859416716	0.1587805069134305	0.9172457974916661	1.0	0.9137381289948081	0.974940649168657	0.5158671377121339	0.22961907558550398	0.05819829449252572	0.07286388592551978	0.4877458483301873	0.26221017273102315	0.3858595724640464	0.15600483983684316			0.10868824544966446		0.9814388161326422	0.007035491856081294	0.27152746640651304
PRECISION_25_RAND	0.06632581614295079	0.4806179869978783	0.012311805302963096	0.2449194303638336	0.3020205119406774	0.21348211042605444	0.47555760501194466	0.4771517584104949	0.21198755356639365	0.023906313772768945	0.012755590883916963	0.15814012780216236	0.27024569963907885	0.27024569963907885	0.43941812459344975	0.47889819872029343	0.48534418611517083	0.5032230973684594	0.5542734819748895	0.3930780820437011	0.06357047919995669	0.31769004425295416	0.394656246721784	0.4165283407369014	0.31926971597903653	0.40478711338905854	0.3181101309009658	0.3621183686293501	0.20785855883651486	0.1937506648549755	0.3306913847768394	0.033475445220808656	0.05506814804694604	0.06685287715485712	0.21711079002687636	0.06685287715485712	0.37568797470395937	0.3292902565487306				0.23109030487404414	0.02960139489447097	0.24378227866135702	0.5866306481559678	0.5555303834342894	0.11239411030938896	0.6552101227582658	0.48523235193742914	0.43472805491957034	0.04304867952933116	0.430618719710261	0.0504637669316612	0.7318610761502286	0.5973889101921104	0.15405296566983087	0.5867803330403981	0.5798583679403504	0.5677664396583767	0.4655063796904649	0.5677439167561754	0.5677439167561754		0.21627357603525416	0.03654005204631469	0.12345035388833622	0.48659432244094186	0.4210164389589171		0.21823596504103943	0.1871755109998352	0.30249382900861127	0.2746908830863731	0.21796986653842948	0.40520577683585884	0.44609321685435666	0.45568626881535307	0.3334772782116106	0.4221763295781934	0.24630066012124416	0.261555476100207	0.2748961551664239	0.0029370159668591993	0.19903437273830718	0.15924216674191297	0.19349696346197084	0.17541568244470668	0.9188406748600829	0.974940649168657	0.9190174471970742	1.0	0.5296566964081074	0.23764417209847524	0.061273057507202376	0.008844751564668976	0.5207194505013315	0.3346807314689137	0.4557439110248119	0.17440892833430105			0.16697517355466557		0.944990704947407	0.0288847267148003	0.23108405834849866
PRECISION_50_FREQ	0.24982188905737926	0.5909136625706353	0.21339495547716417	0.2873132122726409	0.26150384920018216	0.15216802106600683	0.4177323455298669	0.38281623601682674	0.2991927384812338	0.1510683955758471	0.05070286492808773	0.12327163152378032	0.40261357833701134	0.40261357833701134	0.4695816511206768	0.5240434040866646	0.5697083631403889	0.5456188339484223	0.45921210208520835	0.3052842802528448	0.09652213907155666	0.2294938113379013	0.268844034213139	0.2617077240750945	0.18305362412647685	0.3992124067830939	0.2539286761835364	0.3063802957614618	0.24811087704716792	0.20273950469744587	0.20776156119572473	0.14458385450166517	0.06464949391420552	0.0025881525658250923	0.34047166699054676	0.0025881525658250923	0.5033823313667685	0.46982830588280783				0.11535198972279775	0.04320228332781399	0.3041407210845594	0.6351050364614201	0.5889176584130047	0.15576770407794513	0.7243630147437533	0.5628355800818888	0.540595624023615	0.07645452824330877	0.5047027833667607	0.08066130993459707	0.7897026302028471	0.5205550847165656	0.15784479476605567	0.48720762812647106	0.49087649284528645	0.4585254223820213	0.3980221293594036	0.45850311868583643	0.45850311868583643		0.23736288148780194	0.12593144627150418	0.12257243691021197	0.42301514057099665	0.35019711467692016		0.23780368696937274	0.07526159073467008	0.25125713522887516	0.4453497761271265	0.3422079565571276	0.3023120977021633	0.39354626591242087	0.3512782699083225	0.46386789537114653	0.49954615286760584	0.36588618188885125	0.40080705897831886	0.3943687118327591	0.05639047875815264	0.32710849801076886	0.26853233877286653	0.33738868316158827	0.29330654941305834	1.0	0.9172457974916661	0.9919862953673543	0.9188406748600829	0.5059373793440194	0.2252962143067259	0.05132641004040467	0.09559884333612018	0.5204850575665487	0.4099512597464043	0.5195717948211971	0.22901371023367517			0.21996541687133556		0.8918618117107464	0.008992546703334431	0.2502069361687471
PRECISION_25_FREQ	0.24566423081698976	0.5838613416650652	0.2046865042080856	0.26150186575161544	0.3054650276762505	0.16644626215688513	0.4424738668169434	0.4068115500660454	0.29892841187876285	0.14271389747090732	0.04685910759019256	0.13982399072817048	0.3959356211176629	0.3959356211176629	0.46652702605035035	0.5299750038329989	0.5697996962305433	0.5210789762108528	0.4737130976278902	0.3114828204826883	0.0781832259663299	0.23905922601067575	0.28065341968841967	0.281123655967377	0.19436356880703215	0.3991436904918344	0.25305220179361493	0.3112377257042823	0.23543401581742102	0.19674432488397742	0.2374159184238561	0.14031107566977677	0.04461852381756145	0.02223575235302004	0.3324085705614982	0.02223575235302004	0.4962395067667217	0.4571240745710139				0.08354418955619501	0.0603862529602108	0.2698457874713007	0.6357411086262112	0.5714480784036775	0.15528048001784958	0.7112974481725501	0.5486745999190126	0.5251449501308679	0.0808975397247416	0.47172641775616464	0.08684595989904761	0.7729528045314314	0.5388614482332742	0.16115156005574785	0.5003585543460781	0.5155651041994322	0.46493433308392923	0.39895354454377047	0.46491402417116706	0.46491402417116706		0.20774434992662844	0.0826235650520449	0.1399513583726178	0.42209744180007186	0.35601789951014917		0.20891937051089401	0.11373436196055565	0.2742947461594302	0.44959480408286356	0.33142356217241803	0.3299483474859223	0.4140577611052852	0.3844735084853866	0.451043772241452	0.4988932039257512	0.37995949612584573	0.3922059809374316	0.40415926379153105	0.06359114779137383	0.3325515683224838	0.26916305253209927	0.3486573480506351	0.28388810275398574	0.9919862953673543	0.9137381289948081	1.0	0.9190174471970742	0.5323056227349866	0.24741498110366328	0.018783890693063236	0.06557806344267957	0.5490210998003163	0.39584386113720627	0.515180380552787	0.18638801415916836			0.2327141595551882		0.8808558420977793	0.017610016413195817	0.24577496524996195
sequence_entropy_norm	0.36591623243862387	0.6934652889920375	0.3713153333461288	0.3654373864107502	0.15815201671143048	0.08907314286595212	0.12638272697740577	0.06871724269945091	0.4942920978420002	0.3912545210159119	0.14605494498342655	0.019126326490375607	0.5910388194223708	0.5910388194223708	0.48076296065921037	0.5937288363900277	0.6258409181052565	0.4874312928603701	0.20742521198079847	0.0923529139072013	0.04262095039578213	0.02609356406577915	0.05920592312354217	0.06876402783491106	0.02236366588760977	0.37597001822268467	0.002078088244886686	0.0585130878333855	0.2662816667073522	0.1977185879927901	0.04362707932779614	0.3331772978091171	0.2132920653197356	0.012321836665405966	0.4999042163317173	0.012321836665405966	0.6131659084203072	0.5587706054374346				0.21728511403279627	0.12159220032030682	0.5814342732133473	0.6376766392376811	0.7668545114673865	0.3922496794370519	0.8956879139893931	0.7448508359520977	0.7334624065494655	0.2421875730865212	0.7101052522350881	0.2575626085273549	1.0	0.4765419754794526	0.3544924953500204	0.23785482730247304	0.36719982040639193	0.36195716851924215	0.29522059088758784	0.36194342546862585	0.36194342546862585		0.31924931354046243	0.16168604003192333	0.10213119495108337	0.3083781806272715	0.3219355521714855		0.3177170353641	0.09764694123524578	0.25160116919438297	0.5204089433520455	0.44392369273643106	0.08424942167903107	0.0835986136443213	0.017134849562982658	0.5826126787960577	0.47191084385488014	0.37163366338863274	0.42829755938623465	0.4628304876151716	0.22007283605964312	0.33228173664336474	0.3249508431476421	0.41681831810824954	0.4079444278426417	0.7897026302028471	0.7075025278436485	0.7729528045314314	0.7318610761502286	0.4375525749667649	0.3544895304608558	0.16355429822810805	0.18744334108495417	0.47169788012313707	0.3796809267254798	0.5640405376750505	0.5297854312556138			0.2952957755206223		0.6695446752444667	0.136756285232237	0.21703362849311647
LOG_PERC_UNIQUE_SEQS	0.4013578926212832	0.6921217524822302	0.43118603486893553	0.29190470247162276	0.2769093484256633	0.023356517015933366	0.14878862020124875	0.06903624857373193	0.4609295412427902	0.4032846315192069	0.20200987025411193	0.1279510504794948	0.5264245280367434	0.5264245280367434	0.4318799715162485	0.581097278708248	0.5201168716385043	0.32524672825507994	0.24647274764216007	0.025700430868232482	0.04177055809574103	0.0236876157033695	0.01101154104636179	0.003496764233358478	0.11341504295506652	0.3368759603793525	0.051687735573396794	0.05621949198103517	0.14132251877417926	0.07905821842920932	0.01583959066920765	0.35344029106577957	0.2093496995504104	0.036449894959012165	0.4491068292590099	0.036449894959012165	0.592071007017887	0.559496609668981				0.1602832218522975	0.01262392516785218	0.5476451239134356	0.5867551404883578	0.7046518022601751	0.26144186701037003	1.0	0.7166787304978937	0.7015260131737433	0.12876802493406897	0.6037804632210857	0.14384738976309508	0.8956879139893931	0.5235791471339574	0.4043190227468851	0.23918445572495817	0.4213739373672114	0.3205162190605258	0.30405516275847283	0.3204978677010216	0.3204978677010216		0.13516465398299973	0.08646784321025291	0.13061136140500876	0.28439918969026284	0.31079004564165863		0.13001799118933977	0.19449476558273465	0.33723913290186713	0.5201450715161823	0.4867984148879312	0.0849077604854295	0.10501838343011259	0.020529181120258755	0.547701362765204	0.547187744654895	0.400721108301285	0.44467426700164026	0.48798084517983287	0.298213058135409	0.4449383892006947	0.32108820854438375	0.4974766258339823	0.3585266409160938	0.7243630147437533	0.6387496950721309	0.7112974481725501	0.6552101227582658	0.5868377851039198	0.42596779890377484	0.3036271399279981	0.017846004941646443	0.5855504961120475	0.35776617536052663	0.5025335552814381	0.4572744747894076			0.2789754167165424		0.6133912844711967	0.028638328235485972	0.21058540957693572
PN_TRANS	0.1791906719052589	0.015240700663420401	0.2930151622333132	0.02741369495250562	0.3547587987642691	0.447606077485714	0.7649899854408679	0.7015678041314389	0.06338333636937457	0.30226785803884293	0.1035398606875285	0.1077495095509041	0.09739675913665198	0.09739675913665198	0.12535564256030882	0.40785913063102225	0.34657793215167804	0.30745644029651603	0.8800870018459143	0.7693705882597786	0.21433447148370866	0.4601241928494167	0.5081347972688628	0.4690636267323123	0.40709622231029874	0.11030352250970242	0.07910232591172099	0.12280454677288596	0.18965503153820512	0.13405082013012123	0.43050549128087895	0.13634671705757362	0.4822939708958164	0.303483650796498	0.14370305768757974	0.303483650796498	0.0016453622633440291	0.0785255299737863				0.040550294109175086	0.006868076581272671	0.11518685696965329	0.5108332286162587	0.16298715176432035	0.29897700555957113	0.23918445572495817	0.06609282192632614	0.08296258655624543	0.3166753116180725	0.11487027128997532	0.3056483734894917	0.23785482730247304	0.5283385537744838	0.2568627234454355	1.0	0.6806425087239419	0.5949539103078988	0.6760889506707014	0.5949619627920648	0.5949619627920648		0.17489539373155993	0.35550015026514836	0.30381323325176685	0.6424615266281041	0.620918261269031		0.17385525323221737	0.4896808025019923	0.45408682913079396	0.11195242138197233	0.007732593327949758	0.6424649669166415	0.765572723993472	0.6504399330105555	0.11301863906457613	0.28692038716963547	0.009523017176366019	0.0073538647383518	0.04342704307844434	0.07185551411034853	0.0667153307772096	0.0366789585075447	0.020357349215674978	0.04979217846288861	0.48720762812647106	0.5803268602933461	0.5003585543460781	0.5867803330403981	0.5725039665377113	0.24545633114141732	0.07733932075569822	0.3549519002545627	0.4975115762667615	0.2210336313331768	0.37771623148283623	0.13940037306657502			0.09071829409096846		0.6122706802471287	0.2571875840256412	0.0017001420258434335
ABS_MODEL_MAX_DEGREE	0.23610371664565288	0.0056248190590782714	0.3080604796164329	0.13285949837852576	0.33040253209125525	0.34367856097391836	0.784991011677486	0.8163618806513034	0.17643693986621412	0.450162140106121	0.15621589939967426	0.17572607510088603	0.06130489712622805	0.06130489712622805	0.3214062394554314	0.36446848593975834	0.3043228612712942	0.2253538963359439	1.0	0.6550315742610119	0.1798496683506026	0.673188536108466	0.7149752363516453	0.6780563870760327	0.6267066358626406	0.3817749329485211	0.27100176827456446	0.34468046388890866	0.017765971886980855	0.01800697000840757	0.6871384472505798	0.34609830016490706	0.43195865543582646	0.2606481816888654	0.11694629716623711	0.2606481816888654	0.05863389250893025	0.02321361610826692				0.04345529357176227	0.047647666167795734	0.0038705300881321553	0.4702836392217837	0.22935123069334784	0.2382979966685991	0.24647274764216007	0.01854797521955023	0.020272535987212018	0.23727023939887548	0.19977280438793227	0.22592375210502075	0.20742521198079847	0.48761719765626804	0.1750961766122078	0.8800870018459143	0.5895719963342484	0.5976752335657143	0.7137531900678726	0.5976973261958541	0.5976973261958541		0.17618108506027913	0.2974143424341538	0.27320309756595695	0.6895832367363073	0.6167008816271576		0.17250905542282094	0.3784604558896661	0.39865423020012847	0.1270041334494415	0.09349850803882574	0.7186110178342593	0.7768186967325221	0.7221624565416409	0.039199719014031124	0.24682887903006795	0.0017514343362540093	0.0261929207122884	0.06556158263671191	0.0012623152596210492	0.01418069121279037	0.07621452965210082	0.03780549800029195	0.08305974209211024	0.45921210208520835	0.5605805196113923	0.4737130976278902	0.5542734819748895	0.6086591401406569	0.45563043204123743	0.20368951006370567	0.3953150515214488	0.583118674212784	0.16747615485440204	0.3528390547535174	0.07132719938454435			0.24730253382453238		0.5956058069447019	0.1668423125233754	0.12774153862856555
PN_PLACES	0.07277622107082313	0.1525303368249872	0.03945626389381331	0.0026665696655035465	0.2957431878225634	0.2783642763972264	0.5826067891442035	0.5187750537150629	0.05725254494853452	0.2625297082383344	0.2592602168543457	0.04018671689019174	0.06169670254829534	0.06169670254829534	0.019674730966290528	0.2697710931743079	0.17422215945644262	0.11726605751912202	0.5895719963342484	0.33680882075661267	0.14696393673769326	0.18075270157807993	0.25655704916347594	0.34134276909553946	0.2107654200561371	0.025437929332995938	0.018466509662826255	0.04463204779033842	0.24079332749844137	0.2228568346691503	0.2844362213745664	0.0072940651208842555	0.2926566762908953	0.39781060374770005	0.11157474700707133	0.39781060374770005	0.007231132388417355	0.05776677843371069				0.03088758247137024	0.04396959663794014	0.0570645881946368	0.32234523561260253	0.27946455428717887	0.29684266947444293	0.4213739373672114	0.3213713071032489	0.2593524489057247	0.35741629264179836	0.12264327007368579	0.35470531757463936	0.36719982040639193	0.9155139205759625	0.40976003979294157	0.6806425087239419	1.0	0.29164549277585955	0.24882816794524973	0.2916328748406411	0.2916328748406411		0.14501728350656862	0.335742648816285	0.25885104411469095	0.20557300392711858	0.18162583348419908		0.14017235269628733	0.5723094778658641	0.5356541561115846	0.1342073963463918	0.11980316078159811	0.4705658642764269	0.567827088411288	0.48966275828217615	0.09337280041915956	0.34739955267705147	0.11466150461419332	0.09885404382815265	0.20608292687357255	0.10730295848324992	0.33315358936530554	0.2933086550785542	0.26673955936244514	0.22941064048511875	0.49087649284528645	0.5700083807741018	0.5155651041994322	0.5798583679403504	0.5918534988375026	0.23167277535340378	0.1136239225185037	0.338817009380206	0.4799671212031732	0.13823175316418848	0.19434615701656777	0.08511034374691127			0.06516520008991043		0.572606721651414	0.4097337512998865	0.10765461281816154
