	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_LOG_50_FREQ	PRECISION_LOG_50_RAND	PRECISION_LOG_25_FREQ	PRECISION_LOG_25_RAND	DISCOVERY_ALG	PRECISION	FITNESS
FITNESS	0.9238689336259902	0.7846656609493725	0.9018751277263267	0.2948169406786743	0.356333903206656	0.21495073891511998	0.2747575302294368	0.3734044570226949	0.54097585221784	0.535500707386977	0.13814284569534654	0.04250492756554942	0.5990914243571792	0.5990914243571792		0.4507758511541799	0.42407872394729895	0.4564826246140535	0.18759055181856596	0.23783832160606005	0.3534687849506086	0.006961359865337347	0.5239374681194557	0.5328602469788039	0.49313853781710254	0.03817498892227524	0.31192749345308685	0.5506313253633968	0.29694678961206933	0.1794370693865084	0.6009248999573717	0.3598875939547216	0.4798059088632086	0.9761520342473328	0.9159385418234379	0.9699456763407127	0.8623704312244376	0.03076455028423224	0.1888648280429329	0.04609631333491428	0.20439963805511144	0.057343326241102464	0.23765902763364968	1.0
FITNESS_50_FREQ	0.9354975794738192	0.8122660500431541	0.9228059414505712	0.31516268508736384	0.40888803337394075	0.19764845442402415	0.2636767733127027	0.34773491825788916	0.5679812620568734	0.5574469958107393	0.17347788927533248	0.02920337231808171	0.6179786535608431	0.6179786535608431		0.49918922899983853	0.4705781815470853	0.4699323084722952	0.14758885052071483	0.21045949803081618	0.3514578461756802	0.043727093369187446	0.539701658642914	0.5586924275981408	0.45526059974902616	0.01175233454969292	0.3684517937495579	0.5912917226278704	0.32783589507882954	0.16742770607775362	0.6651936357144979	0.4190686646243953	0.5405879739183083	1.0	0.8964029232633595	0.9911471576103443	0.814922880447685	0.026833612987878796	0.15695099812423477	0.008822699776978965	0.16293825022581526	0.04348153795029027	0.20488834495650698	0.9761520342473328
FITNESS_25_FREQ	0.9394091326071968	0.8264211209935263	0.9276300640682934	0.29751367999678746	0.41470137243608324	0.18996952735586026	0.22639810900481108	0.32595163197580723	0.5557365369116136	0.543666539429207	0.1939037076738155	0.04887400965831259	0.5950912344080239	0.5950912344080239		0.49818514571627376	0.4585292309677115	0.45419831367868374	0.1281963283223462	0.19493729017251962	0.33539105076205844	0.048641405504512625	0.5017196138315141	0.5225406731052835	0.4214091836225296	0.010268878748380127	0.38569883953354306	0.5853926352041139	0.3321568317106744	0.16579194241152373	0.6697113471023021	0.39520078379088736	0.5233397746471593	0.9911471576103443	0.8824735089538502	1.0	0.8064613025776719	0.043748835789824685	0.13552404328249243	0.02987619410350998	0.13847377611364156	0.03129545177330302	0.17889375121964382	0.9699456763407127
ALIGNMENTS_MARKOV	1.0	0.7941838550375205	0.9750818323861661	0.3163046915351277	0.38087491107330446	0.10137373587731513	0.2556145304906567	0.3734318122904107	0.5854831511592419	0.5539610347870226	0.2196352867082691	0.08457701718319675	0.6489392108573163	0.6489392108573163		0.5066145423636672	0.48282677242053473	0.4411602581210004	0.1713469926050158	0.23336162799675145	0.3154457974476821	0.016576779938327985	0.4172899391136881	0.4349210722430925	0.45800554734986715	0.06279984472404329	0.28442228738934827	0.5974494842511484	0.2539672303050559	0.10000182127052698	0.6038981648655001	0.35456650611626284	0.4758697301494867	0.9354975794738192	0.8513158995374882	0.9394091326071968	0.7923636562495407	0.01806210859025945	0.143342326008792	0.01012483692665461	0.12855595426054858	0.05486918904050667	0.2008462103651985	0.9238689336259902
FITNESS_50_RAND	0.8513158995374882	0.7181699985976169	0.8352132505668846	0.31068356241813877	0.33152384625627446	0.18191372596980834	0.30949647756091025	0.38137654770912394	0.5763794360979486	0.5306572764632704	0.0688408437824094	0.035192800621485214	0.6482087071653857	0.6482087071653857		0.46697423145013617	0.47412440945923273	0.4972465225703998	0.22867430198061356	0.25158463762650807	0.3824850249920624	0.029184207116967058	0.5362235151648044	0.5608880997447961	0.49605836261339825	0.029018043228383375	0.25375641784878306	0.5987351713583997	0.2914594421447751	0.12885905821344268	0.5681685665499175	0.3866311141201245	0.4898408787308276	0.8964029232633595	1.0	0.8824735089538502	0.8915774188486291	0.034049156215221886	0.1826511667560166	0.055312515685328	0.199932057707249	0.10638097186013144	0.2314371350029577	0.9159385418234379
ABS_EDGES_ONLY_IN_LOG_W	0.9750818323861661	0.7759386411198044	1.0	0.3348079651542421	0.38827330972046514	0.08544079312207244	0.2516539587524047	0.3827165052548885	0.6658868850291494	0.6193606092947914	0.26645767446385915	0.1272688227556993	0.6960509184862709	0.6960509184862709		0.5726422497183804	0.517103095217905	0.4342427173792799	0.19940248157263613	0.25685279989394255	0.2660244924443114	0.046972362139448866	0.3399636165035691	0.37171301817989755	0.4185533913857238	0.021678428687119736	0.30388430994321564	0.6478641829359585	0.2601324913747431	0.05601589769963744	0.5823748377483969	0.3003643508429775	0.4212206232112101	0.9228059414505712	0.8352132505668846	0.9276300640682934	0.7579033315407855	0.009766047430535873	0.15345493367676	0.0031824360148416655	0.14881632092878236	0.04995324653258327	0.19880094864581804	0.9018751277263267
FITNESS_25_RAND	0.7923636562495407	0.6758525337192194	0.7579033315407855	0.2738535685413013	0.22955246083784198	0.1794213554296372	0.2835626248467182	0.34594737249597846	0.4997732349859874	0.44343018172542403	0.05204064273282785	0.01910891544772874	0.5888878564604626	0.5888878564604626		0.3910689533375611	0.41773444649261765	0.4898159407252434	0.23262416297302285	0.23639388815551235	0.4050305921037984	0.013600916727821499	0.5260686570218632	0.5371609379341165	0.495229644044923	0.06702923471990099	0.2817693333604536	0.5354402127589637	0.39097806516740075	0.1867576298014528	0.5297270431475836	0.3904570608540517	0.4649983744217829	0.814922880447685	0.8915774188486291	0.8064613025776719	1.0	0.006707078065320669	0.14161006981725063	0.016798425640177	0.17724668769623636	0.14263533750174012	0.18849505963685736	0.8623704312244376
ABS_EDGES_ONLY_IN_LOG	0.7941838550375205	1.0	0.7759386411198044	0.4012219762429797	0.3609775875221415	0.1854199016764899	0.16921291571718058	0.2153962943963387	0.42182455052033774	0.462924659870295	0.12252092172972102	0.04955658259203564	0.5288564220568021	0.5288564220568021		0.3759947031536168	0.4525743673616757	0.43530529162680487	0.1033019639934187	0.11450612394068932	0.3692187392915211	0.04114646661920288	0.5160796245886405	0.5016233889277683	0.36930569957907766	0.07399500347003524	0.41483582574352945	0.5427063535126533	0.3864424632307588	0.3107723790920533	0.7013020306839662	0.4162938954659511	0.5388735604727516	0.8122660500431541	0.7181699985976169	0.8264211209935263	0.6758525337192194	0.13925684988900788	0.020859981340189484	0.11115694930360726	0.03178672658585334	0.12532711863602614	0.06546381567541237	0.7846656609493725
LOG_PERC_UNIQUE_SEQS	0.6038981648655001	0.7013020306839662	0.5823748377483969	0.40896398231571	0.5299087841884387	0.1680909874996215	0.034531106823309454	0.1543546381598017	0.4268949833787269	0.4351141518108609	0.031840292657349556	0.008175067512455053	0.3119712969061658	0.3119712969061658		0.5869448862969221	0.6089481091450162	0.5657668374777438	0.23558079979344485	0.30212739707122016	0.4902329031981097	0.2617549357138279	0.528964204564086	0.5575651163682883	0.15895370015458915	0.24064339587224953	0.5500533927253393	0.5757934129172874	0.5632097603598606	0.23660652173284835	1.0	0.7914846004624722	0.8423124514705584	0.6651936357144979	0.5681685665499175	0.6697113471023021	0.5297270431475836	0.3176763794201204	0.18128853592189512	0.31391982108089794	0.15929981540842397	0.025640976411473913	0.14620200265533606	0.6009248999573717
ABS_DEGREE_ENTROPY	0.6489392108573163	0.5288564220568021	0.6960509184862709	0.46659356496552895	0.24538651602764103	0.025963536736281042	0.46165671109815976	0.6398050478509338	0.8835985758211633	0.7406663758843962	0.3017499499671776	0.1852807045303764	1.0	1.0		0.6419107637169755	0.5972151974263272	0.3825628755048201	0.46258423486200145	0.5433594365260407	0.2589061143180238	0.09600133840391444	0.34871343901799173	0.44014648844028514	0.4213913744275109	0.06396927351780907	0.054985016182957806	0.7195516640611648	0.04533560074791224	0.06338024697797699	0.3119712969061658	0.2299563984555887	0.3139662389002463	0.6179786535608431	0.6482087071653857	0.5950912344080239	0.5888878564604626	0.2044431086918455	0.37055139225103984	0.22207978171574058	0.36814078955274926	0.21617528047055098	0.42996005434070994	0.5990914243571792
ABS_DEGREE_ENTROPY_DIV	0.6489392108573163	0.5288564220568021	0.6960509184862709	0.46659356496552895	0.24538651602764103	0.025963536736281042	0.46165671109815976	0.6398050478509338	0.8835985758211633	0.7406663758843962	0.3017499499671776	0.1852807045303764	1.0	1.0		0.6419107637169755	0.5972151974263272	0.3825628755048201	0.46258423486200145	0.5433594365260407	0.2589061143180238	0.09600133840391444	0.34871343901799173	0.44014648844028514	0.4213913744275109	0.06396927351780907	0.054985016182957806	0.7195516640611648	0.04533560074791224	0.06338024697797699	0.3119712969061658	0.2299563984555887	0.3139662389002463	0.6179786535608431	0.6482087071653857	0.5950912344080239	0.5888878564604626	0.2044431086918455	0.37055139225103984	0.22207978171574058	0.36814078955274926	0.21617528047055098	0.42996005434070994	0.5990914243571792
LOG_EVENTS_TYPES	0.5974494842511484	0.5427063535126533	0.6478641829359585	0.6012833188008315	0.5102836534864699	0.11655539491142725	0.012505942143023259	0.04300594121423913	0.7833761206107439	0.5380172923911832	0.24582819935756064	0.23065205746857675	0.7195516640611648	0.7195516640611648		0.8896030371272734	0.8809343775457552	0.7313077013747399	0.1213426398472104	0.09083237273999341	0.5996627037240889	0.273091812855684	0.33119645113522356	0.37015927717323577	0.023806116945328467	0.3462857982827462	0.21686741530953682	1.0	0.24819319363316494	0.02727112565642428	0.5757934129172874	0.4529381515023156	0.538810140191409	0.5912917226278704	0.5987351713583997	0.5853926352041139	0.5354402127589637	0.20942478787379865	0.06683271588233959	0.19646502681191877	0.06374087044788886	0.18510946396127426	0.028060755378449743	0.5506313253633968
ABS_MAX_DEGREE	0.5854831511592419	0.42182455052033774	0.6658868850291494	0.4972103227299025	0.3536269742034667	0.033059650862942	0.42750092019600927	0.4761144568861695	1.0	0.8586975854075274	0.2847962737639505	0.17081532417353457	0.8835985758211633	0.8835985758211633		0.8329448155692095	0.6932424763261225	0.43916402728602366	0.3538350242962095	0.31873315629477855	0.27729020005739413	0.19136202714583472	0.2950460447184809	0.40101415407575997	0.28687290711183183	0.1899002523750221	0.1024913551911872	0.7833761206107439	0.09898526457923741	0.18433614341900006	0.4268949833787269	0.3185421297719777	0.3934552508015901	0.5679812620568734	0.5763794360979486	0.5557365369116136	0.4997732349859874	0.19312306872916885	0.35668952069634613	0.19415737872836644	0.3605622487799552	0.22170392021005814	0.3891105752172895	0.54097585221784
ABS_MAX_DEGREE_DIV	0.5539610347870226	0.462924659870295	0.6193606092947914	0.4186946237142449	0.2512963529259281	0.05344631996845992	0.5984041495894956	0.5910354347644523	0.8586975854075274	1.0	0.2242128681836954	0.07620990406325426	0.7406663758843962	0.7406663758843962		0.6001707314895321	0.4777631360288818	0.3041368259677289	0.5069559251386531	0.37220828493239216	0.12043330432725768	0.10376532178759645	0.3364047758209338	0.43454018960481666	0.3838111296106442	0.14566376542837578	0.12102002350708624	0.5380172923911832	0.06532592547993074	0.13264923543012125	0.4351141518108609	0.2759597557438205	0.3508794373873208	0.5574469958107393	0.5306572764632704	0.543666539429207	0.44343018172542403	0.3500902656340852	0.5250122737351275	0.3572735147137415	0.5328794504514962	0.24197542422897836	0.5361714571490831	0.535500707386977
PN_PLACES	0.4349210722430925	0.5016233889277683	0.37171301817989755	0.42982135203655863	0.2991975442035082	0.21091759025475357	0.43048214393941053	0.25826707065668186	0.40101415407575997	0.43454018960481666	0.048993049849662774	0.11084566549036688	0.44014648844028514	0.44014648844028514		0.34992550508691594	0.3955165223577166	0.44560572173009333	0.11405433910270223	0.08589169722618555	0.6007802102579354	0.07748821375719284	0.9389177105393959	1.0	0.39913008743577655	0.25849722406764775	0.25161258132493697	0.37015927717323577	0.3024304698042587	0.07743476107440835	0.5575651163682883	0.5268755428063603	0.5764769706873495	0.5586924275981408	0.5608880997447961	0.5225406731052835	0.5371609379341165	0.20118573010762825	0.3581711838335174	0.20766740137304573	0.3809977090973291	0.4947419064563693	0.3956180023778356	0.5328602469788039
PN_TRANS	0.4172899391136881	0.5160796245886405	0.3399636165035691	0.4173509404254179	0.23343774030695966	0.21442455730182614	0.42527711027470533	0.18485454115165573	0.2950460447184809	0.3364047758209338	0.0303911513291073	0.07886052128676097	0.34871343901799173	0.34871343901799173		0.2590216454115869	0.36473981622942525	0.38423427858512677	0.08254306174051766	0.0015633721141703053	0.5949381692296553	0.20272195203855078	1.0	0.9389177105393959	0.4672242819735563	0.17836011848439406	0.26577208370171423	0.33119645113522356	0.27952576757373454	0.17964183003541206	0.528964204564086	0.5179496899704092	0.5762616361130355	0.539701658642914	0.5362235151648044	0.5017196138315141	0.5260686570218632	0.1924850509763885	0.3666268683900212	0.21506745707371572	0.37896102283188565	0.4924534918252437	0.39379273973301354	0.5239374681194557
PN_ARCS_MEAN	0.45800554734986715	0.36930569957907766	0.4185533913857238	0.040677523444687835	0.10092914545778024	0.33042835654836206	0.6980855084155242	0.6144953214508709	0.28687290711183183	0.3838111296106442	0.0435534343759225	0.09714668263685149	0.4213913744275109	0.4213913744275109		0.0769501690835597	0.0015064735662208063	0.05643218839485663	0.6455422521998597	0.5200975364859619	0.005903229635400348	0.4570239915726117	0.4672242819735563	0.39913008743577655	1.0	0.5186941659499267	0.07009720770580376	0.023806116945328467	0.026779928224159037	0.13574252500162737	0.15895370015458915	0.17865727239883117	0.21700973837184323	0.45526059974902616	0.49605836261339825	0.4214091836225296	0.495229644044923	0.40212472271341176	0.5685339434514914	0.4239640397005086	0.5474012033240917	0.07316174468014075	0.5803831781457054	0.49313853781710254
LOG_AVG_EDIT_DIST	0.4758697301494867	0.5388735604727516	0.4212206232112101	0.48568660904632754	0.4038795780972876	0.025918922792680772	0.0722553172758735	0.1552281022484132	0.3934552508015901	0.3508794373873208	0.04319655678207491	0.047900180082743334	0.3139662389002463	0.3139662389002463		0.5261138118353529	0.6340784609910175	0.4960566669741723	0.19344914121468282	0.3035118273609892	0.4460341097350628	0.22734378565168	0.5762616361130355	0.5764769706873495	0.21700973837184323	0.11523003679628128	0.38914071803245254	0.538810140191409	0.426253242654122	0.2065228756413443	0.8423124514705584	0.969053752358099	1.0	0.5405879739183083	0.4898408787308276	0.5233397746471593	0.4649983744217829	0.3683851734435954	0.1567297977000097	0.3399421979013928	0.15665066675170317	0.030078014568078012	0.11142568363851274	0.4798059088632086
ABS_LOG_LINK_DENSITY	0.4411602581210004	0.43530529162680487	0.4342427173792799	0.41514499321603204	0.546209098531209	0.04200985708168902	0.20551312502937183	0.2006421669018759	0.43916402728602366	0.3041368259677289	0.11415673280677159	0.033219559197217724	0.3825628755048201	0.3825628755048201		0.6595656107804242	0.6740563868258856	1.0	0.340072753154541	0.27955569422526494	0.8321704561421135	0.366760597832817	0.38423427858512677	0.44560572173009333	0.05643218839485663	0.3150171733231997	0.06154322593104323	0.7313077013747399	0.1806632051220254	0.08040867655113704	0.5657668374777438	0.4866497167446266	0.4960566669741723	0.4699323084722952	0.4972465225703998	0.45419831367868374	0.4898159407252434	0.31403104013813754	0.26950461907338924	0.32638032207329776	0.2440191485618953	0.20436866495292058	0.22761773182406975	0.4564826246140535
ABS_LOG_MAX_DEGREE	0.5066145423636672	0.3759947031536168	0.5726422497183804	0.5217795816146646	0.5827522188653941	0.16264414915640624	0.011692334406516972	0.00017594591775584397	0.8329448155692095	0.6001707314895321	0.2557897196355243	0.26176939152196865	0.6419107637169755	0.6419107637169755		1.0	0.8858423731153258	0.6595656107804242	0.2206985935105878	0.1758885883354805	0.501484341748792	0.39942488766076817	0.2590216454115869	0.34992550508691594	0.0769501690835597	0.3818831340932181	0.18692954561576838	0.8896030371272734	0.18344709428104677	0.18277078001143987	0.5869448862969221	0.4651291967005774	0.5261138118353529	0.49918922899983853	0.46697423145013617	0.49818514571627376	0.3910689533375611	0.129193097801673	0.027975641815672556	0.14159503189843053	0.017089462529556995	0.1286584704173321	0.006567810791674986	0.4507758511541799
