	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND	DISCOVERY_ALG	PRECISION	FITNESS	TIME_MARKOV
TIME_MARKOV	0.15497933907556707	0.06261049710910058	0.14954681658595043	0.11864435745106572	0.10238463801465825	0.06880903948462616	0.20786019214224297	0.4170987269741377	0.09587063119295375	0.08339983963605295	0.15813998215044572	0.04048543389424982	0.23053724315671678	0.23053724315671678		0.11937049992428844	0.27343562562244794	0.11641734290991376	0.3694437413423707	0.4628017182587791	0.1175726807148234	0.06896490525318011	0.010592555637222056	0.059960727222479714	0.04247903510498293	0.17247317090809683	0.25414773385658246	0.1727414593762382	0.3056575562036196	0.117790091968024	0.024080463663479264	0.007832820820556521	0.124547422322281	0.14957926308312378	0.12454463310032737	0.12454463310032737			0.07700253797918	0.07686989433311524	0.2725600816059298	0.3259319049223888			0.05656959633361738	0.05579309900845839	0.1367712363587999	0.15265534287418858	0.13231658300933766	0.14590737743678597	0.19861454152255562	0.2462993272416749	0.1932788764353061	0.23383902634099898	0.05572555733913838	0.16622023281415285	0.07133558833706509	1.0
ABS_MODEL_DEGREE_ENTROPY	0.24121636491574575	0.10050243961407133	0.2573647626694187	0.06273131358215894	0.24548410822126396	0.1727960542414136	0.4895884921606023	0.9060865443544284	0.30846052768509163	0.35564174649213154	0.2024877384860685	0.04579668431042571	0.5127435835336086	0.5127435835336086		0.15586574920093302	0.3129661552693689	0.2635247475374578	0.8351562365958138	1.0	0.32525536369494257	0.13084168817930314	0.08184201228247848	0.15276625677959405	0.05297866331763416	0.2853269755169363	0.26809088970375444	0.18290791273563553	0.14035738902261533	0.012190359811878987	0.019593531115506893	0.09279936178766274	0.48564097025957326	0.3280407156977647	0.4856501794288278	0.4856501794288278			0.1771123439656514	0.18109287353696119	0.5380207395326008	0.6405231119684994			0.01864059493055439	0.02841876710366321	0.22352432897470953	0.2678376066796981	0.20794841581836598	0.2493818953701287	0.41760798809760424	0.5089118110982926	0.4087346882284153	0.49566826840102507	0.0726609304417154	0.33538514222984656	0.1553562804464121	0.4628017182587791
ABS_EDGES_ONLY_IN_MODEL_W	0.36255754886129227	0.190006292977727	0.36586676690733144	0.07499814687473223	0.15347273980291248	0.16518885644123843	0.6607086413623718	1.0	0.4666352691257433	0.5749359856364116	0.27641646287473365	0.0293697725955155	0.610163364395262	0.610163364395262		0.02210388708128625	0.12342799807251167	0.1762807193910526	0.8265057060975456	0.9060865443544284	0.19269367747098556	0.11402236998435611	0.05574328607142024	0.13068584614048614	0.1230817998629521	0.1337394872641515	0.1543113963490973	0.0553870748845005	0.18143804990233522	0.15757840689270253	0.20522613906067966	0.2661011628000444	0.5916329075377738	0.2584613378989875	0.5916395996106558	0.5916395996106558			0.2537272977439254	0.2551242842537472	0.4898723626993657	0.6010755569597112			0.11119359448654659	0.11862201714715742	0.3548430037314118	0.39396404544471214	0.3340317280524357	0.35706813591624575	0.546659118314536	0.6730597549046421	0.5337857088939668	0.6578219941881875	0.20002635849976022	0.4530253232345334	0.2487282066668176	0.4170987269741377
ABS_MODEL_MAX_DEGREE	0.20386892257043862	0.08870322820262488	0.22430925812439542	0.018387348283319116	0.3546974170390519	0.20411060042672213	0.6616268817752169	0.8265057060975456	0.3599789192178104	0.5035616761913448	0.09595417383946953	0.08952920163572863	0.4478440238147741	0.4478440238147741		0.18363287124293634	0.23580684601536736	0.2877698495077289	1.0	0.8351562365958138	0.3133526956594142	0.10483521723176126	0.08982495078088974	0.11218790793890748	0.04370750785503329	0.20939389608080747	0.14805103950028561	0.09065952523365578	0.3557223039850146	0.2057444387444191	0.11039684393639213	0.12216063116417807	0.6246907066367149	0.31583314947170515	0.6246865484345376	0.6246865484345376			0.1609985262610426	0.16995679138362607	0.48194122268839973	0.5948549435331547			0.06613713793406799	0.05920308102050413	0.1756882617866429	0.2621207910035327	0.15396428081482283	0.25494262829534287	0.49760908691189054	0.6111832299003757	0.5073803733193902	0.606154082960199	0.22566247569671413	0.3791408330803415	0.1371586018599634	0.3694437413423707
PN_OUT_ARCS_MAX	0.14303583295635497	0.008901495062940891	0.10611502926391121	0.16205819355474646	0.26731410538423467	0.0779981429031566	0.3740467436742081	0.6010755569597112	0.07674247640412511	0.14719505962692314	0.08657238955725703	0.13426479288511545	0.21906267249893863	0.21906267249893863		0.2525992781547347	0.3186476458471229	0.20256025950971307	0.5948549435331547	0.6405231119684994	0.3028221453758955	0.1689139358635429	0.1932406647414489	0.16026965713658214	0.01169461764522738	0.23391494148487513	0.052127260225596425	0.006086700135283574	0.2976753534403754	0.04603244676088568	0.018624229365981963	1.455258184459368e-17	0.6596774023902501	0.8737933474202549	0.6596964502577529	0.6596964502577529			0.4068814416088945	0.4166738829950969	0.944356997192169	1.0			0.46569090055511336	0.48077376688515566	0.14518703291944868	0.1878825329684391	0.13016248228906172	0.20719471243808352	0.2445177644947163	0.3380068462372196	0.2410838155116884	0.2947183027629356	0.21264250800992823	0.2532256656450904	0.14317444165849413	0.3259319049223888
PN_SILENT_TRANS	0.034036781220850514	0.055094703412651484	0.006312911386373976	0.09310655757890877	0.34164149557430773	0.027100739811697395	0.32305743666302844	0.18143804990233522	0.10787531254078879	0.023228863342792797	0.17307406603207529	0.16641370387614585	0.05332295041536593	0.05332295041536593		0.3144617821918451	0.21204881762599745	0.25292410343793104	0.3557223039850146	0.14035738902261533	0.13062845107466983	0.005390512842099142	0.18784041964685882	0.1598529400726888	0.15067810568448922	0.19886329808607647	0.19053015265972872	0.1631730445196222	1.0	0.6230447999515385	0.21168595936992002	0.05222649199443456	0.4665365651802163	0.32722637838135094	0.4665077152993022	0.4665077152993022			0.2221319815089409	0.22029897028671402	0.31513862250446373	0.2976753534403754			0.41691705173336757	0.41423953898875926	0.0015572242631155717	0.024091456970886858	0.0071408223565257445	0.046735863016177326	0.3143422437884329	0.37345335824093584	0.33694134861868175	0.35054240554776056	0.2159126571974236	0.24224656171894743	0.04399664293182347	0.3056575562036196
ABS_LOG_DEGREE_ENTROPY	0.37718146021920007	0.44727848156954486	0.41019817565401384	0.5964541922095778	0.4924652903670705	0.15001658631819498	0.0906211682317474	0.12342799807251167	0.7164851234244131	0.5014189567469972	0.11676615372001335	0.22915716394165037	0.6448745567486407	0.6448745567486407		0.8925789606697594	1.0	0.6657776837071155	0.23580684601536736	0.3129661552693689	0.5759793544788784	0.14741582998685349	0.8890779946885654	0.17205659152973007	0.09521331992314373	0.614701768187708	0.5650543624936967	0.5711422768458437	0.21204881762599745	0.27355376856035224	0.3723780747964886	0.38987168413170964	0.07569649390464768	0.28625028247961354	0.0756940701826322	0.0756940701826322			0.2049594456849932	0.21258418661506304	0.2709987418031655	0.3186476458471229			0.30997352941744244	0.3260728291615772	0.41394282177047864	0.43334891324300495	0.42520425286817803	0.38624158408506615	0.14458555720902094	0.021862799743424227	0.16131622928206296	0.012347910958348201	0.1845798594693351	0.07754662622818917	0.11541126722439463	0.27343562562244794
PN_IN_ARCS_MAX	0.16166797938320998	0.034129873531187335	0.11982121788879742	0.11540313772748909	0.22636285412358045	0.049309906286436445	0.27703906917508997	0.4898723626993657	0.054843082494918906	0.10199635664063705	0.06238404782062029	0.09345042153302174	0.1803696208529314	0.1803696208529314		0.2117517112702247	0.2709987418031655	0.1901377657888735	0.48194122268839973	0.5380207395326008	0.31515620589580245	0.10014791365487559	0.15707396749158684	0.11406538886249581	0.06315028210447614	0.1553487450611845	0.0013017836117701017	0.046758818425216835	0.31513862250446373	0.016605769634780783	0.026855140192626543	0.0728051808891862	0.6361928413476475	0.9355577063763618	0.6362112315922146	0.6362112315922146			0.5855184197045474	0.5956497982669093	1.0	0.944356997192169			0.5625548047504789	0.5784959150374793	0.1515822549050366	0.17271706347716528	0.14396249237552247	0.19855474128209316	0.1424590735679908	0.22514248033020268	0.13899904884428224	0.17653521535948904	0.3519559008208846	0.19433769073540524	0.0844460065254574	0.2725600816059298
LOG_AVG_SEQS_LENGTH	0.24835787416325666	0.3687973321088359	0.1958666657717702	0.4069507429893052	0.33393103711020317	0.0011003000476573186	0.12196465351289343	0.1543113963490973	0.390342621429239	0.32936136988417797	0.14502764407375793	0.019983148870616432	0.28749516545771514	0.28749516545771514		0.49614816930016264	0.5650543624936967	0.4637737771000117	0.14805103950028561	0.26809088970375444	0.3850337066974358	0.31434409981242617	0.4853753666290508	0.3891525145538015	0.12372280006597927	0.7614722744941218	1.0	0.974269671529883	0.19053015265972872	0.2424382431931084	0.525833540151729	0.5419227447809987	0.23924075066251776	0.03257316043596818	0.23925172175446635	0.23925172175446635			0.14278667237787798	0.13501669667914618	0.0013017836117701017	0.052127260225596425			0.002843368668355347	0.0065697393733726624	0.3769916995530403	0.3600776626182993	0.36467655263210835	0.3633761496376695	0.2699223035996606	0.08904434134292573	0.2718759531814615	0.10131045128496881	0.01170932190669841	0.0321215820328871	0.19040231661566023	0.25414773385658246
PRECISION_50_RAND	0.013842025687791141	0.05939360447755218	0.020494568120041343	0.07734761410174437	0.17627869894369483	0.0548622459470197	0.8798307526130148	0.6730597549046421	0.3657292131488144	0.5296536372764261	0.15645880325277345	0.043820996099074035	0.38534991824099885	0.38534991824099885		0.04196735292585775	0.021862799743424227	0.08192947107660718	0.6111832299003757	0.5089118110982926	0.10138446435912796	0.07281095412135521	0.03240567941800071	0.1789129936437922	0.057860787390047304	0.08555143283256225	0.08904434134292573	0.04023048578091159	0.37345335824093584	0.40847260168062094	0.37851617562829626	0.3650709381729999	0.5708680085997174	0.10349493972091386	0.5708716126580794	0.5708716126580794			0.2603158373095149	0.25765842027029673	0.22514248033020268	0.3380068462372196			0.0612953387582886	0.05099196702435169	0.11129517012471242	0.16471384938561923	0.11213750601458033	0.11515152881003841	0.8869429270494951	1.0	0.8611880874113205	0.9686184666409581	0.34566712071107514	0.8714891166248776	0.03645059323081619	0.2462993272416749
