	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_LOG_50_FREQ	PRECISION_LOG_50_RAND	PRECISION_LOG_25_FREQ	PRECISION_LOG_25_RAND	DISCOVERY_ALG	PRECISION	FITNESS
PRECISION	0.2610338188942012	0.10246564370885429	0.2553706105268276	0.15443009856680656	0.09467996449564775	0.13998021611992675	0.8129913936904481	0.7381366454669901	0.5469285706936894	0.683883406589776	0.05161571810417789	0.13820759097812177	0.5834728408077563	0.5834728408077563	0.3487730215697523	0.07691752818633033	0.10642947858588332	0.0776876257112989	0.7246570436572186	0.567084530516914	0.46775170238582664	0.39046947278314176	0.41786515955126596	0.40943418117155966	0.604440349330414	0.09363683151231313	0.06867805735396894	0.007169921220262617	0.14810627512047414	0.08259693216455191	0.10007511304557774	0.08404441423977711	0.024223864983286093	0.20111601515234834	0.3072283133330928	0.22400337259731068	0.2526194228282848	0.8727057083992017	0.9690742482141325	0.842386678484863	0.9306183275915038	0.4093729479588771	1.0	0.21889331134693502
PRECISION_LOG_50_RAND	0.2097808214948941	0.051015380014003096	0.21302953048036444	0.1406236739671262	0.12506685453840302	0.1764299148907206	0.8342424961071141	0.7029256530047189	0.512050240952574	0.6668277961823494	0.04301768291595382	0.12344729529499313	0.5378353219613596	0.5378353219613596	0.3326707047510671	0.03929320695978477	0.08671274877363776	0.11115416121371996	0.7209083188029812	0.5244983923017754	0.5080907013618405	0.41800063327967263	0.3960879599562331	0.37669002946395425	0.595517973899215	0.06824066196177253	0.07377366934225674	0.025716361587812556	0.16629063321819765	0.10381988273341539	0.12929935586059632	0.12999662885078037	0.06901050293435917	0.1609259228638421	0.274404317833643	0.19301142612668462	0.22223339001243145	0.872048956142637	1.0	0.8444429497511419	0.9632641734600246	0.4586746034630127	0.9690742482141325	0.21470228300817917
PRECISION_LOG_25_RAND	0.1956506780689276	0.05156077493235646	0.2020524861641091	0.14564052186836596	0.1268241975840043	0.17388155291010166	0.8461593157431865	0.6776703046418706	0.5125207962890139	0.6639493750683905	0.0424736183639653	0.11313895742725326	0.51719168640967	0.51719168640967	0.3366888038567912	0.04944645499652756	0.0909388741107776	0.08058028712754141	0.7128021609723691	0.5028969306124738	0.49902811049027773	0.3892245191309001	0.4102694625857157	0.4019360383663434	0.5792211297901534	0.009814395040355983	0.08543604802762583	0.01995495011087354	0.15822886099961925	0.1404314996627038	0.10688693246245641	0.14084010833708008	0.08246869255733662	0.17062127693425885	0.2970475189332935	0.2006091179568008	0.25946126251994	0.8550315869957521	0.9632641734600246	0.8373510593556163	1.0	0.47765742066184874	0.9306183275915038	0.24507711238130717
PRECISION_LOG_50_FREQ	0.011534733526469328	0.12353256952633067	0.02074825185151552	0.08793004697726618	0.007772062017200933	0.015501835362740643	0.6656097668385232	0.5874666973998258	0.3280050327412271	0.49512036908519497	0.1251840438954877	0.14502129777849967	0.4315757955845838	0.4315757955845838	0.15493482482379606	0.08004384117396716	0.05704246917720221	0.18854048104435467	0.5990305164036532	0.4500484402938702	0.47135023318394803	0.34690360478033916	0.2146557664073102	0.2069904529170476	0.422946461291475	0.01749430400578758	0.16048170000784537	0.19405918505429864	0.2224760864281004	0.1432490418017672	0.2802622317257885	0.33062706279238063	0.29419328281415563	0.015041828537541288	0.13429190315174586	0.018641500251992703	0.08149223592868458	1.0	0.872048956142637	0.9698045997235182	0.8550315869957521	0.40959266840294906	0.8727057083992017	0.11382909355298966
PRECISION_LOG_25_FREQ	0.006323608451221086	0.11161265835925914	0.008117666793359974	0.05284763288076317	0.03910410409713007	0.026639854403175605	0.644272119275735	0.5678487596614413	0.27957980694462536	0.4706514810256233	0.1063410797994992	0.15662273192862602	0.41028222347458887	0.41028222347458887	0.13062389011448247	0.13723564340565134	0.08886367853769807	0.21755965514855152	0.595084194210362	0.4352706401664075	0.4908620632754222	0.3692191698053072	0.20033005855527863	0.18301518981917023	0.41249964810638373	0.013302443366314696	0.1604748173934271	0.212881744062143	0.219741622954287	0.14941090876925692	0.29403237583214076	0.3291222237696892	0.29248909357314756	0.006966870849203528	0.13410510545027887	0.012682562092349305	0.08304579458660732	0.9698045997235182	0.8444429497511419	1.0	0.8373510593556163	0.3905887483925865	0.842386678484863	0.05584717250378525
ABS_EDGES_ONLY_IN_MODEL	0.273012681512205	0.19259757751203255	0.26003101562309533	0.18858892975765604	0.05026124194238258	0.255907095262239	1.0	0.574882365483629	0.5184685345559118	0.6228835600362421	0.034062080004207865	0.2037785375914082	0.44454010619569473	0.44454010619569473	0.40305408125275116	0.058269645161160365	0.1605480580471483	0.07702391755163485	0.7152971921724904	0.41456024568218514	0.5371954314775147	0.43078129667023524	0.5247910815618104	0.49170888865632345	0.711437677113395	0.11911015944559705	0.008177943879418092	0.06427759826584048	0.029006964209803	0.14835482960088703	0.1028050403583163	0.12635795219519183	0.16965915584117855	0.2168007083126073	0.3548069768749047	0.24453008388527492	0.32955932539922334	0.6656097668385232	0.8342424961071141	0.644272119275735	0.8461593157431865	0.4445687499846345	0.8129913936904481	0.3234940029337167
ABS_EDGES_ONLY_IN_MODEL_W	0.37623919842807574	0.2036142925528417	0.3822538715146582	0.06946339890936053	0.03631073078582346	0.16854497026641488	0.574882365483629	1.0	0.5626627037700682	0.6640605241951397	0.01971275709918618	0.017862794324253528	0.9375564340420773	0.9375564340420773	0.36109491455821924	0.014623015939998367	0.0290400910472668	0.12164514138809347	0.8260207346113083	0.9384215171057891	0.4836796904312873	0.18650447523429156	0.1823975986490836	0.24415772489169346	0.5920297393023115	0.27921848488966877	0.12221755055729894	0.042881950765403846	0.1579425678049317	0.08307376935267402	0.18481298016822495	0.19816715346172872	0.09768171206572308	0.3317608326465076	0.3736974317404955	0.3242900760360385	0.34492370462516214	0.5874666973998258	0.7029256530047189	0.5678487596614413	0.6776703046418706	0.17931967422542486	0.7381366454669901	0.22016983455261413
ABS_MODEL_MAX_DEGREE	0.24954890661009516	0.15382020942412072	0.27010057105031116	0.05504989939721683	0.08996041474959304	0.14827753251513529	0.7152971921724904	0.8260207346113083	0.5162953568214097	0.6509214875711079	0.12247292988039546	0.09884527533435976	0.7613831129771055	0.7613831129771055	0.34863841394786044	0.15480404677791804	0.0491280197840747	0.29036356753226894	1.0	0.7805274602428773	0.6609235010839236	0.3776290056602137	0.19897272417657283	0.20834507036092584	0.6987098974054681	0.31486188610878063	0.10093687520219574	0.06123241237841269	0.107741536936302	0.049262118747928726	0.14772000922978468	0.10014092298108138	0.0472848663264927	0.20854325242171018	0.32670930369357654	0.20575788363994812	0.3129279688050662	0.5990305164036532	0.7209083188029812	0.595084194210362	0.7128021609723691	0.2671877040120369	0.7246570436572186	0.16476890717002565
ABS_MAX_DEGREE_DIV	0.5269816599526495	0.3864623802122157	0.5605626320604052	0.3539351131119726	0.381614121931906	0.1781337400869706	0.6228835600362421	0.6640605241951397	0.8565736245105324	1.0	0.08885847947646465	0.04485646914776919	0.5809416644498699	0.5809416644498699	0.6592508481586175	0.493735831482998	0.4535751930668845	0.36637866643373806	0.6509214875711079	0.4880587171957466	0.24307108271873612	0.007378180421197227	0.3559234096303886	0.4300866416566017	0.5084910928564624	0.025374215314039873	0.0048952071488709	0.4231516855754656	0.003660857460445837	0.18613031469560307	0.3053538702693046	0.20058022403784637	0.2778048104682059	0.4925823588798863	0.5306429368250266	0.49275597101079865	0.441066717215532	0.49512036908519497	0.6668277961823494	0.4706514810256233	0.6639493750683905	0.2866020443200226	0.683883406589776	0.3556025093060422
PN_ARCS_MEAN	0.4736150309769034	0.37567730037930824	0.44240416891432854	0.08859397271364174	0.0438422824972292	0.20578915630492078	0.711437677113395	0.5920297393023115	0.4381970883042115	0.5084910928564624	0.22215533154120812	0.23303815986537454	0.5140789808753773	0.5140789808753773	0.2920208322397882	0.00924584072394978	0.04236638347434324	0.08451936412073839	0.6987098974054681	0.5088398713978833	0.35592270410403637	0.444217517282709	0.5017924985251061	0.44188703606029034	1.0	0.530671963195923	0.06399713620848044	0.0693025291893462	0.0008501438349102653	0.044122478892459474	0.19966880631728626	0.2274883341473788	0.2553922612235934	0.43783753631620526	0.5342626625560732	0.44591917752791627	0.5251465083632482	0.422946461291475	0.595517973899215	0.41249964810638373	0.5792211297901534	0.13878067680134043	0.604440349330414	0.39191538357441147
