	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND	DISCOVERY_ALG	PRECISION	FITNESS	TIME_MARKOV
TIME_MARKOV	0.017567712197699044	0.12304834548195172	0.01986540003171493	0.0305093300504177	0.19131214009563852	0.08213632111772706	0.3365535708340845	0.3044179719841267	0.17752414943817474	0.1302999976258999	0.06378986763801882	0.032111442336537316	0.2928809211957048	0.2928809211957048	0.1200660249466119	0.11526439269515384	0.1582092457593306	0.22532087389312005	0.40181251950931285	0.31840193649360526	0.32011886554554503	0.018683036155109894	0.13360916891362623	0.03790610765410338	0.036483253423357384	0.1638155099560669	0.023845604510563684	0.03442911479328469	0.2888470695765287	0.18665937949396447	0.11166489384635173	0.09726380247545567	0.30102151988637166	0.09002480356800463	0.3010367544537254	0.3010367544537254			0.09517049587526563	0.09346298325761905	0.0638328097691279	0.03345841613438353	0.05631531149918093	0.005680133057581229	0.25516251602893303	0.2928424007298736	0.2603563657768727	0.29365402465916934	0.14849106749848112	0.16934839011185873	0.060055469661492576	1.0
ABS_MODEL_MAX_DEGREE	0.2580778225710784	0.14058440217166124	0.276185540341347	0.052573508841805644	0.08116295053497326	0.1405375261955363	0.668625500358591	0.8247057394440189	0.5207629461258998	0.6451802456313673	0.093267457501254	0.07826577706224395	0.7598097291301739	0.7598097291301739	0.34948755855424624	0.13907701676318365	0.04834396045676784	0.26799619166868854	1.0	0.7781048109555618	0.6564361096275715	0.11132786515995276	0.054935384020697475	0.10480291764753871	0.07181683842315614	0.15120237932130287	0.10410472308066891	0.047550863085428385	0.38386068884564084	0.2862847903122323	0.20085486771097144	0.20530760240849993	0.6800381707456781	0.31783609942930036	0.6800342839819729	0.6800342839819729			0.17396753531772557	0.18029332177264254	0.22814098539016567	0.3197706674675441	0.20153562729263272	0.304113655439454	0.5330804748494894	0.6491051565493253	0.5335462015918321	0.6474110261138093	0.27549267513718595	0.4179470744140073	0.18022426950624482	0.40181251950931285
ABS_EDGES_ONLY_IN_MODEL	0.16747727974275514	0.2165720541280102	0.14170541770399353	0.20261035310060854	0.040610262221761624	0.26441171331785096	1.0	0.5380439082649436	0.4916993932770248	0.6049237099482614	0.0595426222083876	0.2147020034099741	0.42279854295619124	0.42279854295619124	0.40386707728091276	0.07237536930907733	0.18213997868952958	0.0244929461266044	0.668625500358591	0.3868144890501647	0.5201563756230613	0.007272950702838518	0.09804102627895109	0.01291042417340095	0.11487150141956493	0.12695862540443928	0.15004642686841418	0.18454743896839879	0.4040233527255751	0.5206230439374927	0.5166259975538552	0.4869295703508355	0.6841654000853129	0.13410179168096073	0.6841701407194197	0.6841701407194197			0.16350091984485296	0.1726516005737683	0.19012884188362406	0.2587004162944006	0.17090059126019072	0.23383756903533723	0.6902865977019291	0.8407383929004906	0.6703625648523422	0.8530613225058025	0.37612230724611206	0.7072711311895925	0.12044494357383699	0.3365535708340845
ABS_MODEL_LINK_DENSITY	0.18317307159708618	0.2866483043678428	0.1611137559962196	0.17641806080313546	0.2246734005093513	0.09272180513375387	0.5201563756230613	0.482834965575658	0.08848359122894861	0.239831080025929	0.12615902994158537	0.1534664897330132	0.3386411813883939	0.3386411813883939	0.0057868999815583145	0.3795947719770603	0.3279198291173596	0.6659821849214047	0.6564361096275715	0.41885674361993347	1.0	0.13899098351988645	0.4335031080004028	0.23606955598089385	0.05505787156230882	0.47106425137122093	0.3505635928302188	0.3164818527910816	0.4244747397119865	0.09516074778487565	0.2951138649877319	0.3387738914235882	0.34305069249229575	0.3678493610768237	0.3430501365688497	0.3430501365688497			0.11604375153088996	0.10019011743315968	0.2372305336481788	0.16291910566467413	0.2497952673405205	0.17346711363468464	0.44315764708953126	0.4758168648462173	0.46405774071022693	0.4708276282995877	0.07198910900257052	0.3089234956353011	0.09300247661514993	0.32011886554554503
ABS_MODEL_DEGREE_ENTROPY	0.29389576674146173	0.14679306901667954	0.29959990193854197	0.00754851326623326	0.08430756765261747	0.1174068286283814	0.3868144890501647	0.938408965020218	0.4364748095735747	0.47259667149320456	0.006776488168629123	0.019232371350458462	0.9756476947681948	0.9756476947681948	0.25856170504279713	0.08245822544377679	0.080503902472721	0.19105288668207224	0.7781048109555618	1.0	0.41885674361993347	0.12376966674929468	0.03216185483154125	0.12814281250833953	0.05893354606195909	0.2581502650976037	0.25293589294038266	0.16618339283111852	0.12474724327214698	0.032114371377406914	0.08407070988732963	0.1564254222310347	0.4798609289182992	0.31446761953906927	0.4798708358198089	0.4798708358198089			0.1865367499395496	0.18762995107797018	0.26864878665509284	0.3078387077115941	0.2535316161309278	0.2952291687877821	0.40267451019368455	0.49050428028200094	0.39186978311415666	0.4741401214974069	0.09112433079779682	0.33029178488004723	0.1733442658870768	0.31840193649360526
ABS_EDGES_ONLY_IN_MODEL_W	0.3775003500096174	0.1914997293680527	0.37984943532795745	0.06364162420746117	0.04193718891508973	0.16256293167438765	0.5380439082649436	1.0	0.5515480686605695	0.6463810070269865	0.03060473041898837	0.009862978553324261	0.9369031213939217	0.9369031213939217	0.35272706133785997	0.01309473586393206	0.022004590946196462	0.12537570133720252	0.8247057394440189	0.938408965020218	0.482834965575658	0.12382658170657558	0.03371126523572251	0.1535541204848818	0.09340255373369741	0.1904621546349311	0.20363527083353472	0.10171796111223037	0.1888555871969091	0.1389044431600855	0.17965110907942258	0.2392603212953094	0.5623774136341327	0.2686526591095706	0.5623849743670124	0.5623849743670124			0.2508656962504218	0.249424795441776	0.3441068413401649	0.380700314917027	0.32427721330988224	0.34875969120390893	0.5269574390335525	0.6454218105541668	0.512474807194675	0.6273637107261504	0.18966927966732963	0.43365803951434806	0.22311516606757917	0.3044179719841267
PN_OUT_ARCS_MEAN	0.3914705078932848	0.36701947927917417	0.3521454209111574	0.10677640599668695	0.023202053946216345	0.20191680479045415	0.6841701407194197	0.5623849743670124	0.469249173181005	0.538688304240186	0.17409031942121125	0.19492130131327598	0.4939231647451938	0.4939231647451938	0.32267825324293037	0.04732602820349583	0.0772478993449963	0.004965695044242935	0.6800342839819729	0.4798708358198089	0.3430501365688497	0.09638806479159998	0.12597881264848343	0.017136623341078253	0.0761049032828569	0.2116805729431874	0.23925172175446635	0.268855695202652	0.4665077152993022	0.5678391479796434	0.5019359802424698	0.4311039111026791	0.999999993422128	0.5602644531598324	1.0	1.0			0.20294574244674063	0.20979526958337738	0.4115250550426545	0.46639805373944143	0.38964574286275644	0.4571779196607315	0.4151970693885882	0.5708716126580794	0.4062456067215913	0.5585432530750681	0.11031745108814828	0.4610742732290924	0.2501583243330223	0.3010367544537254
PN_IN_ARCS_MEAN	0.3914705078932848	0.36701947927917417	0.3521454209111574	0.10677640599668695	0.023202053946216345	0.20191680479045415	0.6841701407194197	0.5623849743670124	0.469249173181005	0.538688304240186	0.17409031942121125	0.19492130131327598	0.4939231647451938	0.4939231647451938	0.32267825324293037	0.04732602820349583	0.0772478993449963	0.004965695044242935	0.6800342839819729	0.4798708358198089	0.3430501365688497	0.09638806479159998	0.12597881264848343	0.017136623341078253	0.0761049032828569	0.2116805729431874	0.23925172175446635	0.268855695202652	0.4665077152993022	0.5678391479796434	0.5019359802424698	0.4311039111026791	0.999999993422128	0.5602644531598324	1.0	1.0			0.20294574244674063	0.20979526958337738	0.4115250550426545	0.46639805373944143	0.38964574286275644	0.4571779196607315	0.4151970693885882	0.5708716126580794	0.4062456067215913	0.5585432530750681	0.11031745108814828	0.4610742732290924	0.2501583243330223	0.3010367544537254
PN_ARCS_MEAN	0.391470887379442	0.36703507706842187	0.35215067879150225	0.10677139732526694	0.02319150588860424	0.2019200422268457	0.6841654000853129	0.5623774136341327	0.46924151051578267	0.5386874070910671	0.17408543352575365	0.19491055374924995	0.49391293577332174	0.49391293577332174	0.3226754927616644	0.04731539185160477	0.07724802770829034	0.004964423365231915	0.6800381707456781	0.4798609289182992	0.34305069249229575	0.09639000206344146	0.12597612131143676	0.01713870776342618	0.07610646029070542	0.21168319968727495	0.23924075066251776	0.2688425672250787	0.4665365651802163	0.5678617656432111	0.5019435310574325	0.43110283528990945	1.0	0.5602529117698702	0.999999993422128	0.999999993422128			0.2029356976377919	0.20978350474325344	0.41152338897957086	0.4663994204303093	0.38964684890605067	0.4571801879824247	0.41519102582715045	0.5708680085997174	0.4062438451441269	0.5585394421108874	0.1103370852648616	0.4610711977944901	0.250143799970437	0.30102151988637166
PRECISION_25_RAND	0.06598264388989875	0.09590666825293617	0.053403279665377376	0.16115213121516545	0.1045319590486634	0.18728651092972	0.8530613225058025	0.6273637107261504	0.47530901908386236	0.6331637638642972	0.07548867751214178	0.13074756925341438	0.49621433706380447	0.49621433706380447	0.3398288477723956	0.06662137171436992	0.12368970138772081	0.009559825313465707	0.6474110261138093	0.4741401214974069	0.4708276282995877	0.083826604888245	0.03493243678523037	0.1715309058995548	0.09344021688813722	0.06740834702831396	0.10131045128496881	0.0541598912562284	0.35054240554776056	0.38680064218246824	0.3938013665176718	0.39029706515049867	0.5585394421108874	0.04952566347047261	0.5585432530750681	0.5585432530750681			0.31450374141371634	0.3118919345240349	0.12494208754106828	0.1868343033349845	0.12047292930301945	0.15128222498807833	0.8723230934648778	0.9686184666409581	0.8552853212513889	1.0	0.3692916135194521	0.8401143896434399	0.00299578505559948	0.29365402465916934
