	FITNESS
FITNESS	1.0
ABS_EDGES_ONLY_IN_LOG_W	0.9432915733482643
ABS_EDGES_ONLY_IN_LOG	0.7355822249959012
ABS_MAX_DEGREE	0.6021960132311824
ABS_MAX_DEGREE_DIV	0.5812137824058291
LOG_NUMBER_EVENTS_TYPES	0.5534601815302593
LOG_NUMBER_EVENTS	0.4369995320872199
LOG_AVG_SEQUENCE_LENGTH	0.4122666818573376
PRECISION	0.3173208990918508
ABS_EDGES_ONLY_IN_MODEL_W	0.3150288259896765
ABS_EDGES_ONLY_IN_MODEL	0.2775619827905488
LOG_NUMBER_SEQUENCES	0.1405902772606041
ABS_MAX_CLUSTER_DIV	0.05401350081321416
ABS_MAX_CLUSTER	0.010223330676760872
