	PRECISION
PRECISION	1.0
ABS_EDGES_ONLY_IN_MODEL_W	0.9024182076813656
ABS_EDGES_ONLY_IN_MODEL	0.8577728149065814
ABS_MAX_DEGREE_DIV	0.6246827810128758
ABS_MAX_DEGREE	0.5461858735586176
FITNESS	0.35243319080015945
ABS_MAX_CLUSTER_DIV	0.2994146767937551
ABS_EDGES_ONLY_IN_LOG_W	0.29283697382855006
LOG_NUMBER_SEQUENCES	0.15229612374004123
ABS_MAX_CLUSTER	0.15094514492291422
ABS_EDGES_ONLY_IN_LOG	0.10846416183245894
LOG_AVG_SEQUENCE_LENGTH	0.04543546746790678
LOG_NUMBER_EVENTS	0.043955577515929864
LOG_NUMBER_EVENTS_TYPES	0.019518613150710348
