event_log	algorithm	align_time_fit	align_time_pre	50_freq_fit	50_rand_fit	25_freq_fit	25_rand_fit	50_freq_pre	50_rand_pre	25_freq_pre	25_rand_pre	markov_fit_k_2	markov_pre_k_2
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMf	861.2144	280.6042	451.6936	392.9536	320.8275	217.0157	161.7114	130.2741	128.7145	80.2252	50.589	50.589
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project	IMf	45.6772	7.07	31.7543	15.4293	4.1845	11.2349	0.9749	3.2373	0.6953	2.0249		
Production_Data	IMf	4254.3364	172.5033	1539.9538	2463.9778	885.7782	892.6165	58.6653	95.4296	28.9742	40.4045	334.8994	334.8994
activitylog_uci_detailed_weekends	IMf	5.8441	2.1302	3.0411	3.039	0.9198	1.4563	0.9507	1.2418	0.3549	0.5728	0.0805	0.0805
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	2.096	0.5268	1.0049	1.0147	0.5084	0.4331	0.1573	0.2649	0.098	0.149	0.0331	0.0331
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMf	69.6757	23.846	49.6593	28.7921	36.2823	29.6051	12.9574	10.7516	7.1947	9.7359	1.5872	1.5872
edited_hh104_labour	IMf	3364.8103	46.7063	1758.8077	1884.9454	877.0541	787.9384	20.1442	27.2002	10.3962	10.7196		
activitylog_uci_detailed_labour	IMf	261.44599999999997	19.3401	147.0554	130.9084	83.6049	54.8149	14.4356	8.4238	10.7551	5.5585	9.4685	9.4685
edited_hh102_labour	IMf	98.0555	6.5025	50.1314	50.3712	23.236	20.431	2.8775	3.3045	1.3933	1.3234	33.6306	33.6306
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	1.3884	0.8812	0.3016	0.6048	0.1952	0.2791	0.4283	0.4477	0.2269	0.1729	0.0269	0.0269
BPI_Challenge_2014_Department control parcels	IMf	2.5371	2.3082	1.0184	1.1773	0.4738	0.6095	0.5584	1.1619	0.2163	0.7296	0.1386	0.1386
BPI_Challenge_2014_Control summary	IMf	1.0106	1.3325	0.4395	0.4108	0.321	0.1341	0.4789	0.7907	0.4202	0.1729	0.23800000000000002	0.23800000000000002
4a_VARA_CIVEL_-_TJGO	IMf	1.5615	0.4524	0.636	0.8029	0.2829	0.4307	0.148	0.207	0.0627	0.1715	0.4889	0.4889
BPI_Challenge_2014_Geo parcel document	IMf	7200.2576	1579.1057	4927.4548	6482.8062	2259.2766	2261.012	536.3397	884.1508	217.0495	436.9769	6.3538	6.3538
BPI_Challenge_2014_Entitlement application	IMf	876.865	408.849	393.9646	445.6901	143.8706	215.9992	176.3209	221.9458	57.6316	127.5767	176.6252	176.6252
BPI_Challenge_2014_Inspection	IMf	7200.1661	1128.3003	4897.1512	6877.0626	1818.6809	3307.7091	303.6979	720.2571	46.8628	343.3818	21.8552	21.8552
ElectronicInvoicingENG	IMf	0.6759	1.3813	0.2287	0.057	0.1236	0.064	0.8017	0.0633	0.5248	0.2058	0.2197	0.2197
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	3339.8081	165.7011	2527.5089	1672.8854	2088.6739	465.1909	118.9302	81.4542	88.0736	28.8143	0.20800000000000002	0.20800000000000002
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMf	38.3527	23.2483	19.576	17.7785	11.2055	7.1435	11.2432	12.6398	6.2254	4.535	0.0833	0.0833
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE	IMf	7200.1455	7200.4639	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0		
BPI_Challenge_2012	IMf	7200.1334	439.7015	4013.61	4360.7256	1333.5959	2076.819	207.4986	243.3398	70.4839	126.2431	6.8953999999999995	6.8953999999999995
edited_hh110_weekends	IMf	134.4724	20.5197	90.9914	63.9164	44.1412	1.3562	1.417	1.3838	0.5801	18.5442		
DocumentProcessingENG	IMf	0.5229	1.143	0.1226	0.0459	0.0025	0.0023	0.4773	0.0717	0.001	0.001	0.1712	0.1712
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMf	7200.3533	248.5845	-1.0	-1.0	4972.2835	-1.0	5.747	80.9081	1.4813	21.5684		
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMf	163.1421	23.225	76.5468	33.7112	6.0175	42.6565	9.3852	7.9381	2.5639	5.8297		
BPI_Challenge_2020_InternationalDeclarations	IMf	38.5866	17.5338	17.4941	20.0656	6.7329	9.8776	9.3882	11.6654	5.5305	6.1017	3.5846	3.5846
edited_hh104_weekends	IMf	345.1979	30.7968	173.8735	178.5676	93.3405	75.5201	5.1652	22.502	2.8125	9.0658	2.0722	2.0722
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMf	443.5373	151.7359	270.4166	167.4635	210.6268	77.133	106.381	91.6021	28.4897	38.2446	9.1725	9.1725
edited_hh110_labour	IMf	219.8384	17.3187	106.2056	99.9209	40.574	50.6247	2.5568	9.7067	1.1634	1.2164	10.6556	10.6556
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	346.8051	87.637	178.8824	223.5801	119.4721	89.6282	44.2933	52.0527	25.831	20.7919	0.1072	0.1072
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	IMf	482.457	24.4379	109.242	311.8833	77.7076	18.4449	4.8105	13.3936	1.7934	5.8554		
