method	mean_perc_all	std_perc_all	mean_perc_imf	std_perc_imf	mean_perc_imd	std_perc_imd	mean_perc_etm	std_perc_etm
align_time_fit	0.9221	0.2385	0.9394	0.2152	0.8694	0.3063	0.974	0.1218
fit_50_freq	0.4426	0.1878	0.4192	0.1543	0.4757	0.2282	0.4243	0.1587
fit_50_rand	0.468	0.1854	0.4156	0.1543	0.5216	0.2317	0.4553	0.1212
fit_25_freq	0.2126	0.1494	0.2092	0.1322	0.2306	0.1787	0.1919	0.1234
fit_25_rand	0.2357	0.1164	0.2165	0.0987	0.24	0.1203	0.252	0.1296
markov_fit_k_1	0.1561	0.3046	0.1235	0.275	0.2294	0.355	0.0935	0.2447
align_time_pre	0.903	0.2679	0.9095	0.2748	0.8559	0.3171	0.9598	0.1606
pre_50_freq	0.4277	0.202	0.3759	0.1988	0.4664	0.2374	0.4345	0.1347
pre_50_rand	0.493	0.2005	0.4739	0.2382	0.5096	0.2129	0.4925	0.1255
pre_25_freq	0.2077	0.145	0.1887	0.1386	0.2256	0.1645	0.2051	0.1236
pre_25_rand	0.2543	0.1228	0.2431	0.1229	0.2531	0.1296	0.2688	0.1151
markov_pre_k_1	0.1833	0.3216	0.1653	0.2993	0.2631	0.374	0.0952	0.2416
