method	timeouts	mean_perc_all	std_perc_all	mean_perc_imf	std_perc_imf	mean_perc_imd	std_perc_imd	mean_perc_etm	std_perc_etm
align_time_fit	16	536.9733	1317.9177	388.1231	946.2793	405.7187	1251.9294	831.9213	1644.2439
50_freq_fit	12	309.0785	839.0681	203.0258	518.1682	229.9863	682.4571	502.1765	1175.733
50_rand_fit	11	285.8826	732.7356	203.8899	520.6319	259.0924	789.4467	394.5671	835.2286
25_freq_fit	6	161.5656	522.3459	135.7574	399.3151	100.3242	285.5691	258.1859	780.0794
25_rand_fit	9	140.9841	395.2537	79.949	179.0498	118.6833	396.8903	224.6756	519.0551
align_time_pre	4	141.2981	522.4467	52.8502	93.0545	218.3336	780.2559	133.3434	352.2592
50_freq_pre	2	74.9368	316.2846	26.418	47.8152	130.853	500.4708	54.4324	112.9699
50_rand_pre	3	83.8439	318.3925	29.1157	49.4176	137.7315	481.3972	71.5699	197.6065
25_freq_pre	2	33.8878	142.6972	13.8431	28.561	61.07	227.0215	20.5933	38.2936
25_rand_pre	3	44.1873	186.0403	14.4202	27.0452	74.459	287.8271	36.3747	96.0255
markov_fit_k_2	23	79.173	401.319	22.956	67.2136	190.1465	638.9016	0.8326	1.5336
markov_pre_k_2	23	79.173	401.319	22.956	67.2136	190.1465	638.9016	0.8326	1.5336
