ID,EVENT_LOG,#TRACES,#VARIANTS,#ACTIVITIES,AVG_TRACE_LENGTH,AVG_DISTINCT_ACTS,AVG_NON_OVERLAP_ACTS
1,Hospital_Billing-Event_Log.xes,100000,1020,18,4.51,4.3,0.45
2,Road_Traffic_Fine_Management_Process.xes,150370,231,11,3.73,3.68,0.47
3,BPI_Challenge_2012.xes,13087,4366,24,20.04,8.18,0.55
4,BrazilianJustice.xes,17188,6495,40,8.9,7.43,0.7
5,BPI_Challenge_2017.xes,31509,15930,26,38.16,15.53,0.3
6,BPI-2020-PermitLog.xes,7065,1478,51,12.25,10.77,0.43
7,BPI_2019.xes,251734,11973,42,6.34,5.19,0.37
8,PDC_2022_000000.xes,1000,583,15,6.99,6.28,0.55
9,Production_Data.xes,225,221,55,40.34,6.07,0.68
10,Sepsis_Cases-Event_Log.xes,1050,846,16,14.49,9.13,0.27
