	exchange_leaf	exchange_op	exchange_subtree	prob_up	inner_similarity	trees_similarity	ARI	eps	balance
27	0	0	1	0.7	2.223	0.6523	0.978	4	0.6379494
22	0	0	1	0.5	2.16	0.6302	1	4	0.6302
21	0	0	1	0.5	2.371	0.7021	0.8802	3	0.61798842
26	0	0	1	0.7	2.156	0.6156	1	5	0.6156
23	0	0	1	0.5	2.244	0.615	1	5	0.615
28	0	0	1	0.7	2.16	0.5967	1	4	0.5967
19	0	0	1	0.3	2.275	0.6756	0.8832	3	0.59668992
17	0	0	1	0.3	2.332	0.6733	0.8495	3	0.57196835
859	3	2	1	0.3	1.446	0.5445	0.9168	4	0.4991976
25	0	0	1	0.7	2.139	0.4999	0.978	5	0.4889022
24	0	0	1	0.5	2.075	0.507	0.946	5	0.479622
521	2	0	2	0.7	1.924	0.4758	1	4	0.4758
522	2	0	2	0.7	1.931	0.4683	1	4	0.4683
29	0	0	1	0.7	2.085	0.4722	0.989	5	0.4670058
453	1	3	2	0.3	2.716	0.4519	1	4	0.4519
31	0	0	2	0.3	2.319	0.4249	1	5	0.4249
405	1	2	3	0.3	1.518	0.4595	0.896	5	0.411712
30	0	0	2	0.3	2.324	0.4112	1	5	0.4112
655	2	2	3	0.7	1.831	0.4102	1	5	0.4102
532	2	0	3	0.5	1.604	0.4062	1	4	0.4062
688	2	3	1	0.7	1.67	0.4049	1	5	0.4049
16	0	0	1	0.3	2.324	0.7496	0.5206	2	0.39024176
35	0	0	2	0.5	2.247	0.3799	1	5	0.3799
570	2	1	2	0.3	1.761	0.376	0.989	5	0.371864
520	2	0	2	0.7	1.947	0.3704	1	4	0.3704
1363	5	2	2	0.7	1.623	0.3936	0.9263	5	0.36459168
143	0	2	1	0.5	1.481	0.3603	1	5	0.3603
1366	5	2	3	0.3	1.653	0.3791	0.9486	5	0.35961426
1024	4	1	0	0.3	1.938	0.3588	1	4	0.3588
454	1	3	2	0.3	3.135	0.3578	1	4	0.3578
158	0	2	2	0.5	2.023	0.3569	1	4	0.3569
697	2	3	2	0.5	2.117	0.3578	0.989	5	0.3538642
582	2	1	2	0.7	1.438	0.3499	1	5	0.3499
507	2	0	1	0.7	1.926	0.3433	1	4	0.3433
905	3	3	0	0.5	2.399	0.3425	1	4	0.3425
1070	4	1	3	0.5	2.047	0.3538	0.9672	5	0.34219536
236	0	3	3	0.7	1.331	0.346	0.98	5	0.33908
48	0	0	3	0.3	2.545	0.3384	1	4	0.3384
49	0	0	3	0.3	1.993	0.3371	1	5	0.3371
322	1	1	1	0.5	1.256	0.362	0.9306	5	0.3368772
1387	5	3	0	0.5	1.618	0.3546	0.9355	5	0.3317283
385	1	2	1	0.7	1.635	0.3345	0.989	5	0.3308205
315	1	1	1	0.3	1.287	0.3305	1	5	0.3305
865	3	2	1	0.7	1.878	0.3295	1	4	0.3295
1364	5	2	2	0.7	1.793	0.3362	0.9789	5	0.32910618
518	2	0	2	0.5	1.756	0.328	1	4	0.328
467	1	3	3	0.3	0.948	0.3338	0.9675	5	0.3229515
702	2	3	2	0.7	1.858	0.3299	0.9781	5	0.32267519
1370	5	2	3	0.5	1.563	0.3466	0.9252	5	0.32067432
872	3	2	2	0.3	2.436	0.3184	1	4	0.3184
594	2	1	3	0.5	1.718	0.3183	1	4	0.3183
748	3	0	1	0.7	1.655	0.3278	0.9672	5	0.31704816
860	3	2	1	0.5	1.317	0.3141	1	5	0.3141
686	2	3	1	0.7	1.844	0.3137	1	4	0.3137
20	0	0	1	0.5	2.247	0.7502	0.4166	2	0.31253332
484	2	0	0	0.3	1.717	0.3337	0.9336	4	0.31154232
962	4	0	0	0.3	1.027	0.3469	0.8965	5	0.31099585
816	3	1	2	0.5	1.327	0.3258	0.9539	5	0.31078062
1031	4	1	0	0.7	1.909	0.3104	1	4	0.3104
764	3	0	2	0.7	1.697	0.3148	0.9792	5	0.30825216
988	4	0	1	0.7	1.262	0.32	0.9627	5	0.308064
159	0	2	2	0.5	1.563	0.3079	1	4	0.3079
523	2	0	2	0.7	1.685	0.3074	1	4	0.3074
508	2	0	1	0.7	1.95	0.3063	1	5	0.3063
1422	5	3	2	0.7	1.859	0.3212	0.9508	5	0.30539696
39	0	0	2	0.5	2.561	0.3051	1	4	0.3051
969	4	0	0	0.5	0.913	0.3418	0.8901	5	0.30423618
1039	4	1	1	0.3	1.246	0.304	1	4	0.304
749	3	0	1	0.7	1.594	0.3322	0.9149	5	0.30392978
977	4	0	1	0.3	1.039	0.3372	0.9007	5	0.30371604
1033	4	1	0	0.7	1.703	0.3033	1	4	0.3033
968	4	0	0	0.5	0.984	0.3376	0.895	5	0.302152
104	0	1	2	0.7	1.683	0.3256	0.9255	5	0.3013428
898	3	2	3	0.7	2.047	0.3008	1	4	0.3008
663	2	3	0	0.3	1.77	0.3068	0.978	5	0.3000504
18	0	0	1	0.3	2.319	0.7485	0.3962	2	0.2965557
871	3	2	2	0.3	1.688	0.2962	1	5	0.2962
571	2	1	2	0.3	1.732	0.2987	0.9889	5	0.29538443
1300	5	1	2	0.7	1.527	0.2977	0.9893	5	0.29451461
707	2	3	3	0.3	1.669	0.2938	1	5	0.2938
1032	4	1	0	0.7	1.64	0.2935	1	4	0.2935
53	0	0	3	0.5	1.926	0.2935	1	5	0.2935
897	3	2	3	0.7	1.984	0.2921	1	5	0.2921
866	3	2	1	0.7	1.275	0.292	1	4	0.292
33	0	0	2	0.3	2.424	0.2948	0.9889	4	0.29152772
414	1	2	3	0.5	2.135	0.2914	1	4	0.2914
1326	5	2	0	0.5	1.346	0.3135	0.928	5	0.290928
36	0	0	2	0.5	2.462	0.2901	1	4	0.2901
32	0	0	2	0.3	2.133	0.2899	1	4	0.2899
46	0	0	3	0.3	2.304	0.289	1	4	0.289
330	1	1	2	0.3	2.143	0.2952	0.9757	4	0.28802664
470	1	3	3	0.5	2.015	0.2878	1	4	0.2878
161	0	2	2	0.7	1.574	0.2904	0.989	5	0.2872056
492	2	0	0	0.7	1.798	0.307	0.9329	4	0.2864003
1412	5	3	2	0.3	1.76	0.3288	0.8685	5	0.2855628
590	2	1	3	0.5	1.198	0.2855	1	5	0.2855
1369	5	2	3	0.3	2.004	0.3011	0.9461	5	0.28487071
530	2	0	3	0.5	1.489	0.2844	1	4	0.2844
203	0	3	1	0.5	1.7	0.2972	0.9566	5	0.28430152
718	2	3	3	0.7	1.203	0.2921	0.9703	5	0.28342463
1358	5	2	2	0.5	1.089	0.2829	1	5	0.2829
901	3	3	0	0.3	2.026	0.2818	1	4	0.2818
1286	5	1	1	0.7	1.144	0.3103	0.9002	5	0.27933206
156	0	2	2	0.5	1.897	0.2793	1	4	0.2793
1298	5	1	2	0.5	1.22	0.286	0.9736	4	0.2784496
654	2	2	3	0.5	1.749	0.2894	0.9565	5	0.2768111
696	2	3	2	0.5	1.967	0.2858	0.9672	5	0.27642576
542	2	1	0	0.3	1.532	0.3276	0.8418	5	0.27577368
1037	4	1	1	0.3	1.286	0.3464	0.7944	4	0.27518016
1305	5	1	3	0.3	1.37	0.2875	0.9565	5	0.27499375
1409	5	3	1	0.7	1.839	0.3207	0.8473	5	0.27172911
1051	4	1	2	0.3	1.344	0.2707	1	5	0.2707
1066	4	1	3	0.3	1.556	0.2746	0.979	4	0.2688334
848	3	2	0	0.5	1.289	0.2776	0.9679	4	0.26868904
352	1	1	3	0.5	1.77	0.2699	0.989	4	0.2669311
693	2	3	2	0.3	2.18	0.2663	1	5	0.2663
44	0	0	2	0.7	2.364	0.2662	1	4	0.2662
513	2	0	2	0.3	1.916	0.2659	1	4	0.2659
682	2	3	1	0.5	1.761	0.2688	0.9889	5	0.26581632
332	1	1	2	0.3	1.36	0.2778	0.9553	5	0.26538234
1417	5	3	2	0.5	1.729	0.298	0.8889	5	0.2648922
1315	5	1	3	0.7	1.305	0.2704	0.9782	5	0.26450528
676	2	3	1	0.3	1.192	0.2972	0.8899	5	0.26447828
168	0	2	3	0.3	1.609	0.2817	0.9358	5	0.26361486
456	1	3	2	0.5	3.906	0.2636	1	4	0.2636
1096	4	2	1	0.3	1.885	0.2631	1	4	0.2631
657	2	2	3	0.7	1.747	0.294	0.8948	5	0.2630712
767	3	0	3	0.3	1.5	0.2654	0.9899	5	0.26271946
847	3	2	0	0.5	1.388	0.2799	0.9381	5	0.26257419
661	2	3	0	0.3	1.863	0.2645	0.989	5	0.2615905
600	2	2	0	0.3	1.194	0.2613	1	4	0.2613
877	3	2	2	0.5	1.276	0.2757	0.9461	5	0.26083977
526	2	0	3	0.3	1.903	0.2605	1	4	0.2605
704	2	3	2	0.7	1.88	0.268	0.9672	5	0.2592096
474	1	3	3	0.5	2.118	0.2591	1	4	0.2591
565	2	1	1	0.7	2.072	0.2591	1	4	0.2591
511	2	0	2	0.3	2.126	0.2585	1	4	0.2585
42	0	0	2	0.7	2.572	0.2584	1	4	0.2584
279	1	0	2	0.5	1.115	0.2879	0.8956	5	0.25784324
769	3	0	3	0.3	1.616	0.2712	0.9461	5	0.25658232
34	0	0	2	0.3	2.545	0.2564	1	5	0.2564
1076	4	1	3	0.7	1.753	0.3342	0.7668	5	0.25626456
165	0	2	3	0.3	2.177	0.2562	1	5	0.2562
441	1	3	1	0.5	1.711	0.2561	1	4	0.2561
838	3	1	3	0.7	1.324	0.2644	0.9676	5	0.25583344
41	0	0	2	0.7	2.503	0.2552	1	4	0.2552
1053	4	1	2	0.3	1.364	0.2606	0.9781	5	0.25489286
1034	4	1	0	0.7	1.745	0.2547	1	4	0.2547
1389	5	3	0	0.5	1.778	0.2787	0.9063	5	0.25258581
765	3	0	3	0.3	1.404	0.2551	0.9894	5	0.25239594
564	2	1	1	0.5	2.025	0.2522	1	4	0.2522
603	2	2	0	0.3	1.261	0.2522	1	5	0.2522
325	1	1	1	0.7	1.462	0.254	0.9895	5	0.251333
593	2	1	3	0.5	1.456	0.2509	1	4	0.2509
584	2	1	2	0.7	1.423	0.2508	1	5	0.2508
604	2	2	0	0.3	1.286	0.2508	1	4	0.2508
