exchange_leaf	exchange_op	exchange_subtree	prob_up	inner_similarity	trees_similarity	ARI
0	0	0	0.3	2.599	0.929260050850152	(0.00046924504019550374, 1)
0	0	0	0.3	2.536	0.933329413634197	(0.0, 4)
0	0	0	0.3	2.523	0.927317945865777	(0.0003377943457786575, 1)
0	0	0	0.3	2.541	0.926896975475396	(0.0007858205811457899, 1)
0	0	0	0.3	2.52	0.9243400339001	(0.001320442327739509, 3)
0	0	0	0.5	2.565	0.930932888394513	(0.002100798873515079, 2)
0	0	0	0.5	2.51	0.92502900047672	(0.00016909823550095173, 1)
0	0	0	0.5	2.562	0.93319104560623	(0.0010776437835323853, 1)
0	0	0	0.5	2.528	0.923236241326342	(0.0, 4)
0	0	0	0.5	2.479	0.923664402245882	(0.0011934570363245941, 1)
0	0	0	0.7	2.551	0.924197203241698	(0.000318420633657061, 3)
0	0	0	0.7	2.466	0.92215909211293	(2.6656819253392024e-05, 1)
0	0	0	0.7	2.514	0.931365962180201	(0.006835985261508982, 2)
0	0	0	0.7	2.561	0.928167593622544	(3.131670858871883e-05, 1)
0	0	0	0.7	2.534	0.926346602044601	(0.0017477635865349812, 2)
0	0	1	0.3	2.53	0.79956033158536	(0.004300815347039844, 2)
0	0	1	0.3	2.324	0.749647558133376	(0.5205735088982553, 2)
0	0	1	0.3	2.332	0.673339848508924	(0.8494743079548361, 3)
0	0	1	0.3	2.319	0.748540825785264	(0.3961510265966387, 2)
0	0	1	0.3	2.275	0.675600111234704	(0.8831898506876411, 3)
0	0	1	0.5	2.247	0.750217503575402	(0.41658432583034355, 2)
0	0	1	0.5	2.371	0.702071945018274	(0.8801819767661656, 3)
0	0	1	0.5	2.16	0.630216007203771	(1.0, 4)
0	0	1	0.5	2.244	0.614987777424651	(1.0, 5)
0	0	1	0.5	2.075	0.50704777795434	(0.9459548254620124, 5)
0	0	1	0.7	2.139	0.499920493670215	(0.9780387585499076, 5)
0	0	1	0.7	2.156	0.615619219767995	(1.0, 5)
0	0	1	0.7	2.223	0.652326712219927	(0.9780323553373518, 4)
0	0	1	0.7	2.16	0.596748384448328	(1.0, 4)
0	0	1	0.7	2.085	0.472176638063457	(0.9889533539718571, 5)
0	0	2	0.3	2.324	0.411241432279253	(1.0, 5)
0	0	2	0.3	2.319	0.424885335558028	(1.0, 5)
0	0	2	0.3	2.133	0.289880409449653	(1.0, 4)
0	0	2	0.3	2.424	0.294782959902537	(0.9889492643018499, 4)
0	0	2	0.3	2.545	0.256413955320727	(1.0, 5)
0	0	2	0.5	2.247	0.379865765202076	(1.0, 5)
0	0	2	0.5	2.462	0.29009133991472	(1.0, 4)
0	0	2	0.5	2.744	0.236183989154616	(1.0, 4)
0	0	2	0.5	2.464	0.212711902113459	(1.0, 5)
0	0	2	0.5	2.561	0.305147339636633	(1.0, 4)
0	0	2	0.7	2.303	0.205277901371895	(1.0, 5)
0	0	2	0.7	2.503	0.255168613274008	(1.0, 4)
0	0	2	0.7	2.572	0.258388904338153	(1.0, 4)
0	0	2	0.7	2.845	0.213644072117168	(1.0, 4)
0	0	2	0.7	2.364	0.266242703533026	(1.0, 4)
0	0	3	0.3	2.378	0.17654229567244	(1.0, 4)
0	0	3	0.3	2.304	0.28895683034059	(1.0, 4)
0	0	3	0.3	2.301	0.202486598866465	(0.988950000337542, 4)
0	0	3	0.3	2.545	0.338398034853541	(1.0, 4)
