id	exchange_leaf	exchange_op	exchange_subtree	prob_up	inner_similarity	trees_similarity	ARI	eps
72	4	1	0	0.4	1.749	0.734870786309948	0.693055841747373	4
45	2	3	1	0.5	1.931	0.72924986328934	0.668880246158414	4
14	0	4	2	0.4	1.491	0.728938919102462	0.635907965416206	4
17	0	5	2	0.3	1.894	0.728675009713415	0.588789365653045	4
40	2	2	0	0.5	1.903	0.718156565935784	0.557154902820527	4
4	0	2	3	0.3	1.986	0.698032427321212	0.365350561125369	4
9	0	4	1	0.3	1.289	0.690410090463142	0.577546365447638	4
77	4	4	0	0.5	1.898	0.687418778175795	0.658073481655759	5
7	0	3	1	0.5	1.867	0.685963687560639	0.608036428234964	4
49	2	4	2	0.3	1.847	0.681745346363006	0.47629074146539	4
32	1	4	3	0.4	1.758	0.679326781284521	0.526825067657728	4
85	4	5	0	0.5	1.499	0.673835988844373	0.564198543645139	6
24	1	2	0	0.5	1.506	0.66992908435304	0.400432284852966	5
22	1	1	1	0.4	1.815	0.669512847023061	0.671932748749909	4
87	4	5	1	0.3	1.677	0.668110484024356	0.537379965159117	4
18	0	5	2	0.4	1.836	0.666187465704718	0.665910791880519	4
1	0	1	2	0.3	1.671	0.662528416350591	0.590786743287234	5
100	5	3	2	0.5	1.717	0.654285901346634	0.625236985282663	4
91	4	5	2	0.5	1.67	0.652043278862491	0.671192788744431	4
51	2	5	0	0.4	1.145	0.645636756383257	0.383436428381284	4
8	0	4	0	0.4	1.226	0.644394653681794	0.699052774018945	4
58	3	3	2	0.3	1.922	0.642380482238076	0.626364914622232	5
69	3	5	2	0.4	1.336	0.638200639960999	0.598630982201469	4
65	3	4	2	0.4	1.601	0.63084361879612	0.446276882277379	4
86	4	5	1	0.3	1.242	0.618643709273815	0.493772610938431	4
31	1	4	1	0.4	1.283	0.617301815961936	0.475252529906676	4
75	4	4	0	0.4	1.625	0.616660433767778	0.417184483550949	4
101	5	4	0	0.5	1.51	0.61481336440019	0.541025754660797	4
30	1	4	0	0.3	1.466	0.608858804847682	0.579877581372514	5
67	3	4	3	0.3	1.752	0.603139071466264	0.675241892698617	4
106	5	5	0	0.3	1.607	0.60255218932114	0.512781439292925	5
54	3	2	0	0.4	1.484	0.600024053281285	0.587122225402441	5
33	1	5	0	0.4	1.492	0.594881791842889	0.544694885324854	7
59	3	3	2	0.4	1.068	0.594459927600816	0.642502301775455	4
99	5	3	1	0.5	1.654	0.594273397739205	0.672283825858961	5
102	5	4	1	0.3	1.553	0.593351528225042	0.578366352004462	5
6	0	3	1	0.5	1.331	0.578859193155698	0.6278005975192	4
29	1	3	3	0.3	1.231	0.574087610345444	0.31184755992733	4
19	0	5	3	0.3	1.601	0.570548347220291	0.645358423668526	4
