best_fit: 0.25006450216450216

best_ARI: 0.5629008403512802

best_complex: 1293.549474891775

best_n_clusters: 46

best_df_distrib_1step:        P1  P2  P3
index            
0       0  27   0
1       1   0   0
2       0   1   0
3       0   4   0
4       0   0   8
5       0   0   1
6       0   1   0
7       0   1   5
8       0   1   0
9      18   0   4
10      0   0   2
11      3   0   0
12      1   0   0
13      2   0  13
14      0  10   0
15      0   1   0
16      0   2   0
17      0   2   0
18      0   0   1
19      3   0   0
20      0   5   0
21      1   0   0
22      3   0   0
23      0   2   0
24      0   2   0
25      6   0   0
26      3   0   0
27      0   0   6
28      0   3   0
29      0   0   2
30      0   0   5
31      0   0   4
32      4   0  18
33      0   2   0
34      0   1   0
35      0   0   9
36      0   1   0
37      0   7   0
38      2   0   0
39      0   4   0
40      0   2   0
41      0   1   0
42      0   0   9
43      0   0  11
44      0   3   0
45      3   0   0

best_ngram_1step: 2

best_min_percent_1step: 0.2

best_max_percent_1step: 1

best_df_distrib_2step:    P2  P3  P1
0  72   0   0
1  10   0   0
2   1  98  50

