best_fit: 0.2901862068965517

best_ARI: 0.23636457996071097

best_complex: 621.2472351724138

best_n_clusters: 50

best_df_distrib_1step:        P1  P2  P3
index            
0       6   0   0
1       4   0   0
2       0   0   2
3       7   0   0
4       0   2   0
5       0   0   2
6       0   1   0
7       0   0   1
8       4   0   0
9       0   0   1
10      0   9   0
11      0   0   1
12      0   0   1
13      2   1   0
14      6   0   0
15      1   2   0
16      1   0   0
17      0   8   0
18      0   0   2
19      0   0   2
20      0   0   4
21      5   0   0
22      0   1   0
23      0   0   1
24      0   0   2
25      0   3   0
26      2   0   0
27      0   0   3
28      7   0   0
29      0   0   1
30      0   0   1
31      0   1   0
32      0   7   0
33      1   0   0
34      0   1   0
35      0   0   2
36      0   0   2
37      1   0   0
38      7   0   0
39      0   0   1
40      0   0   2
41      7   0   0
42      0   0   1
43      4   0   0
44      0   0   1
45      2   0   0
46      1   1   0
47      0   1   0
48      5   0   0
49      0   1   0

best_ngram_1step: 1

best_min_percent_1step: 0

best_max_percent_1step: 1

best_df_distrib_2step:    P3  P2  P1
0  13  37  73
1   0   2   0
2  20   0   0

