best_fit: 0.2920979310344828

best_ARI: 0.17718104170602936

best_complex: 668.548031724138

best_n_clusters: 50

best_df_distrib_1step:        P1  P2  P3
index            
0       1   0   0
1       7   0   0
2       7   0   0
3       0   0   1
4       0   0   3
5       1   2   0
6       0   8   0
7       0   1   0
8       0   0   1
9       0   0   2
10      0   0   1
11      1   1   0
12      0   1   0
13      7   0   0
14      0   0   2
15      2   0   0
16      0  10   0
17      4   0   0
18      0   0   2
19      0   0   2
20      6   0   0
21      5   0   0
22      0   0   4
23      6   0   0
24      0   0   1
25      0   0   1
26      0   9   0
27      1   0   0
28      0   0   1
29      0   1   0
30      0   0   1
31      7   0   0
32      1   0   0
33      0   1   0
34      0   0   2
35      0   0   1
36      0   0   2
37      0   1   0
38      0   0   3
39      0   1   0
40      5   0   0
41      1   1   0
42      2   0   0
43      1   0   0
44      0   0   2
45      0   0   1
46      1   0   0
47      4   0   0
48      3   0   0
49      0   2   0

best_ngram_1step: 1

best_min_percent_1step: 0

best_max_percent_1step: 1

best_df_distrib_2step:    P3  P2  P1
0  15  39  73
1   4   0   0
2  11   0   0
3   2   0   0
4   1   0   0

